ID,title,release_year,genres,rating
45,isn t this a time tribute concert for harold leventhal,2005,['Documentary'],72.0
46,the talent given us,2005,"['Drama', 'Comedy']",72.0
47,men go to battle,2016,"['Drama', 'History', 'Comedy']",72.0
48,the brink,2019,['Documentary'],71.0
49,the farewell party,2015,"['Drama', 'Comedy']",71.0
50,pasolini,2019,"['Biography', 'Drama']",71.0
51,cry the beloved country,1995,"['Drama', 'Thriller']",71.0
52,sylvio,2017,"['Drama', 'Fantasy', 'Comedy']",71.0
53,11 flowers,2013,['Drama'],71.0
54,king leopold s ghost,2006,['Documentary'],71.0
55,jerichow,2009,['Drama'],71.0
56,the man nobody knew in search of my father cia spymaster william colby,2011,"['Biography', 'History', 'War', 'Documentary']",71.0
57,rock the bells,2007,"['Music', 'Documentary']",70.0
58,the great muppet caper,1981,"['Adventure', 'Mystery', 'Comedy', 'Crime', 'Family', 'Musical']",70.0
59,citizen jane battle for the city,2017,"['Biography', 'History', 'Documentary']",70.0
60,who gets to call it art,2006,['Documentary'],70.0
61,sicilian ghost story,2018,"['Drama', 'Mystery', 'Fantasy', 'Romance', 'Crime']",70.0
62,the cruise,1998,['Documentary'],69.0
63,the reports on sarah and saleem,2019,"['Drama', 'Mystery', 'Romance', 'Crime', 'War']",69.0
64,moka,2017,['Drama'],69.0
65,bill w,2012,"['Biography', 'History', 'Documentary']",69.0
66,here,2012,"['Adventure', 'Drama', 'Romance']",68.0
67,afterglow,1997,"['Drama', 'Comedy', 'Romance']",68.0
68,stations of the cross,2015,['Drama'],68.0
69,sorcerer,1977,"['Adventure', 'Drama', 'Thriller']",68.0
70,into eternity,2011,['Documentary'],68.0
71,protagonist,2007,['Documentary'],68.0
72,purple butterfly,2004,"['Drama', 'History', 'War']",68.0
73,the beauty academy of kabul,2006,['Documentary'],68.0
74,who is harry nilsson,2010,"['Music', 'Documentary']",68.0
75,the gospel according to andre,2018,['Documentary'],67.0
76,buena vista social club adios,2017,['Documentary'],67.0
77,after everything,2018,"['Drama', 'Comedy']",67.0
78,escape fire the fight to rescue american healthcare,2012,"['Documentary', 'News']",67.0
79,parched,2016,['Drama'],67.0
80,steel city,2007,['Drama'],67.0
81,been rich all my life,2006,['Documentary'],67.0
82,super fly,1972,"['Action', 'Drama', 'Crime']",67.0
83,you will be my son,2013,['Drama'],67.0
84,the goebbles experiment,2005,"['Biography', 'History', 'War', 'Documentary']",67.0
85,mrs parker and the vicious circle,1994,"['Biography', 'Drama']",66.0
86,never here,2017,"['Drama', 'Mystery', 'Thriller']",66.0
87,glassland,2016,['Drama'],66.0
88,god knows where i am,2017,"['Biography', 'Drama', 'History', 'Mystery', 'Documentary']",66.0
89,strange powers stephin merritt and the magnetic fields,2010,"['Music', 'Documentary']",66.0
90,the monastery mr vig and nun,2007,['Documentary'],66.0
91,windfall,2012,"['Drama', 'Documentary']",65.0
92,so goes the nation,2006,['Documentary'],65.0
93,tying the knot,2004,['Documentary'],65.0
94,ivory tower,2014,"['History', 'Family', 'Documentary', 'News']",65.0
95,photograph,2019,"['Drama', 'Romance', 'Short']",65.0
96,daughters of the sun,2004,['Drama'],65.0
97,the apparition,2018,['Drama'],64.0
98,guilty by suspicion,1991,['Drama'],64.0
99,close to home,2007,['Drama'],64.0
100,hamburger hill,1987,"['Action', 'Drama', 'Thriller', 'War']",64.0
101,following sean,2006,['Documentary'],64.0
102,mongolian ping pong,2006,"['Drama', 'Comedy']",64.0
103,pick of the litter,2018,['Documentary'],64.0
104,the electric horseman,1979,"['Drama', 'Comedy', 'Romance', 'Western']",64.0
105,the long dumb road,2018,['Comedy'],64.0
106,bright future,2004,['Drama'],64.0
107,the horse boy,2009,['Documentary'],64.0
108,finding fela,2014,"['Biography', 'History', 'Music', 'Documentary']",64.0
109,medeas,2015,['Drama'],64.0
110,noble,2015,"['Biography', 'Drama']",63.0
111,who s that knocking at my door,1968,"['Drama', 'Romance']",63.0
112,a state of mind,2005,['Documentary'],63.0
113,lipstick dynamite piss vinegar the first ladies of wrestling,2005,['Documentary'],62.0
114,vajra sky over tibet,2006,['Documentary'],61.0
115,haute cuisine,2013,"['Biography', 'Comedy']",61.0
116,hideaway,2010,['Drama'],61.0
117,xy chelsea,2019,['Documentary'],60.0
118,alice neel,2007,['Documentary'],60.0
119,the other half,2017,"['Drama', 'Romance']",60.0
120,anything,2018,"['Drama', 'Romance']",60.0
121,bride flight,2011,['Drama'],60.0
122,les amants criminels,2000,"['Drama', 'Thriller', 'Crime']",59.0
123,driven,2019,"['Biography', 'Drama', 'Thriller']",58.0
124,them that follow,2019,['Thriller'],58.0
125,bat 21,1988,"['Drama', 'War']",58.0
126,the prey,2013,"['Action', 'Thriller', 'Crime']",58.0
127,the missing person,2009,"['Drama', 'Mystery', 'Comedy']",57.0
128,color me kubrick,2007,"['Drama', 'Comedy']",57.0
129,little man,2005,['Documentary'],57.0
130,viper club,2018,['Drama'],57.0
131,cirkus columbia,2012,['Drama'],57.0
132,in the name of my daughter,2015,['Drama'],57.0
133,heaven s gate,1980,"['Adventure', 'Drama', 'Western']",57.0
134,the yellow birds,2018,"['Drama', 'War']",56.0
135,the monk,2013,"['Drama', 'Mystery', 'Thriller']",56.0
136,alex of venice,2015,['Drama'],56.0
137,after midnight,2004,"['Comedy', 'Romance']",56.0
138,perlasca the courage of a just man,2005,"['Drama', 'History', 'War']",56.0
139,the human surge,2017,"['Drama', 'Documentary']",56.0
140,a very brady sequel,1996,['Comedy'],56.0
141,a bag of marbles,2018,['Drama'],55.0
142,it s about you,2012,"['Biography', 'Music', 'Documentary']",55.0
143,gun hill road,2011,['Drama'],55.0
144,siren,2016,['Horror'],54.0
145,cezanne et moi,2017,"['Biography', 'Drama']",54.0
146,some velvet morning,2013,['Drama'],54.0
147,allure,2018,"['Drama', 'Thriller', 'Romance']",54.0
148,csny deja vu,2008,"['Music', 'Documentary']",54.0
149,in satmar custody,2005,['Documentary'],53.0
150,milarepa,2007,"['Action', 'Adventure', 'Biography', 'Drama']",52.0
151,who do you love,2010,['Drama'],52.0
152,three days of rain,2005,['Drama'],52.0
153,macbeth,2007,"['Drama', 'Thriller']",51.0
154,in our nature,2012,['Drama'],51.0
155,trial by fire,2019,"['Biography', 'Drama']",51.0
156,burn your maps,2019,['Adventure'],50.0
157,six dance lessons in weeks,2014,"['Drama', 'Comedy']",50.0
158,all my loved ones,2002,"['Drama', 'War', 'Music']",50.0
159,introducing the dwights,2007,"['Drama', 'Comedy']",50.0
160,the price of milk,2001,"['Drama', 'Fantasy', 'Comedy', 'Romance']",49.0
161,they remain,2018,['Thriller'],49.0
162,out of blue,2019,"['Drama', 'Mystery', 'Crime']",49.0
163,adult life skills,2019,"['Drama', 'Comedy']",49.0
164,gerontophilia,2015,"['Comedy', 'Romance']",48.0
165,lucky break,2002,"['Comedy', 'Romance', 'Crime']",48.0
166,virgin,2004,['Drama'],48.0
167,to the arctic,2012,['Documentary'],48.0
168,october gale,2015,"['Drama', 'Thriller', 'Romance']",48.0
169,cote d azur,2005,"['Comedy', 'Romance', 'Musical']",47.0
170,full grown men,2008,"['Drama', 'Comedy']",47.0
171,1492 conquest of paradise,1992,"['Adventure', 'Biography', 'Drama', 'History']",47.0
172,the architect,2006,['Drama'],47.0
173,nostalgia,2018,['Drama'],47.0
174,the tenants,2006,['Drama'],46.0
175,3 dancing slaves,2005,['Drama'],46.0
176,white on rice,2009,['Comedy'],45.0
177,rosencrantz and guildenstern are undead,2010,['Comedy'],45.0
178,where hands touch,2018,"['Drama', 'Romance', 'War']",44.0
179,dough,2016,"['Drama', 'Comedy']",44.0
180,the closer you get,2000,['Comedy'],44.0
181,the young unknowns,2003,['Drama'],43.0
182,breaking the girls,2013,"['Thriller', 'Crime']",42.0
183,midnight eagle,2007,['Action'],42.0
184,killerman,2019,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",42.0
185,the toxic avenger,1986,"['Action', 'Sci-Fi', 'Horror', 'Comedy']",42.0
186,white rabbit,2015,['Drama'],41.0
187,a dark place,2019,"['Mystery', 'Thriller']",41.0
188,sal,2013,"['Biography', 'Drama']",41.0
189,being frank,2019,['Comedy'],41.0
190,sarah palin you betcha,2011,['Documentary'],41.0
191,hate crime,2006,"['Drama', 'Mystery', 'Thriller', 'Crime']",41.0
192,never been thawed,2005,['Comedy'],41.0
193,the forgiven,2018,['Thriller'],41.0
194,ceremony,2011,['Comedy'],40.0
195,nightbreed,1990,"['Action', 'Fantasy', 'Horror']",40.0
196,from the land of moon,2017,"['Drama', 'Romance']",40.0
197,twist,2004,['Drama'],39.0
198,confusion of genders,2003,"['Drama', 'Comedy', 'Romance']",39.0
199,psychopaths,2017,['Horror'],37.0
200,stardom,2000,"['Drama', 'Comedy']",36.0
201,swing,2004,"['Fantasy', 'Comedy', 'Romance']",36.0
202,action jackson,1988,"['Action', 'Thriller', 'Comedy', 'Crime']",36.0
203,circuit,2002,['Drama'],36.0
204,we ll never have paris,2015,"['Comedy', 'Romance']",36.0
205,being human,1994,"['Drama', 'Fantasy', 'Comedy']",33.0
206,amnesiac,2015,"['Drama', 'Mystery', 'Thriller', 'Horror']",33.0
207,the christmas candle,2013,['Drama'],33.0
208,the 11th hour,2015,"['Drama', 'Thriller']",32.0
209,6 month rule,2012,['Comedy'],31.0
210,the presidio,1988,"['Action', 'Mystery', 'Thriller', 'Crime']",31.0
211,chander pahar,2014,['Adventure'],29.0
212,literally right before aaron,2017,"['Drama', 'Comedy']",28.0
213,chloe and theo,2015,"['Drama', 'Comedy']",24.0
214,30 beats,2012,"['Comedy', 'Romance']",20.0
215,nashville,1975,"['Drama', 'Comedy', 'Music']",96.0
216,stagecoach,1939,"['Adventure', 'Drama', 'Western']",93.0
217,an american in paris,1951,"['Drama', 'Romance', 'Musical']",84.0
218,carmine street guitars,2019,['Documentary'],82.0
219,cousin jules,2013,['Documentary'],81.0
220,living in oblivion,1995,"['Drama', 'Comedy']",81.0
221,midnight traveler,2019,"['War', 'Documentary']",80.0
222,all is well,2019,['Drama'],80.0
223,quest for fire,1982,"['Adventure', 'Drama', 'History']",79.0
224,hotel by the river,2019,['Drama'],79.0
225,two family house,2000,['Drama'],79.0
226,love antosha,2019,"['Biography', 'Music', 'Documentary']",78.0
227,henri langlois the phantom of cinematheque,2005,"['Biography', 'History', 'Documentary']",78.0
228,hooligan sparrow,2016,"['Drama', 'Crime', 'Documentary', 'News']",78.0
229,home of the brave,2004,['Documentary'],77.0
230,presenting princess shaw,2016,"['Music', 'Documentary']",77.0
231,sobibor 14 octobre 1943 16 heures,2001,"['History', 'Documentary']",77.0
232,miles davis birth of the cool,2019,"['Music', 'Documentary']",76.0
233,a place in the sun,1951,"['Drama', 'Romance']",76.0
234,house party,1990,"['Comedy', 'Romance', 'Music']",76.0
235,anita o day the life of a jazz singer,2008,"['Music', 'Documentary']",76.0
236,time to choose,2016,['Documentary'],75.0
237,ballplayer pelotero,2012,"['Drama', 'Sport', 'Documentary']",75.0
238,notes on blindness,2016,"['Drama', 'Documentary']",75.0
239,jeremiah johnson,1972,"['Adventure', 'Drama', 'Western']",75.0
240,under the wire,2018,['Documentary'],75.0
241,kids for cash,2014,"['Drama', 'Crime', 'Documentary', 'News']",75.0
242,another road home,2005,['Documentary'],75.0
243,down from the mountain,2001,"['Music', 'Documentary']",75.0
244,very semi serious,2015,['Documentary'],74.0
245,raise hell the life times of molly ivins,2019,['Documentary'],74.0
246,egg,2019,['Comedy'],74.0
247,chisholm 72 unbought unbossed,2004,['Documentary'],73.0
248,werewolf,2018,['Drama'],73.0
249,the fall of fujimori,2006,['Documentary'],73.0
250,sky ladder the art of cai guo qiang,2016,['Documentary'],73.0
251,knuckleball,2012,['Documentary'],73.0
252,uprising,2013,"['Action', 'History', 'Documentary', 'News']",73.0
253,berlin,2008,['Documentary'],72.0
254,full battle rattle,2008,['Documentary'],72.0
255,the great invisible,2014,['Documentary'],72.0
256,when i saw you,2014,['Drama'],72.0
257,dormant beauty,2014,['Drama'],72.0
258,thirst street,2017,"['Drama', 'Comedy', 'Romance']",71.0
259,on the town,1949,"['Comedy', 'Romance', 'Musical']",71.0
260,never steady still,2018,['Drama'],70.0
261,sworn virgin,2016,['Drama'],70.0
262,where s my roy cohn,2019,['Documentary'],70.0
263,the duellists,1978,"['Drama', 'War']",70.0
264,our father,2004,['Drama'],70.0
265,bob roberts,1992,"['Drama', 'Comedy']",70.0
266,gabrielle,2014,"['Drama', 'Romance', 'Music']",70.0
267,wait for your laugh,2017,"['Comedy', 'Documentary']",70.0
268,the eyes of tammy faye,2000,"['Biography', 'Documentary']",69.0
269,youth,2017,"['Drama', 'Romance']",69.0
270,melody time,1948,"['Music', 'Animation', 'Family', 'Musical']",69.0
271,10,1979,"['Comedy', 'Romance']",68.0
272,police story 2,2019,"['Action', 'Thriller', 'Comedy', 'Crime']",68.0
273,the president s last bang,2005,"['Drama', 'History', 'Comedy', 'Crime']",68.0
274,a dry white season,1989,"['Drama', 'Thriller']",68.0
275,storm boy,2019,"['Adventure', 'Drama', 'Family']",67.0
276,pianomania,2011,"['Music', 'Documentary']",67.0
277,harmony and me,2009,['Comedy'],67.0
278,fiddler on the roof,1971,"['Drama', 'Romance', 'Family', 'Musical']",67.0
279,the spy behind home plate,2019,['Documentary'],67.0
280,smash grab the story of pink panthers,2013,"['History', 'Thriller', 'Crime', 'Documentary']",66.0
281,mosquita y mari,2012,['Drama'],66.0
282,e team,2014,['Documentary'],66.0
283,norman lear just another version of you,2016,"['Biography', 'History', 'Documentary']",66.0
284,white king red rubber black death,2005,"['History', 'Documentary']",65.0
285,they call us monsters,2017,['Documentary'],65.0
286,touch me not,2019,['Drama'],65.0
287,don t leave home,2018,"['Mystery', 'Thriller', 'Horror']",65.0
288,teenage,2014,"['History', 'Documentary']",64.0
289,sister helen,2003,['Documentary'],64.0
290,west of sunshine,2019,"['Drama', 'Crime']",64.0
291,tip top,2014,"['Thriller', 'Comedy']",64.0
292,last call at the oasis,2012,['Documentary'],64.0
293,low tide,2019,"['Drama', 'Thriller']",64.0
294,persons of interest,2004,['Documentary'],63.0
295,hannah,2018,['Drama'],63.0
296,klitschko,2011,"['Biography', 'Sport', 'Documentary']",63.0
297,little jerusalem,2006,['Drama'],63.0
298,seoul searching,2016,"['Drama', 'Comedy', 'Romance']",63.0
299,night shift,1982,['Comedy'],62.0
300,dreams of a life,2012,"['Drama', 'Documentary']",62.0
301,we are the flesh,2017,"['Drama', 'Fantasy', 'Horror']",62.0
302,the last mountain,2011,['Documentary'],62.0
303,girls rock,2008,"['Music', 'Documentary']",62.0
304,princesa,2001,"['Drama', 'Romance']",62.0
305,farmageddon,2011,"['Documentary', 'News']",62.0
306,before you know it,2019,"['Drama', 'Comedy']",61.0
307,the quest of alain ducasse,2018,['Documentary'],61.0
308,the backyard,2003,['Documentary'],61.0
309,bicycling with moliere,2014,"['Drama', 'Comedy']",61.0
310,resurrect dead the mystery of toynbee tiles,2011,['Documentary'],60.0
311,mrs hyde,2018,['Drama'],60.0
312,the outrageous sophie tucker,2015,['Documentary'],59.0
313,mr holland s opus,1996,"['Drama', 'Music']",59.0
314,love valour compassion,1997,"['Drama', 'Comedy', 'Romance']",59.0
315,a land imagined,2019,['Mystery'],59.0
316,24 days,2015,"['Drama', 'Thriller']",59.0
317,where soldiers come from,2011,['Documentary'],58.0
318,bottom of the 9th,2019,['Drama'],58.0
319,the house of tomorrow,2018,"['Drama', 'Comedy']",58.0
320,go further,2004,['Documentary'],58.0
321,free radicals,2004,"['Drama', 'Romance']",58.0
322,somebody up there likes me,2013,['Comedy'],58.0
323,the notebook,2014,"['Drama', 'War']",57.0
324,the laundromat,2019,['Drama'],57.0
325,cet amour la,2003,['Drama'],57.0
326,three peaks,2019,['Drama'],57.0
327,backstage,2006,"['Drama', 'Music']",57.0
328,saudate for the future,2001,"['Music', 'Documentary']",57.0
329,how to live forever,2011,['Documentary'],57.0
330,collaborator,2012,"['Drama', 'Comedy']",56.0
331,the misandrists,2018,"['Drama', 'Comedy']",56.0
332,rollerball,1975,"['Action', 'Sci-Fi', 'Sport']",56.0
333,claire dolan,2000,['Drama'],56.0
334,tiger eyes,2013,['Drama'],56.0
335,breaking upwards,2010,['Romance'],56.0
336,diary of a chambermaid,2016,['Drama'],56.0
337,detour,2013,['Thriller'],55.0
338,loro,2019,"['Biography', 'Drama']",55.0
339,breakin 2 electric boogaloo,1984,"['Drama', 'Comedy', 'Musical']",55.0
340,little pink house,2018,['Drama'],55.0
341,the girl is in trouble,2015,"['Thriller', 'Crime']",55.0
342,marie s story,2015,['Biography'],54.0
343,explicit ills,2009,['Drama'],54.0
344,honour,2014,['Thriller'],53.0
345,the heart of me,2003,"['Drama', 'Romance']",53.0
346,putin s kiss,2012,"['Drama', 'Documentary']",52.0
347,citizen koch,2014,"['Drama', 'Documentary']",52.0
348,in the name of,2013,"['Drama', 'Thriller']",52.0
349,heavy metal,1981,"['Adventure', 'Sci-Fi', 'Fantasy', 'Animation']",51.0
350,11 minutes,2016,"['Drama', 'Thriller']",51.0
351,first descent,2005,"['Sport', 'Documentary']",51.0
352,moscow never sleeps,2017,['Drama'],51.0
353,you re killing me susana,2017,"['Drama', 'Comedy', 'Romance']",50.0
354,beauty remains,2007,['Drama'],49.0
355,body,2015,"['Drama', 'Thriller']",49.0
356,half magic,2018,"['Comedy', 'Romance']",49.0
357,stagedoor,2006,['Documentary'],49.0
358,crazy wisdom the life times of chogyam trungpa rinpoche,2011,['Documentary'],48.0
359,my amityville horror,2013,['Documentary'],48.0
360,the world made straight,2015,['Drama'],48.0
361,condo painting,2000,['Documentary'],48.0
362,coffee date,2006,['Comedy'],47.0
363,who killed bambi,2004,"['Drama', 'Thriller']",47.0
364,perfect,1985,"['Drama', 'Romance']",46.0
365,digging up the marrow,2015,"['Biography', 'Drama', 'Mystery', 'Thriller', 'Fantasy', 'Horror']",45.0
366,fire and ice,1983,"['Adventure', 'Fantasy', 'Animation']",45.0
367,foul play,1978,"['Mystery', 'Thriller', 'Comedy']",45.0
368,swimming with men,2018,"['Drama', 'Sport', 'Comedy', 'Romance']",44.0
369,angels in the outfield,1994,"['Sport', 'Fantasy', 'Comedy', 'Family']",44.0
370,carbon nation,2011,"['Family', 'Documentary']",44.0
371,steve sky,2005,"['Drama', 'Comedy', 'Romance']",44.0
372,the great role,2005,"['Drama', 'Comedy', 'Romance']",43.0
373,crooked arrows,2012,"['Drama', 'Sport']",42.0
374,mighty fine,2012,"['Drama', 'Comedy']",42.0
375,pizza,2006,['Comedy'],42.0
376,u want me 2 kill him,2014,"['Drama', 'Thriller']",42.0
377,the intended,2004,['Drama'],42.0
378,the loss of sexual innocence,1999,['Drama'],42.0
379,milwaukee minnesota,2005,['Drama'],41.0
380,nowhere man,2005,"['Action', 'Drama', 'Horror', 'Comedy', 'Crime']",41.0
381,an acceptable loss,2019,"['Drama', 'Thriller']",40.0
382,rodin,2018,"['Biography', 'Drama', 'Romance']",39.0
383,till human voices wake us,2003,['Drama'],39.0
384,vincent wants to sea,2011,['Drama'],39.0
385,confessions of a burning man,2004,['Documentary'],37.0
386,aardvark,2018,['Drama'],37.0
387,can t buy me love,1987,"['Drama', 'Comedy', 'Romance']",36.0
388,stateside,2004,"['Drama', 'Romance']",35.0
389,isn t she great,2000,"['Biography', 'Comedy', 'Romance']",34.0
390,losing control,2012,['Comedy'],33.0
391,my favorite martian,1999,"['Sci-Fi', 'Comedy', 'Family']",33.0
392,the perfect holiday,2007,"['Comedy', 'Romance', 'Family']",32.0
393,beyond honor,2006,['Drama'],32.0
394,least among saints,2012,['Drama'],32.0
395,the curse of downers grove,2015,"['Drama', 'Mystery', 'Thriller', 'Horror']",31.0
396,cost of a soul,2011,"['Drama', 'Crime']",30.0
397,immigration tango,2011,['Comedy'],28.0
398,maladies,2014,['Drama'],28.0
399,saturn 3,1980,"['Adventure', 'Sci-Fi', 'Thriller', 'Horror']",9.0
400,force of evil,1949,"['Drama', 'Crime', 'Film-Noir']",89.0
401,the general,1998,"['Biography', 'Drama', 'Thriller', 'Crime']",81.0
402,the hill,1965,"['Drama', 'War']",81.0
403,the freshman,1990,"['Comedy', 'Crime']",78.0
404,the iron ministry,2015,['Documentary'],76.0
405,guerrilla the taking of patty hearst,2004,"['Biography', 'History', 'Crime', 'War', 'Documentary']",75.0
406,donbass,2019,['Drama'],74.0
407,gun crazy,1950,"['Drama', 'Thriller', 'Romance', 'Crime', 'Film-Noir']",74.0
408,the watermelon woman,1997,['Drama'],74.0
409,kiki,2017,['Documentary'],73.0
410,after the life,2004,"['Drama', 'Crime']",73.0
411,mike wallace is here,2019,"['Biography', 'Documentary']",73.0
412,little feet,2014,['Drama'],73.0
413,breaker morant,1980,"['Drama', 'History', 'War']",72.0
414,plagues and pleasures on the salton sea,2007,['Documentary'],72.0
415,battle for brooklyn,2011,"['Drama', 'Documentary']",71.0
416,koch,2013,"['Biography', 'History', 'Documentary']",71.0
417,bugsy malone,1976,"['Comedy', 'Crime', 'Family', 'Musical']",71.0
418,letters from baghdad,2017,['Documentary'],71.0
419,paint it black,2017,['Drama'],71.0
420,tel aviv on fire,2019,"['Drama', 'Comedy', 'Romance']",70.0
421,better living through circuitry,2000,"['Drama', 'Music', 'Documentary']",70.0
422,jason becker not dead yet,2012,"['Biography', 'Music', 'Documentary']",70.0
423,beautiful darling,2011,['Documentary'],69.0
424,rosenwald,2015,"['Biography', 'Documentary']",67.0
425,it came from kuchar,2010,"['Comedy', 'Documentary']",67.0
426,guidance,2015,['Comedy'],66.0
427,littlerock,2011,['Drama'],66.0
428,harvest of empire,2012,"['History', 'Documentary', 'News']",66.0
429,the swell season,2011,"['Romance', 'Music', 'Documentary']",65.0
430,faster pussycat kill,1965,"['Action', 'Comedy']",65.0
431,fishing without nets,2014,['Thriller'],65.0
432,naz maalik,2016,"['Adventure', 'Drama', 'Comedy']",65.0
433,monsieur n,2005,"['Biography', 'Drama', 'Mystery']",65.0
434,red flag,2013,"['Comedy', 'Romance']",65.0
435,wolke neun,2009,"['Drama', 'Romance']",64.0
436,sample this,2013,['Documentary'],64.0
437,wrestling with angels playwright tony kushner,2006,['Documentary'],64.0
438,the almost man,2014,"['Drama', 'Comedy']",64.0
439,coming through the rye,2016,['Drama'],64.0
440,enzo avitabile music life,2013,['Documentary'],64.0
441,we are x,2016,"['Music', 'Documentary']",64.0
442,woman is the future of man,2006,['Drama'],63.0
443,the caine mutiny,1954,"['Drama', 'War']",63.0
444,rubble kings,2015,['Documentary'],62.0
445,punching the clown,2010,['Comedy'],62.0
446,stolen childhoods,2005,['Documentary'],62.0
447,nearing grace,2006,['Drama'],62.0
448,dreams rewired,2015,"['History', 'Documentary', 'News']",62.0
449,the invisibles,2019,"['Biography', 'Drama', 'History', 'War']",60.0
450,len and company,2016,"['Drama', 'Comedy']",60.0
451,go for sisters,2013,"['Drama', 'Thriller', 'Crime']",59.0
452,follow me the yoni netanyahu story,2012,['Documentary'],58.0
453,blossoms of fire,2006,['Documentary'],58.0
454,defamation,2009,['Documentary'],58.0
455,pulling strings,2013,"['Comedy', 'Romance']",57.0
456,rubberneck,2013,"['Drama', 'Thriller']",57.0
457,confetti,2006,"['Comedy', 'Romance']",57.0
458,shake hands with the devil,2010,"['Drama', 'History', 'War']",57.0
459,limelight,2011,['Documentary'],57.0
460,i olga hepnarova,2017,"['Biography', 'Drama', 'Thriller', 'Crime']",57.0
461,sushi the global catch,2012,"['History', 'Documentary', 'News']",57.0
462,sacrifice,2012,"['Drama', 'History']",57.0
463,tommy s honour,2017,"['Biography', 'Drama', 'History', 'Sport', 'Romance']",56.0
464,greedy lying bastards,2013,['Documentary'],56.0
465,the driver,1978,"['Action', 'Thriller', 'Crime']",56.0
466,3 hearts,2015,['Drama'],56.0
467,spark a burning man story,2013,"['Action', 'Biography', 'Drama', 'Documentary']",55.0
468,union square,2012,['Drama'],55.0
469,dreaming of joseph lees,1999,"['Drama', 'Romance']",55.0
470,i am eleven,2014,"['Biography', 'Documentary']",55.0
471,the brooklyn brothers beat best,2012,"['Comedy', 'Music']",54.0
472,whole new thing,2007,"['Drama', 'Comedy']",54.0
473,amu,2007,['Drama'],54.0
474,next of kin,1989,"['Action', 'Thriller', 'Crime']",53.0
475,group,2002,"['Drama', 'Comedy']",53.0
476,ghost river,2004,['Drama'],52.0
477,zorro the gay blade,1981,"['Action', 'Adventure', 'Comedy', 'Romance', 'Western']",52.0
478,american chaos,2018,['Documentary'],52.0
479,private peaceful,2014,"['Drama', 'War']",51.0
480,the song of sway lake,2018,"['Drama', 'Romance', 'Musical']",51.0
481,twelve thirty,2011,['Drama'],50.0
482,the human scale,2013,"['Documentary', 'News']",50.0
483,auggie rose,2001,"['Drama', 'Mystery', 'Thriller']",49.0
484,just like us,2011,['Documentary'],49.0
485,special treatment,2011,"['Drama', 'Comedy']",49.0
486,meeting resistance,2007,['Documentary'],49.0
487,when comedy went to school,2013,"['Drama', 'Comedy', 'Documentary']",49.0
488,incantato,2004,"['Drama', 'Comedy', 'Romance']",48.0
489,spring fever,2010,['Drama'],47.0
490,the dry land,2010,['Drama'],47.0
491,u n me,2012,['Documentary'],46.0
492,little darlings,1980,"['Drama', 'Comedy']",45.0
