ID,title,release_year,genres,rating
118,mr untouchable,2007,['Documentary'],73.0
119,house,2008,"['Drama', 'Horror', 'Mystery', 'Suspense']",0.0
120,canvas,2007,['Drama'],78.0
121,skid row,2007,"['Documentary', 'Special Interest']",83.0
122,saawariya,2007,"['Art House', 'International', 'Drama', 'Musical', 'Performing Arts', 'Romance']",38.0
123,aaja nachle,2007,"['Art House', 'International', 'Drama', 'Musical', 'Performing Arts', 'Romance']",67.0
124,flawless,2008,"['Drama', 'Mystery', 'Suspense']",55.0
125,what happens in vegas,2008,"['Comedy', 'Romance']",26.0
126,appaloosa,2008,"['Action', 'Adventure', 'Western']",76.0
127,good,2008,['Drama'],32.0
128,the visitor,2008,['Drama'],89.0
129,meet bill,2008,['Comedy'],20.0
130,married life,2008,"['Comedy', 'Drama', 'Mystery', 'Suspense', 'Romance']",54.0
131,badland,2007,['Drama'],16.0
132,the oxford murders,2010,"['Art House', 'International', 'Drama', 'Horror', 'Mystery', 'Suspense']",17.0
133,untraceable,2008,"['Drama', 'Horror', 'Mystery', 'Suspense']",16.0
134,the informers,2009,"['Drama', 'Mystery', 'Suspense']",12.0
135,meeting resistance,2007,"['Documentary', 'Special Interest']",82.0
136,the freshman,1990,"['Comedy', 'Drama']",94.0
137,guta yubalja deul,2006,"['Art House', 'International', 'Drama', 'Mystery', 'Suspense']",42.0
138,kenny,2008,['Comedy'],100.0
139,the rocker,2008,"['Comedy', 'Drama']",41.0
140,the perfect holiday,2007,"['Kids', 'Family', 'Romance']",19.0
141,la graine et le mulet the secret of grain,2007,"['Art House', 'International', 'Drama']",93.0
142,land of the lost,2009,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Fantasy']",26.0
143,rec,2007,"['Art House', 'International', 'Horror', 'Special Interest']",89.0
144,look,2007,"['Comedy', 'Drama']",60.0
145,and god created woman,1988,"['Classics', 'Comedy', 'Drama', 'Romance']",38.0
146,the box,2009,"['Horror', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",44.0
147,man in the chair,2007,"['Comedy', 'Drama']",50.0
148,undoing,2006,"['Drama', 'Mystery', 'Suspense']",31.0
149,black water,2008,"['Horror', 'Mystery', 'Suspense']",80.0
150,21,2008,"['Drama', 'Mystery', 'Suspense']",35.0
151,the duchess of langeais ne touchez pas la hache,2007,"['Art House', 'International', 'Drama', 'Romance']",70.0
152,ben x,2007,"['Art House', 'International', 'Drama', 'Mystery', 'Suspense']",68.0
153,body of lies,2008,"['Drama', 'Mystery', 'Suspense']",55.0
154,passengers,2008,"['Drama', 'Mystery', 'Suspense']",19.0
155,the grand,2008,['Comedy'],40.0
156,the hammer,2007,['Comedy'],80.0
157,shutter,2008,"['Horror', 'Mystery', 'Suspense']",9.0
158,priest,2011,"['Action', 'Adventure', 'Horror', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy', 'Western']",15.0
159,the broken,2016,"['Horror', 'Mystery', 'Suspense']",49.0
160,the escapist,2008,"['Art House', 'International', 'Mystery', 'Suspense']",64.0
161,sugar,2008,"['Drama', 'Sports', 'Fitness']",92.0
162,quid pro quo,2008,"['Drama', 'Mystery', 'Suspense']",61.0
163,red,2008,"['Drama', 'Mystery', 'Suspense']",70.0
164,the guitar,2008,['Drama'],33.0
165,the road,2009,"['Drama', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",73.0
166,g force,2009,"['Action', 'Adventure', 'Comedy', 'Kids', 'Family', 'Science Fiction', 'Fantasy']",22.0
167,the other man,2008,['Drama'],15.0
168,the duchess,2008,['Drama'],62.0
169,the women,2008,"['Comedy', 'Drama']",14.0
170,public enemies,2009,"['Action', 'Adventure', 'Drama']",68.0
171,night and day,2009,"['Art House', 'International', 'Drama']",93.0
172,julia,2009,"['Art House', 'International', 'Drama', 'Mystery', 'Suspense']",72.0
173,angel and the badman,1947,"['Classics', 'Western', 'Romance']",71.0
174,fade to black,2006,"['Mystery', 'Suspense']",29.0
175,angel heart,1987,"['Drama', 'Mystery', 'Suspense']",79.0
176,old dogs,2009,"['Comedy', 'Drama', 'Kids', 'Family']",5.0
177,surrogates,2009,"['Action', 'Adventure', 'Comedy', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",37.0
178,the promotion,2008,['Comedy'],53.0
179,notorious,2009,"['Drama', 'Musical', 'Performing Arts']",52.0
180,soul men,2008,"['Comedy', 'Musical', 'Performing Arts']",46.0
181,igor,2008,"['Animation', 'Comedy', 'Kids', 'Family']",39.0
182,the matador,2008,"['Documentary', 'Special Interest']",73.0
183,the auteur,2008,['Comedy'],67.0
184,the caller,2008,"['Drama', 'Mystery', 'Suspense']",13.0
185,sin nombre,2009,"['Drama', 'Mystery', 'Suspense']",88.0
186,das haus der schlafenden schonen,2008,"['Art House', 'International', 'Drama']",28.0
187,the stone angel,2007,['Drama'],44.0
188,alvin and the chipmunks squeakquel,2009,"['Animation', 'Comedy', 'Kids', 'Family']",20.0
189,un conte de noel,2008,"['Art House', 'International', 'Comedy', 'Drama']",86.0
190,the rebound,2009,"['Comedy', 'Romance']",41.0
191,ripple effect,2008,['Drama'],29.0
192,1 000 times good night,2014,['Drama'],71.0
193,harold,2008,['Comedy'],31.0
194,push,2009,"['Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",23.0
195,felon,2008,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",63.0
196,scar,2007,"['Drama', 'Horror', 'Mystery', 'Suspense']",0.0
197,the unborn,2009,"['Horror', 'Mystery', 'Suspense']",10.0
198,bitch slap,2010,"['Action', 'Adventure']",29.0
199,forever strong,2008,['Drama'],29.0
200,chocolate,2008,"['Action', 'Adventure', 'Art House', 'International']",74.0
201,fireproof,2008,['Drama'],38.0
202,dostana,2008,"['Art House', 'International', 'Comedy']",87.0
203,the garden,2008,"['Documentary', 'Special Interest']",79.0
204,splinter,2008,"['Horror', 'Mystery', 'Suspense']",73.0
205,leaves of grass,2010,"['Comedy', 'Drama', 'Mystery', 'Suspense']",61.0
206,rab ne bana di jodi a couple made by god,2008,['Romance'],78.0
207,the proposal,2009,"['Comedy', 'Romance']",45.0
208,gigantic,2009,"['Comedy', 'Romance']",36.0
209,fuel,2008,"['Documentary', 'Special Interest']",72.0
210,hush,2009,"['Mystery', 'Suspense']",50.0
211,anna karenina,1935,"['Classics', 'Drama', 'Romance']",93.0
212,orphan,2009,"['Drama', 'Horror', 'Mystery', 'Suspense']",56.0
213,my sister s keeper,2009,['Drama'],48.0
214,the hangover,2009,['Comedy'],78.0
215,the stepfather,2009,"['Horror', 'Mystery', 'Suspense']",11.0
216,okuribito,2009,"['Art House', 'International', 'Drama']",80.0
217,boogie,2008,"['Comedy', 'Drama']",100.0
218,prima ballerina,2009,"['Art House', 'International', 'Special Interest']",81.0
219,season of the witch,2011,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",11.0
220,shuttle,2009,"['Mystery', 'Suspense']",50.0
221,miss march,2009,['Comedy'],5.0
222,an american affair,2009,"['Drama', 'Mystery', 'Suspense']",16.0
223,grace,2009,"['Drama', 'Horror']",71.0
224,endgame,2009,"['Drama', 'Mystery', 'Suspense']",71.0
225,the red baron,2008,"['Action', 'Adventure', 'Drama', 'Romance']",20.0
226,the objective,2008,"['Action', 'Adventure', 'Horror', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",33.0
227,happy tears,2010,"['Comedy', 'Drama']",27.0
228,the missing person,2009,"['Comedy', 'Drama', 'Mystery', 'Suspense']",64.0
229,polanski,2009,"['Art House', 'International', 'Drama']",0.0
230,mammoth,2009,"['Art House', 'International', 'Drama']",45.0
231,crude,2009,"['Documentary', 'Special Interest']",95.0
232,the messenger,2009,"['Drama', 'Romance']",90.0
233,lake mungo,2009,"['Horror', 'Mystery', 'Suspense']",95.0
234,venkovsky ucitel,2008,"['Art House', 'International', 'Drama']",81.0
235,the apartment,1960,"['Classics', 'Comedy', 'Drama', 'Romance']",93.0
236,chatham,2009,"['Comedy', 'Romance']",28.0
237,the ape,1940,"['Classics', 'Drama', 'Horror', 'Science Fiction', 'Fantasy']",43.0
238,fame,2009,"['Drama', 'Musical', 'Performing Arts', 'Romance']",24.0
239,outrage,2009,['Documentary'],77.0
240,skin,2009,"['Art House', 'International', 'Drama', 'Mystery', 'Suspense']",84.0
241,helen,2008,['Drama'],67.0
242,bakjwi,2009,"['Art House', 'International', 'Drama', 'Horror']",81.0
243,vengeance,2010,"['Action', 'Adventure', 'Art House', 'International', 'Mystery', 'Suspense']",91.0
244,new world order,2009,"['Documentary', 'Special Interest']",56.0
245,april fool s day,1986,['Horror'],50.0
246,blood the last vampire,2009,"['Action', 'Adventure', 'Art House', 'International', 'Horror', 'Science Fiction', 'Fantasy']",25.0
247,shrink,2009,"['Comedy', 'Drama']",27.0
248,ong bak 2,2009,"['Action', 'Adventure', 'Art House', 'International']",48.0
249,bananas,2009,"['Art House', 'International', 'Documentary', 'Special Interest']",86.0
250,last ride,2012,['Drama'],93.0
251,tron legacy,2010,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",51.0
252,the canyon,2009,"['Drama', 'Mystery', 'Suspense']",27.0
253,manson my name is evil,2009,"['Comedy', 'Drama', 'Science Fiction', 'Fantasy']",67.0
254,broken hill,2009,"['Drama', 'Kids', 'Family']",50.0
255,a beautiful life,2009,['Drama'],0.0
256,suck,2010,"['Comedy', 'Horror', 'Musical', 'Performing Arts']",50.0
257,chloe,2010,"['Drama', 'Mystery', 'Suspense']",51.0
258,armed and dangerous,1986,['Comedy'],10.0
259,the hole,2012,"['Kids', 'Family', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",81.0
260,nobody s perfect,2008,"['Art House', 'International', 'Documentary', 'Drama', 'Special Interest', 'Sports', 'Fitness']",73.0
261,the good soldier,2009,"['Documentary', 'Drama', 'Special Interest', 'Television']",75.0
262,high life,2009,['Comedy'],80.0
263,around the world in 80 days,1956,"['Action', 'Adventure', 'Comedy', 'Drama', 'Kids', 'Family']",69.0
264,the fall,2009,"['Drama', 'Mystery', 'Suspense']",20.0
265,the good heart,2010,['Drama'],30.0
266,wonderful world,2010,"['Drama', 'Romance']",42.0
267,collapse,2009,"['Documentary', 'Special Interest']",83.0
268,three blind mice,2017,"['Comedy', 'Drama']",80.0
269,the last song,2010,"['Drama', 'Kids', 'Family', 'Romance']",21.0
270,babies,2010,"['Documentary', 'Special Interest']",68.0
271,lottery ticket,2010,['Comedy'],34.0
272,going the distance,2010,"['Comedy', 'Romance']",54.0
273,life as we know it,2010,"['Comedy', 'Drama']",29.0
274,the final,2010,"['Drama', 'Horror', 'Mystery', 'Suspense']",13.0
275,frozen,2010,"['Drama', 'Horror', 'Mystery', 'Suspense']",63.0
276,prodigal sons,2010,"['Documentary', 'Special Interest']",87.0
277,the ghost writer,2010,"['Drama', 'Mystery', 'Suspense']",84.0
278,repo men,2010,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",22.0
279,7 days,2010,"['Art House', 'International', 'Horror', 'Mystery', 'Suspense']",80.0
280,daddy longlegs,2010,"['Comedy', 'Drama']",78.0
281,veer,2010,"['Art House', 'International', 'Classics', 'Drama']",40.0
282,winter s bone,2010,['Drama'],94.0
283,the kids are all right,2010,"['Comedy', 'Drama']",92.0
284,lucky,2010,"['Documentary', 'Special Interest']",60.0
285,high school,2012,['Comedy'],28.0
286,stolen,2010,"['Drama', 'Mystery', 'Suspense']",0.0
287,the killing jar,2010,"['Drama', 'Mystery', 'Suspense']",0.0
288,la mission,2010,['Drama'],50.0
289,predators,2010,"['Action', 'Adventure', 'Horror', 'Science Fiction', 'Fantasy']",64.0
290,stonewall uprising,2010,"['Documentary', 'Special Interest']",84.0
291,the oath,2010,"['Documentary', 'Special Interest']",91.0
292,the wild hunt,2010,"['Drama', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",82.0
293,arthur,1981,"['Comedy', 'Romance']",88.0
294,the lottery,2010,"['Documentary', 'Special Interest']",64.0
295,assault on precinct 13,1976,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",98.0
296,asylum,1972,"['Documentary', 'Horror', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy', 'Special Interest', 'Romance']",67.0
297,attack of the 50 foot woman,1958,"['Classics', 'Science Fiction', 'Fantasy']",75.0
298,avenging angel,2015,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",33.0
299,the aviator,1985,"['Action', 'Adventure', 'Drama']",20.0
300,the awakening,1980,"['Horror', 'Mystery', 'Suspense']",0.0
301,babes in toyland,1961,"['Kids', 'Family', 'Musical', 'Performing Arts', 'Science Fiction', 'Fantasy', 'Romance']",36.0
302,bad company,1972,"['Action', 'Adventure', 'Drama', 'Western']",92.0
303,the bad news bears,1976,"['Classics', 'Comedy']",97.0
304,the bad seed,1956,"['Classics', 'Drama', 'Horror', 'Mystery', 'Suspense']",63.0
305,bang the drum slowly,1973,"['Classics', 'Comedy', 'Drama', 'Sports', 'Fitness']",92.0
306,battleground,1949,"['Action', 'Adventure', 'Classics', 'Drama']",75.0
307,beauty and the beast,1946,"['Drama', 'Science Fiction', 'Fantasy', 'Romance']",95.0
308,the belles of st trinian s,2020,"['Action', 'Adventure', 'Classics', 'Comedy']",67.0
309,1001 grams,2015,['Drama'],82.0
310,the best of times,1986,"['Comedy', 'Drama']",31.0
311,betrayed,1988,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",42.0
312,the big brawl,1980,"['Action', 'Adventure', 'Comedy']",67.0
313,big business,1988,['Comedy'],44.0
314,the big heat,2014,"['Classics', 'Drama', 'Mystery', 'Suspense']",100.0
315,the big sleep,1946,"['Classics', 'Drama', 'Mystery', 'Suspense']",97.0
316,the big sleep,2017,"['Art House', 'International', 'Drama', 'Mystery', 'Suspense']",67.0
317,billy budd,1962,"['Action', 'Adventure', 'Classics', 'Drama']",90.0
318,the birds,1963,"['Classics', 'Horror', 'Mystery', 'Suspense']",95.0
319,black christmas,1974,"['Horror', 'Mystery', 'Suspense']",71.0
320,the black hole,1979,"['Action', 'Adventure', 'Kids', 'Family', 'Science Fiction', 'Fantasy']",38.0
321,the black pirate,1926,"['Action', 'Adventure', 'Classics']",100.0
322,black rain,2013,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",50.0
323,black sunday,1977,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Suspense']",69.0
324,black widow,1987,"['Drama', 'Mystery', 'Suspense']",50.0
325,blackmail,1929,"['Classics', 'Drama', 'Mystery', 'Suspense']",86.0
326,blind date,1987,"['Comedy', 'Drama']",21.0
327,blood and sand,1941,"['Classics', 'Drama', 'Romance']",100.0
328,blood feast,1963,"['Classics', 'Horror']",38.0
329,der blaue engel,1930,"['Art House', 'International', 'Classics', 'Drama', 'Musical', 'Performing Arts']",96.0
330,bluebeard,1944,"['Classics', 'Drama', 'Horror', 'Mystery', 'Suspense']",100.0
331,the border,1982,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",80.0
332,born yesterday,1950,"['Classics', 'Comedy', 'Drama']",97.0
333,the boston strangler,1968,"['Classics', 'Drama', 'Mystery', 'Suspense']",86.0
334,the bounty,1984,"['Action', 'Adventure', 'Drama']",74.0
335,the boys from brazil,1978,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",69.0
336,brainstorm,1983,"['Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",55.0
337,breakout,2012,"['Action', 'Adventure']",40.0
338,brewster s millions,1985,['Comedy'],35.0
339,brian s song,1970,"['Classics', 'Drama', 'Television']",92.0
340,brief encounter,1945,"['Classics', 'Drama', 'Romance']",91.0
341,broken arrow,1950,"['Action', 'Adventure', 'Classics', 'Drama', 'Western', 'Romance']",89.0
342,broken blossoms,1919,"['Classics', 'Drama', 'Romance']",95.0
343,the brotherhood,1968,"['Action', 'Adventure', 'Classics', 'Drama']",67.0
344,bug,1975,"['Classics', 'Horror', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",33.0
345,burglar,1987,"['Comedy', 'Drama']",27.0
346,bus stop,1956,"['Comedy', 'Drama', 'Romance']",79.0
347,butch cassidy and the sundance kid,1969,"['Action', 'Adventure', 'Classics', 'Western']",90.0
348,bye birdie,1963,"['Classics', 'Comedy', 'Kids', 'Family', 'Musical', 'Performing Arts']",89.0
349,calamity jane,1953,"['Classics', 'Comedy', 'Musical', 'Performing Arts', 'Western', 'Romance']",71.0
350,camelot,1967,"['Action', 'Adventure', 'Classics', 'Comedy', 'Drama', 'Musical', 'Performing Arts', 'Science Fiction', 'Fantasy', 'Romance']",41.0
351,camille,1936,"['Classics', 'Drama', 'Romance']",93.0
352,cape fear,1962,"['Classics', 'Drama', 'Mystery', 'Suspense']",100.0
353,captain blood,1935,"['Action', 'Adventure', 'Classics']",100.0
354,captains courageous,1937,"['Action', 'Adventure', 'Classics']",94.0
355,carnival of souls,1962,"['Classics', 'Comedy', 'Horror', 'Mystery', 'Suspense']",86.0
356,carny,1980,"['Drama', 'Horror']",50.0
357,carrie,1976,['Horror'],93.0
358,casablanca,1942,"['Classics', 'Drama', 'Romance']",99.0
359,casino royale,1967,"['Action', 'Adventure', 'Classics', 'Comedy']",25.0
360,the cat and canary,1927,"['Classics', 'Horror', 'Mystery', 'Suspense']",94.0
361,cat on a hot tin roof,1958,"['Classics', 'Drama']",97.0
362,cat people,1942,"['Drama', 'Horror', 'Romance']",95.0
363,cat people,1982,"['Drama', 'Horror', 'Mystery', 'Suspense']",61.0
364,caught,1949,"['Classics', 'Drama', 'Mystery', 'Suspense']",100.0
365,the champ,1979,"['Drama', 'Sports', 'Fitness']",36.0
366,champion,1949,"['Classics', 'Drama']",93.0
367,charade,1963,"['Classics', 'Comedy', 'Drama', 'Mystery', 'Suspense']",94.0
368,charlotte s web,1973,"['Animation', 'Kids', 'Family']",77.0
369,the chase,1966,"['Classics', 'Drama']",89.0
370,checking out,1989,['Comedy'],20.0
371,children of the corn,1984,"['Cult Movies', 'Horror', 'Mystery', 'Suspense']",35.0
372,the chosen,1981,['Drama'],75.0
373,a christmas carol,1938,"['Classics', 'Drama', 'Kids', 'Family', 'Science Fiction', 'Fantasy']",100.0
374,christmas in connecticut,1945,"['Classics', 'Comedy']",88.0
375,a christmas story,1983,"['Comedy', 'Drama', 'Kids', 'Family']",89.0
376,cimarron,1931,"['Classics', 'Drama', 'Western']",50.0
377,cleopatra,1963,"['Classics', 'Drama']",62.0
378,college,1927,"['Classics', 'Comedy', 'Romance']",89.0
379,colors,1988,"['Action', 'Adventure', 'Drama']",82.0
380,coma,1978,"['Action', 'Adventure', 'Mystery', 'Suspense']",81.0
381,commando,1985,"['Action', 'Adventure']",71.0
382,convoy,1978,"['Action', 'Adventure', 'Drama']",43.0
383,countdown,1968,"['Action', 'Adventure', 'Documentary', 'Drama', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",67.0
384,the country girl,1954,"['Classics', 'Drama']",86.0
385,cover girl,1944,"['Classics', 'Comedy', 'Musical', 'Performing Arts', 'Romance']",95.0
386,creature from the black lagoon,1954,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction', 'Fantasy']",79.0
387,crossroads,1986,['Drama'],73.0
388,cutting class,1989,"['Comedy', 'Drama', 'Horror']",25.0
389,damn yankees,1958,"['Classics', 'Comedy', 'Drama', 'Musical', 'Performing Arts', 'Science Fiction', 'Fantasy']",76.0
