title,year,genres_ml,rating_movielens
swimming with sharks,1995,"['Comedy', 'Drama']",3.55
sum of us the,1994,"['Comedy', 'Drama']",4.0
national lampoons senior trip,1995,['Comedy'],2.5
to live huozhe,1994,['Drama'],4.0
tank girl,1995,"['Action', 'Comedy', 'Sci-Fi']",2.82
tales from the crypt presents demon knight,1995,"['Horror', 'Thriller']",3.15
star trek generations,1994,"['Adventure', 'Drama', 'Sci-Fi']",3.39
tales from the hood,1995,"['Action', 'Crime', 'Horror']",3.0
tom viv,1994,['Drama'],3.0
village of the damned,1995,"['Horror', 'Sci-Fi']",2.83
tommy boy,1995,['Comedy'],3.78
vanya on 42nd street,1994,['Drama'],4.2
underneath,1995,"['Mystery', 'Thriller']",3.5
walking dead the,1995,"['Drama', 'War']",3.0
whats eating gilbert grape,1993,['Drama'],3.77
virtuosity,1995,"['Action', 'Sci-Fi', 'Thriller']",2.84
while you were sleeping,1995,"['Comedy', 'Romance']",3.47
war the,1994,"['Adventure', 'Drama', 'War']",3.4
double happiness,1994,['Drama'],4.0
muriels wedding,1994,['Comedy'],3.27
babysitters club the,1995,['Children'],2.9
ace ventura pet detective,1994,['Comedy'],3.04
adventures of priscilla queen of the desert the,1994,"['Comedy', 'Drama']",3.6
backbeat,1993,"['Drama', 'Musical']",3.5
bitter moon,1992,"['Drama', 'Film-Noir', 'Romance']",3.5
bullets over broadway,1994,['Comedy'],3.58
clear and present danger,1994,"['Action', 'Crime', 'Drama', 'Thriller']",3.6
client the,1994,"['Drama', 'Mystery', 'Thriller']",3.39
corrina corrina,1994,"['Comedy', 'Drama', 'Romance']",3.18
crooklyn,1994,"['Comedy', 'Drama']",2.5
crow the,1994,"['Action', 'Crime', 'Fantasy', 'Thriller']",3.61
cobb,1994,['Drama'],3.33
flintstones the,1994,"['Children', 'Comedy', 'Fantasy']",2.36
forrest gump,1994,"['Comedy', 'Drama', 'Romance', 'War']",4.16
four weddings and a funeral,1994,"['Comedy', 'Romance']",3.52
higher learning,1995,['Drama'],2.67
i like it like that,1994,"['Comedy', 'Drama', 'Romance']",3.0
i love trouble,1994,"['Action', 'Comedy']",2.69
it could happen to you,1994,"['Comedy', 'Drama', 'Romance']",3.06
jungle book the,1994,"['Adventure', 'Children', 'Romance']",3.53
wonderful horrible life of leni riefenstahl the macht der bilder leni riefenstahl die,1993,['Documentary'],4.0
lion king the,1994,"['Adventure', 'Animation', 'Children', 'Drama', 'Musical', 'IMAX']",3.94
little buddha,1993,['Drama'],3.25
wes cravens new nightmare nightmare on elm street part 7 freddys finale a,1994,"['Drama', 'Horror', 'Mystery', 'Thriller']",2.92
mask the,1994,"['Action', 'Comedy', 'Crime', 'Fantasy']",3.18
maverick,1994,"['Adventure', 'Comedy', 'Western']",3.5
mrs parker and the vicious circle,1994,['Drama'],4.0
naked gun 33 13 the final insult,1994,"['Action', 'Comedy']",3.06
paper the,1994,"['Comedy', 'Drama']",3.31
reality bites,1994,"['Comedy', 'Drama', 'Romance']",2.76
red rock west,1992,['Thriller'],3.64
richie rich,1994,"['Children', 'Comedy']",2.2
river wild the,1994,"['Action', 'Thriller']",3.25
speed,1994,"['Action', 'Romance', 'Thriller']",3.53
speechless,1994,"['Comedy', 'Romance']",2.79
timecop,1994,"['Action', 'Sci-Fi', 'Thriller']",2.5
true lies,1994,"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']",3.5
when a man loves a woman,1994,"['Drama', 'Romance']",3.82
wolf,1994,"['Drama', 'Horror', 'Romance', 'Thriller']",3.16
wyatt earp,1994,['Western'],3.1
bad company,1995,"['Action', 'Crime', 'Drama']",3.25
man of no importance a,1994,['Drama'],4.0
sfw,1994,['Drama'],3.0
low down dirty shame a,1994,"['Action', 'Comedy']",2.38
boys life,1995,['Drama'],3.0
colonel chabert le,1994,"['Drama', 'Romance', 'War']",4.5
faster pussycat kill kill,1965,"['Action', 'Crime', 'Drama']",3.7
jasons lyric,1994,"['Crime', 'Drama']",4.5
street fighter,1994,"['Action', 'Adventure', 'Fantasy']",2.5
highlander iii the sorcerer aka highlander the final dimension,1994,"['Action', 'Fantasy']",2.42
federal hill,1994,['Drama'],3.0
in the mouth of madness,1995,"['Horror', 'Thriller']",3.44
8 seconds,1994,['Drama'],3.0
above the rim,1994,"['Crime', 'Drama']",2.0
addams family values,1993,"['Children', 'Comedy', 'Fantasy']",3.1
age of innocence the,1993,['Drama'],3.5
airheads,1994,['Comedy'],2.79
air up there the,1994,['Comedy'],2.33
another stakeout,1993,"['Comedy', 'Thriller']",2.53
bad girls,1994,['Western'],2.5
barcelona,1994,"['Comedy', 'Romance']",3.69
being human,1993,['Drama'],3.0
beverly hillbillies the,1993,['Comedy'],2.68
beverly hills cop iii,1994,"['Action', 'Comedy', 'Crime', 'Thriller']",2.72
black beauty,1994,"['Adventure', 'Children', 'Drama']",3.21
blink,1994,['Thriller'],3.2
blown away,1994,"['Action', 'Thriller']",2.85
blue chips,1994,['Drama'],1.83
blue sky,1994,"['Drama', 'Romance']",3.75
body snatchers,1993,"['Horror', 'Sci-Fi', 'Thriller']",3.14
boxing helena,1993,"['Drama', 'Mystery', 'Romance', 'Thriller']",2.54
bronx tale a,1993,['Drama'],3.72
cabin boy,1994,['Comedy'],2.0
calendar girl,1993,"['Comedy', 'Drama']",3.75
carlitos way,1993,"['Crime', 'Drama']",3.74
city slickers ii the legend of curlys gold,1994,"['Adventure', 'Comedy', 'Western']",2.65
clean slate,1994,['Comedy'],2.75
cliffhanger,1993,"['Action', 'Adventure', 'Thriller']",3.03
coneheads,1993,"['Comedy', 'Sci-Fi']",2.42
color of night,1994,"['Drama', 'Thriller']",2.57
cops and robbersons,1994,['Comedy'],2.17
cowboy way the,1994,"['Action', 'Comedy', 'Drama']",2.71
dave,1993,"['Comedy', 'Romance']",3.55
dazed and confused,1993,['Comedy'],3.93
demolition man,1993,"['Action', 'Adventure', 'Sci-Fi']",3.09
even cowgirls get the blues,1993,"['Comedy', 'Romance']",2.33
fatal instinct,1993,['Comedy'],3.0
farewell my concubine ba wang bie ji,1993,"['Drama', 'Romance']",3.83
fearless,1993,['Drama'],3.62
fear of a black hat,1994,['Comedy'],1.0
with honors,1994,"['Comedy', 'Drama']",3.0
flesh and bone,1993,"['Drama', 'Mystery', 'Romance']",4.0
widows peak,1994,['Drama'],3.0
for love or money,1993,"['Comedy', 'Romance']",2.8
firm the,1993,"['Drama', 'Thriller']",3.53
free willy,1993,"['Adventure', 'Children', 'Drama']",2.39
fresh,1994,"['Crime', 'Drama', 'Thriller']",3.75
fugitive the,1993,['Thriller'],3.99
geronimo an american legend,1993,"['Drama', 'Western']",2.8
getaway the,1994,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']",2.25
getting even with dad,1994,['Comedy'],2.67
go fish,1994,"['Drama', 'Romance']",2.75
hard target,1993,"['Action', 'Adventure', 'Crime', 'Thriller']",2.9
hot shots part deux,1993,"['Action', 'Comedy', 'War']",2.87
live nude girls,1995,['Comedy'],5.0
englishman who went up a hill but came down a mountain the,1995,"['Comedy', 'Romance']",3.2
house of the spirits the,1993,"['Drama', 'Romance']",3.4
house party 3,1994,['Comedy'],1.0
hudsucker proxy the,1994,['Comedy'],3.55
ill do anything,1994,"['Comedy', 'Drama']",2.58
in the army now,1994,"['Comedy', 'War']",1.86
in the line of fire,1993,"['Action', 'Thriller']",3.69
in the name of the father,1993,['Drama'],4.3
inkwell the,1994,"['Comedy', 'Drama']",1.0
whats love got to do with it,1993,"['Drama', 'Musical']",3.38
jimmy hollywood,1994,"['Comedy', 'Crime', 'Drama']",2.5
judgment night,1993,"['Action', 'Crime', 'Thriller']",2.25
jurassic park,1993,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",3.75
kalifornia,1993,"['Drama', 'Thriller']",3.16
killing zoe,1994,"['Crime', 'Drama', 'Thriller']",3.62
lassie,1994,"['Adventure', 'Children']",3.0
last action hero,1993,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2.93
life with mikey,1993,['Comedy'],3.0
lightning jack,1994,"['Comedy', 'Western']",2.5
m butterfly,1993,"['Drama', 'Romance']",3.0
made in america,1993,['Comedy'],2.86
malice,1993,['Thriller'],3.0
man without a face the,1993,['Drama'],3.29
manhattan murder mystery,1993,"['Comedy', 'Mystery']",3.75
menace ii society,1993,"['Action', 'Crime', 'Drama']",3.67
executive decision,1996,"['Action', 'Adventure', 'Thriller']",3.38
in the realm of the senses ai no corrida,1976,['Drama'],5.0
what happened was,1994,"['Comedy', 'Drama', 'Romance', 'Thriller']",5.0
much ado about nothing,1993,"['Comedy', 'Romance']",3.81
mr wonderful,1993,"['Comedy', 'Romance']",2.5
mrs doubtfire,1993,"['Comedy', 'Drama']",3.39
naked,1993,['Drama'],3.67
next karate kid the,1994,"['Action', 'Children', 'Romance']",2.37
no escape,1994,"['Action', 'Drama', 'Sci-Fi']",3.0
north,1994,['Comedy'],2.21
orlando,1992,"['Drama', 'Fantasy', 'Romance']",4.5
perfect world a,1993,"['Crime', 'Drama', 'Thriller']",3.38
philadelphia,1993,['Drama'],3.61
piano the,1993,"['Drama', 'Romance']",3.54
poetic justice,1993,['Drama'],3.0
program the,1993,"['Action', 'Drama']",3.0
puppet masters the,1994,"['Horror', 'Sci-Fi']",3.0
radioland murders,1994,"['Comedy', 'Mystery', 'Romance']",3.38
ref the,1994,['Comedy'],3.42
remains of the day the,1993,"['Drama', 'Romance']",3.6
renaissance man,1994,"['Comedy', 'Drama']",3.06
rising sun,1993,"['Action', 'Drama', 'Mystery']",3.28
road to wellville the,1994,['Comedy'],2.38
robocop 3,1993,"['Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']",2.4
robin hood men in tights,1993,['Comedy'],3.13
romeo is bleeding,1993,"['Crime', 'Thriller']",3.17
romper stomper,1992,"['Action', 'Drama']",3.29
ruby in paradise,1993,['Drama'],3.5
rudy,1993,['Drama'],3.49
savage nights nuits fauves les,1992,['Drama'],4.0
schindlers list,1993,"['Drama', 'War']",4.22
scout the,1994,"['Comedy', 'Drama']",2.33
searching for bobby fischer,1993,['Drama'],3.88
secret garden the,1993,"['Children', 'Drama']",3.25
serial mom,1994,"['Comedy', 'Crime', 'Horror']",3.0
shadow the,1994,"['Action', 'Adventure', 'Fantasy', 'Mystery']",2.89
shadowlands,1993,"['Drama', 'Romance']",3.61
short cuts,1993,['Drama'],3.27
simple twist of fate a,1994,['Drama'],3.33
sirens,1994,['Drama'],3.17
six degrees of separation,1993,['Drama'],3.58
sleepless in seattle,1993,"['Comedy', 'Drama', 'Romance']",3.47
sliver,1993,['Thriller'],2.67
blade runner,1982,"['Action', 'Sci-Fi', 'Thriller']",4.1
son in law,1993,"['Comedy', 'Drama', 'Romance']",2.79
so i married an axe murderer,1993,"['Comedy', 'Romance', 'Thriller']",3.32
striking distance,1993,"['Action', 'Crime']",2.44
super mario bros,1993,"['Action', 'Adventure', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']",2.0
surviving the game,1994,"['Action', 'Adventure', 'Thriller']",3.25
terminal velocity,1994,"['Action', 'Mystery', 'Thriller']",2.75
thirtytwo short films about glenn gould,1993,"['Drama', 'Musical']",4.5
threesome,1994,"['Comedy', 'Romance']",3.4
nightmare before christmas the,1993,"['Animation', 'Children', 'Fantasy', 'Musical']",3.55
three musketeers the,1993,"['Action', 'Adventure', 'Comedy', 'Romance']",3.26
tombstone,1993,"['Action', 'Drama', 'Western']",3.82
true romance,1993,"['Crime', 'Thriller']",3.8
war room the,1993,['Documentary'],3.33
pagemaster the,1994,"['Action', 'Adventure', 'Animation', 'Children', 'Fantasy']",2.94
welcome to the dollhouse,1995,"['Comedy', 'Drama']",3.54
germinal,1993,"['Drama', 'Romance']",4.0
chasers,1994,['Comedy'],1.5
kika,1993,"['Comedy', 'Drama']",2.0
