title,release_date_rt,year,genres_rt,rating_rt_audience
limelight,1952-10-23,1952,"['Classics', 'Comedy', 'Drama']",90.0
limelight,2011-09-23,2011,"['Documentary', 'Special Interest']",64.0
limey,,,"['Drama', 'Mystery & Suspense']",78.0
limitless,2011-03-18,2011,"['Mystery & Suspense', 'Science Fiction & Fantasy']",74.0
limits of control,2009-05-01,2009,"['Drama', 'Mystery & Suspense']",43.0
lincoln,2012-11-16,2012,['Drama'],81.0
lincoln lawyer,2011-03-10,2011,"['Drama', 'Mystery & Suspense']",82.0
linda ronstadt the sound of my voice,2019-09-06,2019,['Documentary'],99.0
line of duty,2019-11-15,2019,"['Action & Adventure', 'Mystery & Suspense']",39.0
linsanity,2013-10-04,2013,"['Documentary', 'Sports & Fitness']",77.0
lion,2016-11-25,2016,['Drama'],91.0
lion king 1 12,2004-02-10,2004,"['Animation', 'Kids & Family']",62.0
lion of the desert omar mukhtar,1981-04-17,1981,"['Action & Adventure', 'Classics', 'Drama']",93.0
lionheart,1991-01-11,1991,['Action & Adventure'],52.0
lions for lambs,2007-11-09,2007,['Drama'],47.0
lipstick,1976-04-02,1976,"['Drama', 'Mystery & Suspense']",37.0
lipstick dynamite the first ladies of wrestling,2004-05-05,2004,"['Classics', 'Comedy', 'Documentary', 'Sports & Fitness']",57.0
listen up philip,2014-10-17,2014,['Drama'],54.0
listening,2015-09-11,2015,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",42.0
literally right before aaron,2017-09-29,2017,"['Comedy', 'Drama', 'Romance']",48.0
little fauss and big halsy,1970-10-21,1970,"['Action & Adventure', 'Drama']",46.0
little,2019-04-12,2019,['Comedy'],60.0
little accidents,2015-01-16,2015,['Drama'],29.0
little ashes,2009-05-08,2009,['Drama'],49.0
little big league,1994-06-29,1994,"['Comedy', 'Kids & Family']",53.0
little big man,1970-12-14,1970,"['Action & Adventure', 'Classics', 'Western']",87.0
little big soldier da bing xiao jiang,2011-08-23,2011,"['Action & Adventure', 'Art House & International', 'Comedy']",69.0
little birds,2012-08-31,2012,['Drama'],42.0
little black book,2004-08-06,2004,['Comedy'],37.0
little boy,2015-04-24,2015,['Drama'],78.0
little boy blue,1998-05-29,1998,"['Drama', 'Mystery & Suspense']",70.0
little buddha,1994-05-25,1994,"['Art House & International', 'Drama']",53.0
little caesar,1931-01-25,1931,"['Classics', 'Drama']",75.0
little children,2006-10-06,2006,"['Comedy', 'Drama']",82.0
little dieter needs to fly escape from laos,1998-02-14,1998,['Documentary'],94.0
little evil,2017-09-01,2017,"['Comedy', 'Horror']",47.0
little fockers,2010-12-22,2010,['Comedy'],34.0
little foxes,1941-08-21,1941,"['Classics', 'Drama']",88.0
little fugitive,1953-10-06,1953,"['Action & Adventure', 'Classics', 'Drama']",88.0
little giants,1994-10-14,1994,"['Comedy', 'Kids & Family']",63.0
little girl who lives down the lane,1976-01-01,1976,"['Art House & International', 'Classics', 'Drama', 'Horror', 'Mystery & Suspense']",75.0
little italy,2018-09-21,2018,"['Comedy', 'Romance']",59.0
little jerusalem,2006-01-27,2006,"['Art House & International', 'Drama']",67.0
little joe,2019-12-06,2019,"['Drama', 'Science Fiction & Fantasy']",42.0
little man,2006-07-14,2006,['Comedy'],55.0
little man,2005-10-28,2005,"['Documentary', 'Special Interest']",80.0
little man tate,1991-10-09,1991,"['Drama', 'Kids & Family']",66.0
little manhattan,2005-09-30,2005,"['Comedy', 'Drama', 'Kids & Family', 'Romance']",86.0
little men,1998-05-08,1998,"['Documentary', 'Drama', 'Kids & Family']",79.0
little men,2016-08-05,2016,['Drama'],63.0
little mermaid ariels beginning,2008-08-26,2008,"['Animation', 'Kids & Family']",56.0
little miss sunshine,2006-07-26,2006,['Comedy'],91.0
little monsters,1989-08-25,1989,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",62.0
little monsters,2019-10-08,2019,"['Comedy', 'Horror']",100.0
little nicky,2000-11-10,2000,['Comedy'],56.0
little nikita,1988-01-01,1988,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",45.0
little odessa,1995-05-19,1995,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",70.0
little pink house,2018-04-20,2018,['Drama'],80.0
little red wagon,2012-10-05,2012,"['Drama', 'Kids & Family']",61.0
little secrets,2002-08-23,2002,"['Comedy', 'Drama', 'Kids & Family']",58.0
little sister,2016-10-14,2016,['Comedy'],56.0
little vampire,2000-10-27,2000,"['Action & Adventure', 'Comedy', 'Kids & Family']",55.0
little voice,1998-12-04,1998,"['Art House & International', 'Comedy', 'Drama']",74.0
little white lie,2014-10-10,2014,"['Documentary', 'Drama', 'Kids & Family', 'Special Interest']",80.0
little white lies,2012-08-24,2012,"['Art House & International', 'Comedy', 'Drama']",64.0
little women,2018-09-28,2018,['Drama'],70.0
little woods,2019-04-26,2019,['Drama'],53.0
littlerock,2011-08-12,2011,"['Comedy', 'Drama']",71.0
littlest rebel,1935-11-22,1935,"['Classics', 'Comedy', 'Drama', 'Kids & Family', 'Musical & Performing Arts']",71.0
live and let die,1973-06-27,1973,"['Action & Adventure', 'Mystery & Suspense']",64.0
live at the foxes den,2013-12-06,2013,['Drama'],74.0
live by night,2017-01-13,2017,['Drama'],41.0
live die repeat edge of tomorrow,2014-06-06,2014,"['Drama', 'Science Fiction & Fantasy']",90.0
live flesh carne tremula,1998-01-16,1998,"['Art House & International', 'Drama']",87.0
live forever live forever the rise and fall of brit pop,2003-03-07,2003,"['Art House & International', 'Documentary', 'Musical & Performing Arts']",83.0
live free or die hard,2007-06-27,2007,"['Action & Adventure', 'Mystery & Suspense']",86.0
livein maid,2007-07-18,2007,"['Art House & International', 'Comedy', 'Drama']",75.0
live nude girls,1995-12-08,1995,['Comedy'],39.0
live nude girls unite,2000-10-06,2000,"['Documentary', 'Special Interest']",63.0
live twice love once vivir dos veces,,,"['Comedy', 'Drama']",72.0
living among us,2018-02-02,2018,['Horror'],74.0
living daylights,1987-06-29,1987,"['Action & Adventure', 'Mystery & Suspense']",66.0
living in emergency stories of doctors without borders,2010-06-04,2010,"['Documentary', 'Special Interest']",79.0
living in oblivion,1995-07-14,1995,"['Comedy', 'Drama']",87.0
living is easy with eyes closed,2014-06-27,2014,"['Art House & International', 'Drama']",77.0
living out loud,1998-10-30,1998,"['Comedy', 'Drama']",63.0
living wake,2010-05-21,2010,"['Art House & International', 'Comedy', 'Drama']",71.0
liyana,2018-10-10,2018,"['Animation', 'Art House & International', 'Documentary']",74.0
liz dick,2012-01-01,2012,"['Drama', 'Television']",19.0
lizzie,2018-09-14,2018,['Drama'],48.0
lizzie borden took an ax,,,"['Drama', 'Television']",34.0
lizzie mcguire movie,2003-05-02,2003,"['Comedy', 'Kids & Family']",49.0
lloyd the conqueror,,,['Comedy'],46.0
and behold reveries of the connected world,2016-08-19,2016,['Documentary'],67.0
local color,2006-04-29,2006,['Drama'],58.0
local hero,1983-02-18,1983,"['Art House & International', 'Comedy', 'Drama']",87.0
lock stock and two smoking barrels,1999-03-05,1999,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']",93.0
locke,2014-04-25,2014,"['Drama', 'Mystery & Suspense']",72.0
locker 13,2014-03-28,2014,"['Drama', 'Mystery & Suspense']",53.0
lockout,2012-04-13,2012,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",46.0
loco love,2003-08-15,2003,"['Comedy', 'Romance']",30.0
locusts,1997-10-03,1997,['Drama'],44.0
logan,2017-03-03,2017,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",90.0
logan lucky,2017-08-18,2017,['Comedy'],76.0
logans run,1976-06-23,1976,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",67.0
loggerheads,2005-01-21,2005,"['Art House & International', 'Drama', 'Romance']",65.0
loins of punjab presents,2007-04-13,2007,"['Comedy', 'Drama']",72.0
loitering with intent,2015-01-16,2015,"['Comedy', 'Drama']",26.0
lol,2006-08-23,2006,"['Art House & International', 'Comedy', 'Drama']",33.0
lol,2012-05-04,2012,['Comedy'],51.0
lola versus,2012-06-08,2012,['Comedy'],31.0
london boulevard,2011-11-11,2011,"['Drama', 'Mystery & Suspense']",30.0
london mon amour mes amis mes amours,2008-07-02,2008,"['Art House & International', 'Comedy', 'Romance']",41.0
london fields,2018-10-26,2018,['Mystery & Suspense'],48.0
london has fallen,2016-03-04,2016,['Action & Adventure'],51.0
london river,2011-12-07,2011,"['Art House & International', 'Drama']",67.0
london the modern babylon,2013-06-04,2013,"['Documentary', 'Special Interest']",82.0
london town,2016-10-07,2016,['Drama'],68.0
londons finest hackneys finest,,,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",33.0
lone ranger and the lost city of gold,1958-12-15,1958,"['Classics', 'Western']",71.0
lone survivor,2014-01-10,2014,"['Action & Adventure', 'Drama']",87.0
lone wolf and cub baby cart at the river styx kozure okami sanzu no kawa no ubaguruma shogun assassin,1972-01-01,1972,"['Action & Adventure', 'Art House & International']",91.0
lone wolf and cub sword of vengeance kozure okami kowokashi udekashi tsukamatsuru,1972-04-01,1972,"['Action & Adventure', 'Art House & International', 'Drama']",90.0
lone wolf mcquade,1983-04-15,1983,"['Action & Adventure', 'Drama']",66.0
loneliness of the long distance runner,1962-01-01,1962,"['Classics', 'Drama']",87.0
lonely are the brave,1962-05-24,1962,"['Drama', 'Western']",85.0
lonely guy,1984-01-27,1984,['Comedy'],47.0
lonely hearts,2006-10-21,2006,"['Drama', 'Mystery & Suspense']",49.0
lonesome jim,2006-03-24,2006,"['Comedy', 'Drama']",57.0
long weekend natures grave,2008-12-01,2008,"['Drama', 'Horror', 'Mystery & Suspense']",15.0
long gray line,1955-01-22,1955,"['Classics', 'Drama']",76.0
long kiss goodnight,1996-10-11,1996,"['Action & Adventure', 'Mystery & Suspense']",70.0
long life happiness prosperity,2004-02-20,2004,"['Art House & International', 'Comedy', 'Drama', 'Kids & Family', 'Romance']",62.0
long long trailer,,,"['Classics', 'Comedy', 'Romance']",77.0
long lost,2019-03-29,2019,"['Drama', 'Mystery & Suspense']",77.0
long riders,1980-01-01,1980,"['Action & Adventure', 'Western']",74.0
long ships,1964-06-24,1964,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",39.0
long shot,2019-05-03,2019,['Comedy'],74.0
long shot the kevin laue story,2012-10-26,2012,['Documentary'],90.0
long time coming a 1955 baseball story,2018-10-23,2018,"['Documentary', 'Sports & Fitness']",67.0
long way north tout en haut du monde,2016-09-30,2016,"['Action & Adventure', 'Animation', 'Art House & International']",76.0
long weekend,1979-03-29,1979,"['Horror', 'Mystery & Suspense']",67.0
longest day,1962-06-01,1962,"['Action & Adventure', 'Classics', 'Drama']",90.0
longest yard,2005-05-27,2005,"['Comedy', 'Drama']",62.0
longing,2018-10-06,2018,['Drama'],
longshots,2008-08-22,2008,"['Comedy', 'Drama']",61.0
look at us now mother,2016-04-08,2016,['Documentary'],94.0
look away,2018-10-12,2018,['Mystery & Suspense'],53.0
look whos talking,1989-10-13,1989,"['Comedy', 'Romance']",47.0
look whos talking now,1993-11-05,1993,"['Comedy', 'Kids & Family']",29.0
look whos talking too,1990-12-14,1990,['Comedy'],32.0
looker,1981-10-30,1981,"['Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",42.0
lookin to get out,1982-10-08,1982,['Comedy'],29.0
looking for an echo,1998-01-01,1998,['Drama'],71.0
looking for comedy in the muslim world,2006-01-20,2006,['Comedy'],27.0
looking for eric,2010-05-14,2010,"['Art House & International', 'Comedy', 'Drama', 'Sports & Fitness']",78.0
looking for palladin,2008-03-05,2008,['Comedy'],33.0
looking for richard,1996-10-11,1996,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest']",79.0
looking glass,2018-02-16,2018,['Mystery & Suspense'],10.0
lookout,2007-03-30,2007,"['Drama', 'Mystery & Suspense']",74.0
looney tunes back in action,2003-11-14,2003,"['Animation', 'Comedy', 'Kids & Family']",50.0
looper,2012-09-28,2012,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",82.0
loopers the caddies long walk,2019-06-07,2019,"['Documentary', 'Sports & Fitness']",86.0
loose cannons,1990-02-09,1990,"['Action & Adventure', 'Comedy', 'Mystery & Suspense']",26.0
loosies,2012-01-11,2012,"['Comedy', 'Drama', 'Romance']",34.0
loot,2009-12-04,2009,"['Documentary', 'Special Interest']",73.0
lootera,2013-07-03,2013,"['Drama', 'Romance']",78.0
ora di religione il sorriso di mia madre the religion hour my mothers smile,2002-04-19,2002,"['Art House & International', 'Comedy', 'Drama']",80.0
lord byron,2011-05-06,2011,"['Comedy', 'Drama']",33.0
lord jim,1965-02-25,1965,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",57.0
lord of illusions,1995-08-25,1995,['Horror'],52.0
lord of the flies,1989-01-01,1989,"['Action & Adventure', 'Drama']",52.0
lord of the flies,1963-08-13,1963,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama', 'Mystery & Suspense']",63.0
lord of the rings,1978-11-15,1978,"['Animation', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']",64.0
lord of war,2005-09-16,2005,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",84.0
lords of chaos,2019-02-08,2019,"['Drama', 'Mystery & Suspense']",61.0
lords of discipline,1983-02-18,1983,"['Drama', 'Mystery & Suspense']",56.0
lords of dogtown,2005-06-03,2005,"['Action & Adventure', 'Drama']",81.0
lords of flatbush,1974-01-01,1974,"['Classics', 'Comedy', 'Drama', 'Romance']",42.0
lore,2013-02-08,2013,"['Art House & International', 'Drama']",76.0
lorenzos oil,1992-12-30,1992,['Drama'],80.0
lornas silence,2008-05-19,2008,"['Art House & International', 'Drama']",69.0
loro,2019-09-20,2019,"['Comedy', 'Drama']",59.0
angeles plays itself,2003-01-01,2003,"['Documentary', 'Drama', 'Musical & Performing Arts', 'Special Interest', 'Television']",85.0
ojos de julia julias eyes,,,"['Art House & International', 'Horror', 'Mystery & Suspense']",68.0
losing control,2012-03-23,2012,['Comedy'],55.0
losing isaiah,1995-03-17,1995,"['Drama', 'Mystery & Suspense']",73.0
loss of a teardrop diamond,2009-12-30,2009,"['Drama', 'Romance']",40.0
lost for words,2013-10-18,2013,"['Drama', 'Romance']",54.0
lost and delirious,2001-07-20,2001,"['Drama', 'Romance']",78.0
lost found,2019-03-29,2019,"['Comedy', 'Drama']",33.0
lost angels skid row is my home,2012-12-07,2012,"['Documentary', 'Special Interest']",85.0
lost boys,1987-07-31,1987,"['Action & Adventure', 'Horror', 'Mystery & Suspense']",85.0
lost boys of sudan,2004-02-18,2004,"['Documentary', 'Special Interest']",83.0
lost boys the thirst,,,"['Horror', 'Mystery & Suspense']",34.0
lost boys the tribe,2008-07-29,2008,['Horror'],25.0
lost child,2018-09-14,2018,"['Drama', 'Mystery & Suspense']",75.0
lost girls,2020-03-13,2020,"['Drama', 'Mystery & Suspense']",52.0
lost highway,1997-02-21,1997,"['Drama', 'Horror', 'Mystery & Suspense']",87.0
lost horizon,1937-09-01,1937,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",83.0
lost in america,1985-02-15,1985,['Comedy'],77.0
lost in america,2020-02-28,2020,['Documentary'],100.0
lost in hong kong,2015-09-25,2015,"['Art House & International', 'Comedy']",49.0
lost in la mancha,2003-01-31,2003,"['Documentary', 'Musical & Performing Arts', 'Television']",77.0
lost in paris paris pieds nus,2017-06-16,2017,"['Art House & International', 'Comedy']",67.0
lost in space,1998-04-03,1998,"['Action & Adventure', 'Science Fiction & Fantasy']",24.0
lost in thailand,2013-02-08,2013,['Comedy'],49.0
lost in the sun,2015-11-06,2015,[],37.0
lost in translation,2003-09-26,2003,"['Comedy', 'Drama', 'Romance']",85.0
lost in yonkers,1993-05-14,1993,"['Comedy', 'Drama']",78.0
lost river,2015-04-10,2015,"['Mystery & Suspense', 'Science Fiction & Fantasy']",38.0
lost skeleton of cadavra,2004-02-06,2004,"['Comedy', 'Drama', 'Science Fiction & Fantasy']",85.0
lost soul the doomed journey of richard stanleys island of dr moreau,,,"['Documentary', 'Special Interest']",87.0
lost transmissions,2020-03-13,2020,['Drama'],50.0
lost weekend,1945-11-16,1945,"['Classics', 'Drama', 'Romance']",90.0
lost world jurassic park,1997-05-23,1997,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",51.0
lot like love,2005-04-22,2005,"['Comedy', 'Drama', 'Romance']",77.0
lou andreassalome the audacity to be free,2018-04-20,2018,"['Drama', 'Romance']",
louder than a bomb,2011-05-18,2011,"['Documentary', 'Special Interest']",81.0
louder than bombs,2016-04-08,2016,['Drama'],52.0
louder than words,2014-08-01,2014,"['Documentary', 'Drama', 'Kids & Family']",
loudmouth soup,2005-09-22,2005,['Comedy'],
loudquietloud a film about the pixies,2006-05-02,2006,"['Documentary', 'Musical & Performing Arts']",77.0
louie bluie,1985-01-01,1985,"['Documentary', 'Musical & Performing Arts']",89.0
louis ck 2017,,,['Comedy'],75.0
louise bourgeois the spider the mistress and the tangerine,2008-06-25,2008,"['Documentary', 'Musical & Performing Arts']",77.0
louisiana story,1948-09-28,1948,"['Classics', 'Documentary', 'Drama', 'Special Interest']",55.0
loulou,1980-10-08,1980,"['Art House & International', 'Drama', 'Romance']",74.0
love and other drugs,2010-11-24,2010,"['Comedy', 'Drama', 'Romance']",53.0
love sex eating the bones,2004-02-14,2004,"['Comedy', 'Romance']",46.0
love,2015-10-30,2015,"['Art House & International', 'Drama']",38.0
love aaj kal,,,"['Art House & International', 'Drama', 'Romance']",29.0
love actually,2003-11-07,2003,"['Comedy', 'Romance']",72.0
love affair,1939-03-16,1939,"['Classics', 'Comedy', 'Drama', 'Romance']",71.0
love affair,1994-10-21,1994,"['Comedy', 'Drama', 'Romance']",68.0
love after love,2018-03-30,2018,['Drama'],40.0
love and a 45,1994-11-23,1994,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']",70.0
love and basketball,2000-01-26,2000,"['Drama', 'Romance']",95.0
love and death,1975-06-10,1975,"['Classics', 'Comedy', 'Drama']",90.0
love and death on long island,1998-03-06,1998,"['Art House & International', 'Comedy', 'Drama']",58.0
love debt,,,"['Comedy', 'Drama']",
love friendship,2016-05-13,2016,"['Comedy', 'Drama']",60.0
love and honor,2013-03-22,2013,"['Drama', 'Romance']",39.0
love mercy,2015-06-05,2015,"['Drama', 'Musical & Performing Arts']",85.0
love and other catastrophes,1997-03-28,1997,"['Comedy', 'Drama']",71.0
love and saucers,,,"['Documentary', 'Mystery & Suspense']",82.0
love sex,2000-08-25,2000,"['Comedy', 'Romance']",76.0
love at first child ange et gabrielle,,,"['Art House & International', 'Comedy']",36.0
love at first fight,2015-05-22,2015,"['Comedy', 'Drama', 'Romance']",66.0
love beats rhymes,2017-12-01,2017,"['Drama', 'Musical & Performing Arts']",68.0
love crazy,1941-05-23,1941,"['Classics', 'Comedy']",82.0
love crime,2011-09-02,2011,"['Art House & International', 'Mystery & Suspense']",47.0
love dont cost a thing,2003-12-12,2003,"['Comedy', 'Romance']",65.0
love field,1992-12-11,1992,"['Drama', 'Kids & Family']",56.0
love free or die,,,"['Documentary', 'Special Interest', 'Faith & Spirituality']",100.0
love gilda,2018-09-21,2018,['Documentary'],81.0
love guru,2008-06-20,2008,['Comedy'],33.0
love happens,2009-09-18,2009,"['Drama', 'Romance']",37.0
love hunter,2014-11-14,2014,"['Drama', 'Musical & Performing Arts']",90.0
love in the afternoon,1957-05-29,1957,"['Classics', 'Comedy', 'Drama', 'Romance']",79.0
love in the time of cholera,2007-11-16,2007,"['Drama', 'Romance']",45.0
love in the time of money,2002-11-01,2002,"['Art House & International', 'Drama']",26.0
love is a many splendored thing,1955-09-26,1955,"['Classics', 'Drama', 'Romance']",57.0
love is all you need,2013-05-03,2013,"['Comedy', 'Documentary', 'Drama', 'Special Interest', 'Romance']",59.0
love is blind,2019-11-08,2019,"['Comedy', 'Drama', 'Romance']",44.0
love is colder than death,1969-06-26,1969,"['Art House & International', 'Comedy', 'Drama', 'Romance']",58.0
love is strange,2014-08-22,2014,"['Drama', 'Special Interest']",66.0
love is the devil,1998-10-09,1998,['Drama'],62.0
love is the drug addicted to her love,2006-10-06,2006,['Drama'],50.0
love is thicker than water,,,"['Comedy', 'Romance']",
love jones,1997-03-14,1997,"['Comedy', 'Drama', 'Romance']",97.0
love liza,2002-01-01,2002,['Drama'],77.0
love marilyn,2012-12-14,2012,"['Documentary', 'Special Interest']",58.0
love me if you dare,2004-05-21,2004,"['Art House & International', 'Comedy', 'Drama', 'Romance']",89.0
love me or leave me,1955-06-10,1955,"['Classics', 'Drama', 'Musical & Performing Arts', 'Romance']",74.0
love me tender,1956-11-15,1956,"['Classics', 'Drama', 'Musical & Performing Arts', 'Western']",65.0
love n dancing,2008-05-14,2008,"['Drama', 'Musical & Performing Arts', 'Romance']",42.0
love potion no 9,1992-11-13,1992,"['Comedy', 'Drama', 'Romance']",43.0
love ranch,2010-06-30,2010,['Drama'],28.0
love rosie,2015-02-06,2015,"['Comedy', 'Romance']",63.0
love serenade,1997-08-01,1997,"['Art House & International', 'Comedy', 'Drama', 'Science Fiction & Fantasy', 'Romance']",81.0
love simon,2018-03-16,2018,['Drama'],88.0
love songs,2008-03-21,2008,"['Art House & International', 'Drama', 'Musical & Performing Arts', 'Romance']",78.0
love stinks,1999-09-10,1999,"['Comedy', 'Drama', 'Romance']",64.0
love story,1970-12-16,1970,"['Drama', 'Romance']",75.0
love streams,1984-08-24,1984,['Drama'],89.0
love the beast,2009-03-12,2009,"['Documentary', 'Special Interest']",72.0
love the coopers,2015-11-13,2015,['Comedy'],36.0
love the hard way,2003-06-06,2003,"['Art House & International', 'Drama', 'Mystery & Suspense', 'Romance']",66.0
love thy nature,2016-05-06,2016,['Documentary'],88.0
love wedding marriage,2011-06-03,2011,"['Comedy', 'Romance']",28.0
love wedding repeat,,,"['Comedy', 'Romance']",36.0
love with the proper stranger,1963-01-01,1963,"['Classics', 'Comedy', 'Drama']",87.0
loved one,1965-10-11,1965,"['Classics', 'Comedy']",77.0
lovelace,2013-08-09,2013,['Drama'],36.0
loveless nelyubov,2018-02-16,2018,"['Art House & International', 'Drama']",84.0
lovely molly,2012-05-18,2012,"['Horror', 'Mystery & Suspense']",32.0
lovely still,2010-09-10,2010,"['Drama', 'Romance']",75.0
lover lamant,1992-10-30,1992,"['Art House & International', 'Drama', 'Romance']",79.0
lover come back,1961-12-20,1961,"['Classics', 'Comedy', 'Romance']",77.0
loverboy,2006-06-16,2006,"['Art House & International', 'Drama']",35.0
loves her gun,2014-01-10,2014,"['Action & Adventure', 'Drama']",54.0
loves kitchen,2011-06-07,2011,"['Comedy', 'Drama', 'Romance']",28.0
loves labours lost,2000-06-09,2000,"['Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']",40.0
lovesick,2014-02-06,2014,['Comedy'],21.0
love wrecked,,,"['Comedy', 'Drama']",48.0
loving,2016-11-04,2016,['Drama'],76.0
loving pablo,2018-10-05,2018,"['Art House & International', 'Drama']",35.0
loving vincent,2017-09-22,2017,"['Animation', 'Drama']",86.0
low down,2014-10-24,2014,"['Drama', 'Kids & Family']",50.0
low down dirty shame,1994-11-23,1994,"['Action & Adventure', 'Comedy']",71.0
low tide,2019-10-04,2019,['Drama'],65.0
lower city cidade baixa,2006-02-14,2006,"['Art House & International', 'Drama']",57.0
lowlife,2018-04-06,2018,"['Comedy', 'Drama']",67.0
lu over the wall yoake tsugeru ru no uta,2018-05-11,2018,"['Animation', 'Anime & Manga', 'Art House & International', 'Comedy', 'Kids & Family']",66.0
luce,2019-08-02,2019,"['Drama', 'Mystery & Suspense']",77.0
lucha mexico,2016-07-15,2016,['Documentary'],62.0
lucia lucia,2003-07-25,2003,"['Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']",53.0
luciferina,2018-12-11,2018,"['Art House & International', 'Horror', 'Mystery & Suspense']",25.0
luck by chance,2009-01-30,2009,"['Comedy', 'Mystery & Suspense']",67.0
lucky,2011-07-15,2011,['Drama'],30.0
lucky break,2002-04-05,2002,['Comedy'],48.0
lucky day,2019-10-11,2019,"['Action & Adventure', 'Mystery & Suspense']",45.0
lucky grandma,2020-05-22,2020,"['Comedy', 'Drama']",67.0
lucky number slevin,2006-04-07,2006,"['Drama', 'Mystery & Suspense']",87.0
lucky numbers,2000-10-27,2000,['Comedy'],19.0
lucky stiff,,,"['Comedy', 'Musical & Performing Arts']",55.0
lucky them,2014-05-30,2014,"['Comedy', 'Drama']",58.0
lucky you,2007-05-01,2007,['Drama'],28.0
lucy,2014-07-25,2014,['Action & Adventure'],47.0
lucy in the sky,2019-10-04,2019,"['Drama', 'Science Fiction & Fantasy']",31.0
luis and the aliens,2018-08-17,2018,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",56.0
lullaby,2014-06-13,2014,['Drama'],55.0
last hunt,1956-04-30,1956,"['Action & Adventure', 'Western']",52.0
lulu on the bridge,1998-01-01,1998,"['Art House & International', 'Drama', 'Mystery & Suspense', 'Romance']",54.0
lumumba,2001-06-27,2001,"['Art House & International', 'Drama', 'Mystery & Suspense']",83.0
lunch,2012-10-26,2012,"['Documentary', 'Special Interest']",58.0
lupin iii the castle of cagliostro rupan sansei kariosutoro no shiro,2000-01-01,2000,"['Action & Adventure', 'Animation', 'Kids & Family', 'Mystery & Suspense', 'Romance']",88.0
lured,1947-08-28,1947,"['Classics', 'Drama', 'Mystery & Suspense']",69.0
lurking fear,1994-07-27,1994,"['Cult Movies', 'Horror']",13.0
lust caution,2007-09-27,2007,"['Drama', 'Mystery & Suspense', 'Romance']",84.0
lust in the dust,1985-03-01,1985,"['Action & Adventure', 'Comedy', 'Cult Movies', 'Western']",80.0
lust stories,2018-06-15,2018,['Drama'],63.0
lustre,2005-08-17,2005,['Drama'],
luv,2013-01-18,2013,['Drama'],61.0
lying and stealing,2019-07-12,2019,"['Comedy', 'Mystery & Suspense']",16.0
lyle,,,"['Drama', 'Horror']",35.0
lymelife,2008-09-08,2008,['Drama'],52.0
m butterfly,1993-10-01,1993,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",67.0
ma,2017-01-13,2017,['Drama'],55.0
ma,2019-05-31,2019,"['Horror', 'Mystery & Suspense']",64.0
my life in pink ma vie en rose,1997-05-28,1997,"['Art House & International', 'Comedy', 'Drama']",90.0
macgruber,2010-05-21,2010,"['Action & Adventure', 'Comedy']",35.0
macao,1952-04-30,1952,"['Classics', 'Documentary', 'Drama', 'Romance']",59.0
macarthur,1977-01-01,1977,"['Action & Adventure', 'Drama']",60.0
macbeth,1971-10-13,1971,['Drama'],73.0
macbeth,2015-12-04,2015,"['Art House & International', 'Drama']",64.0
machete,2010-09-03,2010,"['Action & Adventure', 'Mystery & Suspense']",63.0
machete kills,2013-10-11,2013,['Action & Adventure'],35.0
machete maidens unleashed,,,"['Documentary', 'Television']",73.0
kataude mashin garu the machine girl,2008-05-23,2008,"['Action & Adventure', 'Horror']",62.0
machine gun preacher,2011-09-23,2011,"['Action & Adventure', 'Drama']",62.0
machinist,2004-10-22,2004,"['Drama', 'Mystery & Suspense']",83.0
mackennas gold,1969-05-10,1969,"['Action & Adventure', 'Classics', 'Western', 'Romance']",70.0
mad as hell,2015-02-06,2015,['Documentary'],84.0
mad city,1997-11-07,1997,"['Drama', 'Mystery & Suspense']",42.0
mad cowgirl,2006-07-19,2006,"['Comedy', 'Drama', 'Horror', 'Special Interest']",89.0
mad detective,2008-07-18,2008,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",85.0
mad dog and glory,1993-03-05,1993,"['Comedy', 'Drama']",45.0
