title,release_date_meta,year,rating_metacritic
lunacy,2006-08-09,2006,63
too late,2016-03-18,2016,54
last weekend,2014-08-29,2014,40
hellions,2015-09-18,2015,34
i travel because i have to i come back because i love you,2011-03-25,2011,87
lifeboat,1944-01-28,1944,78
knafayim shvurot,2004-03-12,2004,75
paris 0559 theo hugo,2017-01-27,2017,74
monkey shines,1988-07-29,1988,71
syrian bride,2005-11-16,2005,70
waging a living,2005-06-22,2005,70
cuckoo,2003-07-11,2003,69
other f word,2011-11-02,2011,60
bang rajan,2004-08-06,2004,59
tuvalu,2001-12-07,2001,58
danny deckchair,2004-08-11,2004,56
taxman,1999-09-17,1999,48
next karate kid,1994-09-09,1994,36
manny,2015-01-23,2015,35
big risk,2005-11-18,2005,84
eureka,2001-05-04,2001,78
bliss,2009-08-07,2009,71
home movie,2002-05-03,2002,67
crown heights,2017-08-18,2017,64
two lovers and a bear,2016-12-16,2016,61
monster hunt,2016-01-22,2016,53
shes one of us,2005-01-21,2005,52
lucas,1986-03-28,1986,75
beauty in trouble,2008-06-13,2008,75
dirty dozen,1967-06-15,1967,73
trumbo,2008-06-27,2008,71
prisoner or how i planned to kill tony blair,2007-03-23,2007,67
flow for love of water,2008-09-12,2008,67
bonjour monsieur shlomi,2004-07-02,2004,59
captive,2006-11-10,2006,59
red dawn,1984-08-10,1984,55
evelyn,2002-12-13,2002,55
big sur,2013-11-01,2013,49
constellation,2007-02-02,2007,41
3 ninjas kick back,1994-05-06,1994,39
all quiet on the western front,1930-08-24,1930,91
screwball,2019-03-29,2019,72
arthur,1981-07-17,1981,69
above and beyond,2015-01-30,2015,69
scotty and the secret history of hollywood,2018-07-27,2018,67
grand,2008-03-21,2008,57
woman on the 6th floor,2011-10-07,2011,52
lies,2000-11-17,2000,47
angel of mine,2019-08-30,2019,47
tasting menu,2014-04-18,2014,29
best and the brightest,2011-06-24,2011,26
doctor strange,2016-11-04,2016,72
guardians of the galaxy vol 2,2017-05-05,2017,67
ratatouille,2007-06-29,2007,96
pacific rim,2013-07-12,2013,65
star wars episode i the phantom menace,1999-05-19,1999,51
get out,2017-02-24,2017,84
titanic,1997-12-19,1997,75
nightcrawler,2014-10-31,2014,76
rise of the planet of the apes,2011-08-05,2011,68
witch,2016-02-19,2016,83
serenity,2005-09-30,2005,74
terminator 3 rise of the machines,2003-07-02,2003,66
robocop,2014-02-12,2014,52
sausage party,2016-08-12,2016,66
adventures of tintin,2011-12-21,2011,68
despicable me 2,2013-07-03,2013,62
kung fu panda,2008-06-06,2008,73
first man,2018-10-12,2018,84
8 mile,2002-11-08,2002,77
kung fu panda 2,2011-05-26,2011,67
green book,2018-11-16,2018,69
nocturnal animals,2016-11-18,2016,67
scary movie,2000-07-07,2000,48
clash of the titans,2010-04-01,2010,39
under the skin,2014-04-04,2014,78
minority report,2002-06-21,2002,80
foxcatcher,2014-11-14,2014,81
in time,2011-10-28,2011,53
blue is the warmest color,2013-10-25,2013,88
golden compass,2007-12-07,2007,51
dark tower,2017-08-04,2017,34
warm bodies,2013-02-01,2013,60
final destination 2,2003-01-31,2003,38
unknown,2011-02-18,2011,56
miss peregrines home for peculiar children,2016-09-30,2016,57
predestination,2015-01-09,2015,69
logan lucky,2017-08-18,2017,78
speed,1994-06-10,1994,78
miami vice,2006-07-28,2006,65
lights out,2016-07-22,2016,58
independence day,1996-07-03,1996,59
divergent series allegiant,2016-03-18,2016,33
baywatch,2017-05-25,2017,37
cloudy with a chance of meatballs,2009-09-18,2009,66
capote,2005-09-30,2005,88
casablanca,1943-01-23,1943,100
national treasure book of secrets,2007-12-21,2007,48
hotel rwanda,2004-12-22,2004,79
priest,2011-05-13,2011,41
o brother where art thou,2000-12-22,2000,69
daybreakers,2010-01-08,2010,57
xxx,2002-08-09,2002,48
zack and miri make a porno,2008-10-31,2008,56
evan almighty,2007-06-22,2007,37
big eyes,2014-12-25,2014,62
sorry to bother you,2018-07-06,2018,80
hills have eyes,2006-03-10,2006,52
jack reacher never go back,2016-10-21,2016,47
men who stare at goats,2009-11-06,2009,54
campaign,2012-08-10,2012,50
christmas story,1983-11-18,1983,77
hall pass,2011-02-25,2011,45
first reformed,2018-05-18,2018,85
paterson,2016-12-28,2016,90
couples retreat,2009-10-09,2009,23
poseidon,2006-05-12,2006,50
colombiana,2011-08-26,2011,45
skin i live in,2011-10-14,2011,70
about schmidt,2002-12-13,2002,85
midnight run,1988-07-20,1988,78
27 dresses,2008-01-18,2008,47
20th century women,2016-12-28,2016,83
geralds game,2017-09-29,2017,77
east,2013-05-31,2013,68
elektra,2005-01-14,2005,34
naked gun from the files of police squad,1988-12-02,1988,76
bucky larson born to be a star,2011-09-09,2011,9
prairie home companion,2006-06-09,2006,75
singin in the rain,1952-04-11,1952,99
big,1988-06-03,1988,73
annabelle comes home,2019-06-26,2019,53
magic in the moonlight,2014-07-25,2014,54
snitch,2013-02-22,2013,51
loft,2015-01-30,2015,24
erin brockovich,2000-03-17,2000,73
12 strong,2018-01-19,2018,54
grinch,2018-11-09,2018,51
star trek first contact,1996-11-22,1996,71
morning glory,2010-11-10,2010,57
boys dont cry,1999-10-08,1999,86
girl walks home alone at night,2014-11-21,2014,81
headhunters,2012-04-27,2012,72
ferdinand,2017-12-15,2017,58
phoenix,2015-07-24,2015,89
in the valley of elah,2007-09-14,2007,65
scorpion king,2002-04-19,2002,45
ricki and the flash,2015-08-07,2015,54
watcher,2000-09-08,2000,22
four lions,2010-11-05,2010,68
hop,2011-04-01,2011,41
ernest celestine,2014-02-28,2014,86
obvious child,2014-06-06,2014,76
bend it like beckham,2003-03-12,2003,66
amistad,1997-12-10,1997,63
race,2016-02-19,2016,56
true story,2015-04-17,2015,50
american splendor,2003-08-15,2003,90
millions,2005-03-11,2005,74
rampart,2012-02-10,2012,70
all about eve,1950-10-27,1950,98
coriolanus,2011-12-02,2011,79
civil action,1998-12-25,1998,68
stanford prison experiment,2015-07-17,2015,67
great debaters,2007-12-25,2007,65
around the world in 80 days,2004-06-16,2004,49
purple rose of cairo,1985-05-02,1985,75
unfinished business,2015-03-06,2015,32
dave chappelles block party,2006-03-03,2006,84
big year,2011-10-14,2011,53
body heat,1981-08-28,1981,77
tangerines,2015-04-17,2015,73
working girl,1988-12-23,1988,73
conviction,2010-10-15,2010,61
that thing you do,1996-10-04,1996,71
dom hemingway,2014-04-02,2014,55
little mermaid,1989-11-17,1989,88
oliver twist,2005-09-23,2005,65
salvation,2015-02-27,2015,64
meet dave,2008-07-11,2008,43
sweet hereafter,1997-11-21,1997,90
prince avalanche,2013-08-09,2013,73
sea inside,2004-12-17,2004,74
space jam,1996-11-15,1996,59
sophies choice,1982-12-08,1982,68
tyrannosaur,2011-11-18,2011,65
envy,2004-04-30,2004,31
wadjda,2013-09-13,2013,81
iron monkey,2001-10-12,2001,79
legally blonde 2 red white blonde,2003-07-02,2003,47
second act,2018-12-21,2018,46
queen of earth,2015-08-26,2015,77
safe,1995-06-23,1995,76
menace ii society,1993-05-26,1993,76
possession of hannah grace,2018-11-30,2018,37
20 feet from stardom,2013-06-14,2013,83
peanut butter falcon,2019-08-09,2019,69
miracle,2004-02-06,2004,68
better life,2011-06-24,2011,64
being flynn,2012-03-02,2012,53
rapturepalooza,2013-06-07,2013,44
shaggy dog,2006-03-10,2006,43
9 songs,2005-07-22,2005,43
sisterhood of the traveling pants,2005-06-01,2005,66
nancy drew,2007-06-15,2007,53
hurricane heist,2018-03-09,2018,35
pigeon sat on a branch reflecting on existence,2015-06-03,2015,81
castle in the sky,1989-04-01,1989,78
edmond,2006-07-14,2006,61
entrapment,1999-04-30,1999,54
love in the time of cholera,2007-11-16,2007,43
berberian sound studio,2013-06-14,2013,80
city of lost children,1995-12-15,1995,73
future,2011-07-29,2011,67
easy money,2012-07-11,2012,75
intruder,2019-05-03,2019,39
wetlands,2014-09-05,2014,77
in the fade,2017-12-27,2017,65
mayhem,2017-11-10,2017,62
wasabi,2002-09-27,2002,53
for a few dollars more,1967-05-10,1967,74
extreme ops,2002-11-27,2002,17
steve jobs man in the machine,2015-09-04,2015,72
purple rain,1984-07-27,1984,55
management,2009-05-15,2009,50
love is all you need,2013-05-03,2013,60
king cobra,2016-10-21,2016,48
birth of the dragon,2017-08-25,2017,35
mcqueen,2018-07-20,2018,84
deep end,2001-08-08,2001,78
aristocats,1970-12-24,1970,66
walk on water,2005-03-04,2005,65
jaws 3d,1983-07-22,1983,27
topsyturvy,1999-12-17,1999,90
man without a past,2003-04-04,2003,84
miss bala,2011-10-14,2011,79
listen up philip,2014-10-17,2014,76
contender,2000-10-13,2000,59
sukiyaki western django,2008-08-29,2008,55
love exposure,2011-09-02,2011,78
insult,2018-01-12,2018,72
snow angels,2008-03-07,2008,67
live and let die,1973-06-27,1973,55
horror,2015-11-20,2015,42
band of robbers,2016-01-15,2016,57
feel the noise,2007-10-05,2007,36
hole in the ground,2019-03-01,2019,63
mary shelley,2018-05-25,2018,49
week of,2018-04-27,2018,41
cinderella,1950-03-04,1950,85
war witch,2013-03-01,2013,84
paddleton,2019-02-22,2019,70
right at your door,2007-08-24,2007,57
cropsey,2010-06-04,2010,73
last circus,2011-08-19,2011,70
intermission,2004-03-19,2004,64
escobar paradise lost,2015-06-26,2015,56
nightmare on elm street 5 the dream child,1989-08-11,1989,54
maurice,1987-09-18,1987,75
fast color,2019-04-19,2019,64
these final hours,2015-03-06,2015,61
bullet head,2017-12-08,2017,51
strangerland,2015-07-10,2015,42
assault on precinct 13,1976-11-05,1976,89
duck season,2006-03-10,2006,74
i served the king of england,2008-08-29,2008,72
rocketeer,1991-06-21,1991,61
black butterfly,2017-05-26,2017,43
haunt,2014-03-07,2014,33
marguerite,2016-03-11,2016,76
rize,2005-06-24,2005,74
janis little girl blue,2015-11-27,2015,74
falling,2015-08-07,2015,71
land of steady habits,2018-09-14,2018,71
opposite of sex,1998-05-22,1998,70
things to do in denver when youre dead,1995-12-01,1995,46
brake,2012-03-23,2012,38
in the heat of the night,1967-08-03,1967,75
burnt money,2001-10-19,2001,68
inside deep throat,2005-02-11,2005,64
how she move,2008-01-25,2008,63
big man japan,2009-05-15,2009,62
girl cut in two,2008-08-15,2008,73
rocket,2014-01-10,2014,72
road home,2001-05-25,2001,71
perverts guide to ideology,2013-11-01,2013,71
killing them safely,2015-11-27,2015,70
citizen ruth,1996-12-13,1996,64
dragon,2012-11-30,2012,62
jack goes home,2016-10-14,2016,38
street fight,2006-02-22,2006,85
goodbye first love,2012-04-20,2012,80
smoke signals,1998-06-26,1998,76
maria by callas,2018-11-02,2018,71
xxy,2008-05-02,2008,67
married life,2008-03-07,2008,65
cavite,2006-05-26,2006,64
i think were alone now,2018-09-14,2018,51
private lives of pippa lee,2009-11-27,2009,49
crossover,2006-09-01,2006,30
one false move,1992-05-08,1992,87
in the fog,2013-06-14,2013,78
roman de gare,2008-04-25,2008,71
other dream team,2012-09-28,2012,69
last passenger,2014-04-25,2014,66
patrik age 15,2010-08-06,2010,65
thin ice,2012-02-17,2012,60
quid pro quo,2008-06-13,2008,55
spinning man,2018-04-06,2018,44
museo,2018-09-14,2018,86
paper moon,1973-05-09,1973,77
crossing the bridge the sound of istanbul,2006-06-09,2006,73
meet the patels,2015-09-11,2015,70
sunshine superman,2015-05-22,2015,70
final year,2018-01-19,2018,67
four times le quattro volte,2011-03-30,2011,80
paris texas,1984-11-02,1984,78
faute a fidel,2007-08-03,2007,74
for the love of spock,2016-09-09,2016,74
everyone else,2010-04-09,2010,71
stoked the rise and fall of gator,2003-08-22,2003,69
una noche,2013-08-23,2013,68
caterina va in citta,2005-06-03,2005,63
jerk,1979-12-14,1979,61
dont come knocking,2006-03-17,2006,55
after the wedding,2019-08-09,2019,51
journey from the fall,2007-03-23,2007,70
sea of love,1989-09-15,1989,66
wall,2005-08-26,2005,61
boys girl from county clare,2005-03-11,2005,59
swamp thing,1982-02-19,1982,50
dark matter,2008-04-11,2008,49
one two,2015-08-14,2015,47
deliver us from eva,2003-02-07,2003,46
little women,2018-09-28,2018,40
serious moonlight,2009-12-04,2009,36
day he arrives,2012-04-20,2012,83
phil ochs there but for fortune,2011-01-05,2011,72
exhibition,2014-06-20,2014,72
girl in the book,2015-12-11,2015,68
art and craft,2014-09-19,2014,68
ae fond kiss,2004-11-26,2004,65
three days of the condor,1975-09-24,1975,63
daughter,2017-01-27,2017,62
overnight,2004-11-10,2004,60
pink panther strikes again,1976-12-15,1976,60
trishna,2012-07-13,2012,57
journey,2017-06-16,2017,53
tai chi zero,2012-10-19,2012,52
i do until i dont,2017-09-01,2017,43
girl in the photographs,2016-04-01,2016,32
last resort,2001-02-23,2001,80
day of the jackal,1973-07-30,1973,80
golden dream,2015-08-28,2015,74
iron island,2006-03-31,2006,74
tunnel,2005-04-29,2005,72
pellet,2002-12-13,2002,70
devils on the doorstep,2002-12-18,2002,70
pierrepoint,2007-06-01,2007,68
leaving,2010-10-01,2010,56
yardie,2019-03-15,2019,52
racer and the jailbird,2018-05-04,2018,50
3 ninjas high noon at mega mountain,1998-04-10,1998,44
return to nuke em high volume 1,2014-01-10,2014,40
america the beautiful,2008-08-01,2008,40
toni morrison the pieces i am,2019-06-21,2019,80
tully,2002-11-01,2002,73
knuckle,2011-12-02,2011,65
back to burgundy,2018-03-23,2018,58
focus,2001-10-19,2001,53
guardians of the galaxy,2014-08-01,2014,76
jurassic world,2015-06-12,2015,59
la land,2016-12-09,2016,93
star wars episode iii revenge of the sith,2005-05-19,2005,68
shawshank redemption,1994-09-01,1994,80
zootopia,2016-03-04,2016,78
it,2017-09-08,2017,69
memento,2001-03-16,2001,80
spectre,2015-11-06,2015,60
lucy,2014-07-25,2014,61
ready player one,2018-03-29,2018,64
argo,2012-10-12,2012,86
terminator,1984-10-26,1984,84
bourne ultimatum,2007-08-03,2007,85
22 jump street,2014-06-13,2014,71
girl with the dragon tattoo,2011-12-20,2011,71
emoji movie,2017-07-28,2017,12
harry potter and the chamber of secrets,2002-11-15,2002,63
fury,2014-10-17,2014,64
fast furious 6,2013-05-24,2013,61
interview,2014-12-25,2014,52
paranormal activity,2009-09-25,2009,68
monsters inc,2001-11-02,2001,78
it chapter two,2019-09-06,2019,58
crimson peak,2015-10-16,2015,66
up in the air,2009-12-04,2009,83
life,2017-03-24,2017,54
oldboy,2005-03-25,2005,77
jumanji welcome to the jungle,2017-12-20,2017,58
blackkklansman,2018-08-10,2018,83
aviator,2004-12-17,2004,77
cowboys aliens,2011-07-29,2011,50
brooklyn,2015-11-04,2015,88
into the woods,2014-12-25,2014,69
beautiful mind,2001-12-21,2001,72
how to train your dragon the hidden world,2019-02-22,2019,71
robin hood,2010-05-14,2010,53
end of watch,2012-09-21,2012,68
red,2010-10-15,2010,60
raid redemption,2012-03-23,2012,73
ghost rider spirit of vengeance,2012-02-17,2012,34
sunshine,2007-07-20,2007,64
halloween 2007,2007-08-31,2007,47
lion,2016-11-25,2016,69
ponyo,2009-08-14,2009,86
counselor,2013-10-25,2013,48
tower heist,2011-11-04,2011,59
love simon,2018-03-16,2018,72
ice age continental drift,2012-07-13,2012,49
joy,2015-12-25,2015,56
happy death day,2017-10-13,2017,58
meg,2018-08-10,2018,46
kung fu hustle,2005-04-08,2005,78
buried,2010-09-24,2010,65
eighth grade,2018-07-13,2018,89
thirteen ghosts,2001-10-26,2001,30
never let me go,2010-09-15,2010,69
i love you man,2009-03-20,2009,70
sicario day of the soldado,2018-06-29,2018,61
sex and the city,2008-05-30,2008,53
nerve,2016-07-27,2016,58
diving bell and the butterfly,2007-11-30,2007,92
jack the giant slayer,2013-03-01,2013,51
jackie,2016-12-02,2016,81
overlord,2018-11-09,2018,60
wild tales,2015-02-20,2015,77
jennifers body,2009-09-18,2009,47
21 grams,2003-11-21,2003,70
downsizing,2017-12-22,2017,63
clerks ii,2006-07-21,2006,65
graduate,1967-12-21,1967,83
tammy,2014-07-02,2014,39
road warrior,1982-05-21,1982,77
taking of pelham 1 2 3,2009-06-12,2009,55
very harold kumar christmas,2011-11-04,2011,61
all the money in the world,2017-12-25,2017,72
cloudy with a chance of meatballs 2,2013-09-27,2013,59
contraband,2012-01-13,2012,51
waltz with bashir,2008-12-25,2008,91
beautiful creatures,2013-02-14,2013,52
mr holmes,2015-07-17,2015,67
mike and dave need wedding dates,2016-07-08,2016,51
battle of the sexes,2017-09-22,2017,73
its kind of a funny story,2010-10-08,2010,63
hot pursuit,2015-05-08,2015,31
devils backbone,2001-11-21,2001,78
13th,2016-10-07,2016,88
yesterday,2019-06-28,2019,56
piano,1993-11-01,1993,89
bobby,2006-11-17,2006,54
goon,2012-03-30,2012,64
chocolat,2000-12-15,2000,64
bullet to the head,2013-02-01,2013,48
infernal affairs,2004-09-24,2004,75
light between oceans,2016-09-02,2016,60
pawn sacrifice,2015-09-16,2015,65
casanova,2005-12-25,2005,57
mysterious skin,2005-05-06,2005,73
how to be single,2016-02-12,2016,51
masterminds,2016-09-30,2016,47
science of sleep,2006-09-22,2006,70
bright star,2009-09-16,2009,81
restrepo,2010-06-25,2010,85
mid90s,2018-10-19,2018,66
mr magoriums wonder emporium,2007-11-16,2007,48
mistress america,2015-08-14,2015,75
black book,2007-04-04,2007,71
switch,2010-08-20,2010,52
stepford wives,2004-06-11,2004,42
z for zachariah,2015-08-28,2015,68
morgan,2016-09-02,2016,48
failure to launch,2006-03-10,2006,47
hello my name is doris,2016-03-11,2016,63
hannah and her sisters,1986-02-01,1986,90
girl who kicked the hornets nest,2010-10-29,2010,60
running with scissors,2006-10-20,2006,52
get low,2010-07-30,2010,77
virus,1999-01-15,1999,19
where to invade next,2015-12-23,2015,64
second best exotic marigold hotel,2015-03-06,2015,51
any given sunday,1999-12-22,1999,52
think like a man,2012-04-20,2012,51
hamlet 2,2008-08-22,2008,54
hit and run,2012-08-22,2012,50
gringo,2018-03-09,2018,46
dial m for murder,1954-05-28,1954,75
anacondas the hunt for the blood orchid,2004-08-27,2004,40
curious george,2006-02-10,2006,62
secret in their eyes,2015-11-20,2015,45
darwins nightmare,2005-08-03,2005,84
broken circle breakdown,2013-11-01,2013,70
summer of 84,2018-08-10,2018,57
lovelace,2013-08-09,2013,51
clear and present danger,1994-08-03,1994,74
sex and lucia,2002-07-12,2002,65
wonderstruck,2017-10-20,2017,71
lady macbeth,2017-07-14,2017,76
thx 1138,1971-03-11,1971,75
hijacking,2013-06-21,2013,82
divo,2009-04-24,2009,81
last flag flying,2017-11-03,2017,65
maudie,2017-06-16,2017,65
fever pitch,2005-04-08,2005,56
discovery,2017-03-31,2017,54
happy as lazzaro,2018-11-30,2018,87
hunter,2012-04-06,2012,63
find me guilty,2006-03-17,2006,65
how i live now,2013-11-08,2013,57
last days on mars,2013-12-06,2013,46
weiner,2016-05-20,2016,84
baadasssss,2004-05-28,2004,75
leatherface,2017-10-20,2017,40
great expectations,1998-01-30,1998,55
goosebumps 2 haunted halloween,2018-10-12,2018,53
katyn,2009-02-18,2009,81
white bird in a blizzard,2014-10-24,2014,51
windtalkers,2002-06-14,2002,51
courage under fire,1996-04-12,1996,77
war on everyone,2017-02-03,2017,50
take the lead,2006-04-07,2006,55
sleuth,2007-10-12,2007,49
crumb,1995-04-28,1995,93
lie,2001-09-07,2001,73
dr dolittle 2,2001-06-22,2001,49
proud mary,2018-01-12,2018,35
earth,2009-04-22,2009,72
rookie,2002-03-29,2002,72
escape from tomorrow,2013-10-11,2013,58
strangers with candy,2006-06-28,2006,57
wonder park,2019-03-15,2019,45
miss bala,2019-02-01,2019,41
sparkle,2012-08-17,2012,54
death and the maiden,1994-12-23,1994,72
thirteen days,2000-12-25,2000,67
great buck howard,2009-03-20,2009,63
nutcracker,2010-11-24,2010,18
baran,2001-12-07,2001,79
blue jay,2016-10-07,2016,69
why we fight,2006-01-20,2006,68
crystal fairy the magical cactus,2013-07-12,2013,67
beau travail,2000-03-31,2000,91
collapse,2009-11-06,2009,71
wine country,2019-05-08,2019,56
jim andy the great beyond featuring a very special contractually obligated mention of tony clifton,2017-11-17,2017,77
heaven knows what,2015-05-29,2015,75
addicted,2014-10-10,2014,32
neruda,2016-12-16,2016,82
adventures of priscilla queen of the desert,1994-08-10,1994,70
heaven,2002-10-04,2002,68
lymelife,2009-04-08,2009,64
angry birds movie 2,2019-08-13,2019,60
limehouse golem,2017-09-08,2017,63
futile and stupid gesture,2018-01-26,2018,55
west of memphis,2012-12-25,2012,80
buck,2011-06-17,2011,76
auberge espagnole,2003-05-16,2003,65
one missed call,2005-04-22,2005,54
days of glory,2006-12-06,2006,82
whats eating gilbert grape,1994-03-04,1994,73
gemini,2018-03-30,2018,71
saving grace,2000-08-04,2000,62
coming home,2015-09-09,2015,81
tims vermeer,2013-12-06,2013,76
new york doll,2005-10-28,2005,72
alien abduction,2014-04-04,2014,46
chasing ice,2012-11-09,2012,75
something new,2006-02-03,2006,64
ballad of jack and rose,2005-03-25,2005,59
girl like her,2015-03-27,2015,54
big ass spider,2013-10-18,2013,53
saint laurent,2015-05-08,2015,52
dish,2001-03-14,2001,74
last days in the desert,2016-05-13,2016,67
words and pictures,2014-05-23,2014,49
all i see is you,2017-10-27,2017,43
babymakers,2012-08-03,2012,30
day without a mexican,2004-05-14,2004,30
identical,2014-09-05,2014,25
dark horse,2016-04-01,2016,77
kill zone 2,2016-05-13,2016,73
first position,2012-05-04,2012,72
good,2008-12-31,2008,40
unrest,2017-09-22,2017,80
evolution,2016-11-25,2016,77
stevie,2003-03-28,2003,72
notorious bettie page,2006-04-14,2006,64
pirates of somalia,2017-12-08,2017,54
sweeney,2013-03-01,2013,48
seraphine,2009-06-05,2009,84
muscle shoals,2013-09-27,2013,75
climates,2006-10-27,2006,72
vigilante,2019-03-29,2019,68
bart got a room,2009-04-03,2009,57
ishtar,1987-05-15,1987,52
paradise road,1997-04-11,1997,48
flower,2018-03-16,2018,45
somersault,2006-04-21,2006,73
sunshine state,2002-06-21,2002,69
revenge of the electric car,2011-10-21,2011,63
winter in wartime,2011-03-18,2011,66
nasty baby,2015-10-23,2015,64
one swallow brought spring,2003-03-21,2003,64
north sea texas,2012-11-02,2012,63
enemies closer,2014-01-24,2014,49
killing bono,2011-11-04,2011,46
whole truth,2016-10-21,2016,46
deep sea,2006-03-03,2006,78
ground truth,2006-09-15,2006,74
dressed to kill,1980-07-25,1980,74
mondovino,2005-03-23,2005,67
zelary,2004-09-17,2004,66
faust,2013-11-15,2013,65
chrystal,2005-06-10,2005,65
sunlight jr,2013-11-15,2013,61
unfinished song,2013-06-21,2013,57
444 last day on earth,2012-03-23,2012,54
mood indigo,2014-07-18,2014,54
kaili blues,2016-05-20,2016,85
love and death on long island,1998-03-06,1998,80
boys the sherman brothers story,2009-05-22,2009,78
chariots of fire,1982-04-09,1982,78
my kid could paint that,2007-10-05,2007,74
air guitar nation,2007-03-23,2007,72
yes men fix the world,2009-10-07,2009,71
down terrace,2010-10-15,2010,68
dave made a maze,2017-08-18,2017,60
matthew barney no restraint,2006-12-20,2006,59
exorcist ii the heretic,1977-06-17,1977,39
4 little girls,1997-07-09,1997,89
aberdeen,2001-08-17,2001,78
harry is here to help,2001-04-20,2001,75
all about lily chouchou,2002-07-12,2002,73
risk,2017-05-05,2017,72
end of the line,2009-06-19,2009,68
ideal home,2018-06-29,2018,62
juliet of the spirits rerelease,2001-05-18,2001,83
secret of the grain,2008-12-24,2008,83
under the tree,2018-07-06,2018,75
ingrid bergman in her own words,2015-11-13,2015,75
mia madre,2016-08-26,2016,70
wrecking crew,2015-03-13,2015,67
red hill,2010-11-05,2010,62
intact,2002-12-13,2002,59
sleep dealer,2009-04-17,2009,59
voyeur,2017-12-01,2017,59
garage days,2003-07-18,2003,50
dog days,2018-08-08,2018,47
mental,2013-03-29,2013,42
perfect match,2016-03-11,2016,41
like water for chocolate,1993-05-28,1993,86
that evening sun,2009-11-06,2009,75
city slickers,1991-06-07,1991,70
man from reno,2015-03-27,2015,69
howard zinn you cant be neutral on a moving train,2004-07-23,2004,65
lovely still,2010-09-10,2010,57
jim brown all american,2002-03-22,2002,50
great gilly hopkins,2016-10-07,2016,47
23 blast,2014-10-24,2014,45
girl in progress,2012-05-11,2012,45
innocence,2001-08-17,2001,73
whores glory,2012-04-20,2012,73
king jack,2016-06-10,2016,72
fletch,1985-05-31,1985,68
look of love,2013-07-05,2013,57
zhou yu de huo che,2004-07-16,2004,49
wild horses,2015-06-05,2015,44
burning bush,2014-06-11,2014,83
filmworker,2018-05-11,2018,73
third wife,2019-05-15,2019,71
london road,2016-09-09,2016,71
be with me,2006-09-29,2006,67
staying vertical,2017-01-20,2017,65
under our skin,2009-06-19,2009,63
people vs fritz bauer,2016-08-19,2016,61
roadie,2012-01-06,2012,61
make believe,2011-05-13,2011,59
ardennes,2017-01-06,2017,47
freshman orientation,2007-08-31,2007,41
hero of color city,2014-10-03,2014,33
shes gotta have it,1986-08-08,1986,79
be here to love me a film about townes van zandt,2005-12-02,2005,69
midwife,2017-07-21,2017,66
desert dancer,2015-04-10,2015,49
captain america civil war,2016-05-06,2016,75
avatar,2009-12-18,2009,83
xmen days of future past,2014-05-23,2014,75
star wars episode v the empire strikes back,1980-05-21,1980,82
spiderman 3,2007-05-04,2007,59
transformers,2007-07-03,2007,61
iron man 2,2010-05-07,2010,57
baby driver,2017-06-28,2017,86
cabin in the woods,2012-04-13,2012,72
spiderman far from home,2019-07-02,2019,69
quiet place,2018-04-06,2018,82
annihilation,2018-02-23,2018,79
imitation game,2014-11-28,2014,73
ted,2012-06-29,2012,62
split,2017-01-20,2017,62
slumdog millionaire,2008-11-12,2008,86
how to train your dragon 2,2014-06-13,2014,76
fast five,2011-04-29,2011,66
dark phoenix,2019-06-07,2019,43
28 weeks later,2007-05-11,2007,78
black mass,2015-09-18,2015,68
battleship,2012-05-18,2012,41
into the wild,2007-09-21,2007,73
cinderella,2015-03-13,2015,67
howls moving castle,2005-06-10,2005,80
oceans 8,2018-06-08,2018,61
kung fu panda 3,2016-01-29,2016,66
carrie,2013-10-18,2013,53
marie antoinette,2006-10-20,2006,65
pineapple express,2008-08-06,2008,64
million ways to die in the west,2014-05-30,2014,44
milk,2008-11-26,2008,84
squid and the whale,2005-10-05,2005,82
fright night,2011-08-19,2011,64
swiss army man,2016-06-24,2016,64
antz,1998-10-02,1998,72
forgetting sarah marshall,2008-04-18,2008,67
american,2010-09-01,2010,61
midsommar,2019-07-03,2019,72
nun,2018-09-07,2018,46
despicable me 3,2017-06-30,2017,49
midnight special,2016-03-18,2016,76
lost city of z,2017-04-14,2017,78
get hard,2015-03-27,2015,34
human centipede first sequence,2010-04-28,2010,33
idiocracy,2006-09-01,2006,66
polar express,2004-11-10,2004,61
beauty and the beast,1991-11-22,1991,95
flags of our fathers,2006-10-20,2006,79
madagascar escape 2 africa,2008-11-07,2008,61
jerry maguire,1996-12-13,1996,77
most violent year,2014-12-31,2014,79
paranormal activity the marked ones,2014-01-03,2014,42
crazy heart,2009-12-16,2009,83
bad moms,2016-07-29,2016,60
dodgeball a true underdog story,2004-06-18,2004,55
dumbo,2019-03-29,2019,51
30 minutes or less,2011-08-12,2011,49
into the storm,2014-08-08,2014,44
suspiria,2018-10-26,2018,64
do the right thing,1989-06-30,1989,92
founder,2017-01-20,2017,66
colossal,2017-04-07,2017,70
devil inside,2012-01-06,2012,18
in the mood for love,2001-02-02,2001,85
cinema paradiso,1990-03-01,1990,80
boxtrolls,2014-09-26,2014,61
thirteenth floor,1999-05-28,1999,36
red turtle,2017-01-20,2017,86
bank job,2008-03-07,2008,69
norm of the north,2016-01-15,2016,21
observe and report,2009-04-10,2009,54
youth,2015-12-04,2015,64
71,2015-02-27,2015,83
this is england,2007-07-27,2007,86
first purge,2018-07-04,2018,54
storks,2016-09-23,2016,56
holy motors,2012-10-17,2012,84
