title,release_year,genres,rating_imdb,rating_movielens,rating_metacritic,rating_rt_audience,count_ratings,imdb_norm,movielens_norm,metacritic_norm,rt_norm,num_available_ratings,superscore_mean,superscore_median
baby driver,2017,"['Action', 'Crime', 'Thriller']",7.6,4.33,86.0,86.0,4,7.6,8.66,8.6,8.6,4,8.365,8.6
bad moms christmas,2017,['Comedy'],5.6,3.5,42.0,44.0,4,5.6,7.0,4.2,4.4,4,5.300000000000001,5.0
baywatch,2017,"['Action', 'Comedy']",5.5,3.0,37.0,55.0,4,5.5,6.0,3.7,5.5,4,5.175,5.5
beguiled,2017,"['Drama', 'Thriller', 'Western']",6.3,3.0,77.0,48.0,4,6.3,6.0,7.7,4.8,4,6.2,6.15
big sick,2017,"['Comedy', 'Romance']",7.5,4.0,86.0,88.0,4,7.5,8.0,8.6,8.8,4,8.225000000000001,8.3
black panther,2017,"['Action', 'Adventure', 'Sci-Fi']",7.3,3.73,88.0,79.0,4,7.3,7.46,8.8,7.9,4,7.865,7.68
bright,2017,"['Action', 'Crime', 'Fantasy']",6.3,2.88,29.0,83.0,4,6.3,5.76,2.9,8.3,4,5.8149999999999995,6.029999999999999
cars 3,2017,"['Adventure', 'Animation', 'Comedy']",6.7,3.0,59.0,69.0,4,6.7,6.0,5.9,6.9,4,6.375,6.35
chips,2017,"['Action', 'Comedy', 'Drama']",6.0,4.0,28.0,45.0,4,6.0,8.0,2.8,4.5,4,5.325,5.25
coco,2017,"['Adventure', 'Animation', 'Children']",8.4,3.54,81.0,94.0,4,8.4,7.08,8.1,9.4,4,8.245,8.25
daddys home 2,2017,"['Comedy', 'Drama']",6.0,4.0,30.0,50.0,4,6.0,8.0,3.0,5.0,4,5.5,5.5
dark tower,2017,"['Fantasy', 'Horror', 'Sci-Fi', 'Western']",5.6,3.5,34.0,45.0,4,5.6,7.0,3.4,4.5,4,5.125,5.05
darkest hour,2017,"['Drama', 'War']",7.4,3.83,75.0,82.0,4,7.4,7.66,7.5,8.2,4,7.69,7.58
death of stalin,2017,['Comedy'],7.2,4.0,88.0,78.0,4,7.2,8.0,8.8,7.8,4,7.95,7.9
despicable me 3,2017,"['Adventure', 'Animation', 'Children', 'Comedy']",6.2,2.25,49.0,53.0,4,6.2,4.5,4.9,5.3,4,5.225,5.1
disaster artist,2017,"['Comedy', 'Drama']",7.3,3.75,76.0,85.0,4,7.3,7.5,7.6,8.5,4,7.725,7.55
dogs purpose,2017,"['Comedy', 'Drama']",7.2,4.5,43.0,73.0,4,7.2,9.0,4.3,7.3,4,6.95,7.25
dunkirk,2017,"['Action', 'Drama', 'Thriller', 'War']",7.8,3.42,94.0,81.0,4,7.8,6.84,9.4,8.1,4,8.035,7.949999999999999
emoji movie,2017,"['Animation', 'Children', 'Comedy']",3.4,0.5,12.0,37.0,4,3.4,1.0,1.2,3.7,4,2.325,2.3
fate of the furious,2017,"['Action', 'Crime', 'Drama', 'Thriller']",6.6,2.33,56.0,72.0,4,6.6,4.66,5.6,7.2,4,6.015,6.1
ferdinand,2017,"['Animation', 'Children', 'Comedy']",6.7,1.5,58.0,51.0,4,6.7,3.0,5.8,5.1,4,5.15,5.449999999999999
fifty shades darker,2017,"['Drama', 'Romance']",4.6,1.0,33.0,48.0,4,4.6,2.0,3.3,4.8,4,3.675,3.9499999999999997
first reformed,2017,"['Drama', 'Thriller']",7.1,4.0,85.0,68.0,4,7.1,8.0,8.5,6.8,4,7.6000000000000005,7.55
geostorm,2017,['Action'],5.3,2.0,21.0,35.0,4,5.3,4.0,2.1,3.5,4,3.725,3.75
get out,2017,['Horror'],7.8,3.63,84.0,86.0,4,7.8,7.26,8.4,8.6,4,8.015,8.1
gifted,2017,['Drama'],7.6,4.12,60.0,85.0,4,7.6,8.24,6.0,8.5,4,7.585,7.92
good time,2017,"['Crime', 'Drama']",7.3,3.0,80.0,81.0,4,7.3,6.0,8.0,8.1,4,7.35,7.65
greatest showman,2017,['Drama'],7.5,3.0,48.0,86.0,4,7.5,6.0,4.8,8.6,4,6.725,6.75
hitmans bodyguard,2017,"['Action', 'Comedy']",6.9,2.67,47.0,67.0,4,6.9,5.34,4.7,6.7,4,5.91,6.02
i tonya,2017,['Drama'],7.5,3.33,77.0,88.0,4,7.5,6.66,7.7,8.8,4,7.665,7.6
it comes at night,2017,"['Horror', 'Mystery', 'Thriller']",6.2,3.5,78.0,44.0,4,6.2,7.0,7.8,4.4,4,6.35,6.6
jumanji welcome to the jungle,2017,"['Action', 'Adventure', 'Children']",6.9,3.67,58.0,87.0,4,6.9,7.34,5.8,8.7,4,7.185,7.12
justice league,2017,"['Action', 'Adventure', 'Sci-Fi']",6.1,2.5,45.0,71.0,4,6.1,5.0,4.5,7.1,4,5.675,5.55
kingsman the golden circle,2017,"['Action', 'Adventure', 'Comedy']",6.7,3.06,44.0,64.0,4,6.7,6.12,4.4,6.4,4,5.904999999999999,6.26
kong skull island,2017,"['Action', 'Adventure', 'Fantasy']",6.7,3.12,62.0,69.0,4,6.7,6.24,6.2,6.9,4,6.51,6.470000000000001
lady bird,2017,['Comedy'],7.4,3.33,94.0,79.0,4,7.4,6.66,9.4,7.9,4,7.84,7.65
lego batman movie,2017,"['Action', 'Animation', 'Comedy']",7.3,3.71,75.0,80.0,4,7.3,7.42,7.5,8.0,4,7.555,7.46
logan,2017,"['Action', 'Sci-Fi']",8.1,4.28,77.0,90.0,4,8.1,8.56,7.7,9.0,4,8.34,8.33
logan lucky,2017,['Comedy'],7.0,4.5,78.0,76.0,4,7.0,9.0,7.8,7.6,4,7.85,7.699999999999999
mollys game,2017,['Drama'],7.4,4.0,71.0,84.0,4,7.4,8.0,7.1,8.4,4,7.725,7.7
mother,2017,"['Drama', 'Horror', 'Mystery', 'Thriller']",6.6,3.25,75.0,51.0,4,6.6,6.5,7.5,5.1,4,6.425000000000001,6.55
mummy,2017,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller']",5.4,3.5,34.0,35.0,4,5.4,7.0,3.4,3.5,4,4.825,4.45
murder on the orient express,2017,"['Crime', 'Drama', 'Mystery']",6.5,2.83,52.0,53.0,4,6.5,5.66,5.2,5.3,4,5.665,5.48
okja,2017,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.3,3.75,75.0,81.0,4,7.3,7.5,7.5,8.1,4,7.6,7.5
paddington 2,2017,"['Adventure', 'Animation', 'Children', 'Comedy']",7.8,4.25,88.0,88.0,4,7.8,8.5,8.8,8.8,4,8.475000000000001,8.65
phantom thread,2017,"['Drama', 'Romance']",7.4,3.5,90.0,71.0,4,7.4,7.0,9.0,7.1,4,7.625,7.25
pirates of the caribbean dead men tell no tales,2017,['(no genres listed)'],6.5,3.79,39.0,61.0,4,6.5,7.58,3.9,6.1,4,6.02,6.3
post,2017,"['Drama', 'Thriller']",7.2,4.25,83.0,73.0,4,7.2,8.5,8.3,7.3,4,7.825,7.800000000000001
rough night,2017,"['Comedy', 'Drama']",5.2,3.25,51.0,29.0,4,5.2,6.5,5.1,2.9,4,4.924999999999999,5.15
shape of water,2017,"['Adventure', 'Drama', 'Fantasy']",7.3,3.69,87.0,72.0,4,7.3,7.38,8.7,7.2,4,7.645,7.34
t2 trainspotting,2017,"['Crime', 'Drama']",7.2,3.75,67.0,78.0,4,7.2,7.5,6.7,7.8,4,7.3,7.35
thor ragnarok,2017,"['Action', 'Adventure', 'Sci-Fi']",7.9,4.03,74.0,87.0,4,7.9,8.06,7.4,8.7,4,8.015,7.98
three billboards outside ebbing missouri,2017,"['Crime', 'Drama']",8.1,4.75,88.0,87.0,4,8.1,9.5,8.8,8.7,4,8.775,8.75
valerian and the city of a thousand planets,2017,"['Action', 'Adventure', 'Sci-Fi']",6.4,2.88,51.0,53.0,4,6.4,5.76,5.1,5.3,4,5.64,5.529999999999999
war for the planet of the apes,2017,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",7.4,2.88,82.0,84.0,4,7.4,5.76,8.2,8.4,4,7.4399999999999995,7.8
wind river,2017,"['Action', 'Crime', 'Mystery', 'Thriller']",7.7,3.4,73.0,90.0,4,7.7,6.8,7.3,9.0,4,7.7,7.5
wonder,2017,['Drama'],7.9,4.0,66.0,88.0,4,7.9,8.0,6.6,8.8,4,7.825,7.95
wonder woman,2017,"['Action', 'Adventure', 'Fantasy']",7.4,3.31,76.0,86.0,4,7.4,6.62,7.6,8.6,4,7.555,7.5
10 cloverfield lane,2016,['Thriller'],7.2,3.68,76.0,79.0,4,7.2,7.36,7.6,7.9,4,7.515000000000001,7.48
5th wave,2016,"['Adventure', 'Sci-Fi', 'Thriller']",5.2,2.5,33.0,38.0,4,5.2,5.0,3.3,3.8,4,4.325,4.4
alice through the looking glass,2016,"['Adventure', 'Children', 'Fantasy']",6.2,2.0,34.0,48.0,4,6.2,4.0,3.4,4.8,4,4.6,4.4
arrival,2016,['Sci-Fi'],7.9,3.98,81.0,82.0,4,7.9,7.96,8.1,8.2,4,8.04,8.03
assassins creed,2016,"['Action', 'Adventure', 'Sci-Fi']",5.6,2.5,36.0,43.0,4,5.6,5.0,3.6,4.3,4,4.625,4.65
bad moms,2016,['Comedy'],6.2,3.83,60.0,63.0,4,6.2,7.66,6.0,6.3,4,6.54,6.25
batman v superman dawn of justice,2016,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",6.5,2.34,44.0,62.0,4,6.5,4.68,4.4,6.2,4,5.445,5.4399999999999995
beauty and the beast,2016,"['Fantasy', 'Romance']",7.1,3.5,39.0,80.0,4,7.1,7.0,3.9,8.0,4,6.5,7.05
bfg,2016,"['Children', 'Fantasy']",6.3,2.5,66.0,57.0,4,6.3,5.0,6.6,5.7,4,5.8999999999999995,6.0
bridget joness baby,2016,"['Comedy', 'Romance']",6.5,1.0,59.0,65.0,4,6.5,2.0,5.9,6.5,4,5.225,6.2
cafe society,2016,"['Comedy', 'Drama', 'Romance']",6.6,3.0,64.0,56.0,4,6.6,6.0,6.4,5.6,4,6.15,6.2
captain america civil war,2016,"['Action', 'Sci-Fi', 'Thriller']",7.8,3.61,75.0,89.0,4,7.8,7.22,7.5,8.9,4,7.855,7.65
captain fantastic,2016,['Drama'],7.8,4.5,72.0,85.0,4,7.8,9.0,7.2,8.5,4,8.125,8.15
central intelligence,2016,"['Action', 'Comedy']",6.3,3.62,52.0,61.0,4,6.3,7.24,5.2,6.1,4,6.209999999999999,6.199999999999999
conjuring 2,2016,['Horror'],7.3,2.25,65.0,81.0,4,7.3,4.5,6.5,8.1,4,6.6,6.9
deadpool,2016,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",8.0,3.83,65.0,90.0,4,8.0,7.66,6.5,9.0,4,7.79,7.83
deepwater horizon,2016,['Drama'],7.1,3.5,68.0,82.0,4,7.1,7.0,6.8,8.2,4,7.2749999999999995,7.05
dirty grandpa,2016,['Comedy'],5.9,2.88,21.0,44.0,4,5.9,5.76,2.1,4.4,4,4.54,5.08
doctor strange,2016,"['Action', 'Adventure', 'Sci-Fi']",7.5,3.7,72.0,86.0,4,7.5,7.4,7.2,8.6,4,7.675000000000001,7.45
dont breathe,2016,['Thriller'],7.1,3.3,71.0,78.0,4,7.1,6.6,7.1,7.8,4,7.1499999999999995,7.1
edge of seventeen,2016,['Comedy'],7.3,3.25,77.0,83.0,4,7.3,6.5,7.7,8.3,4,7.45,7.5
everybody wants some,2016,['Comedy'],6.9,4.17,83.0,68.0,4,6.9,8.34,8.3,6.8,4,7.585,7.6000000000000005
fantastic beasts and where to find them,2016,['Fantasy'],7.2,3.68,66.0,79.0,4,7.2,7.36,6.6,7.9,4,7.265000000000001,7.28
fences,2016,['Drama'],7.2,3.0,79.0,75.0,4,7.2,6.0,7.9,7.5,4,7.15,7.35
finding dory,2016,"['Adventure', 'Animation', 'Comedy']",7.2,3.58,77.0,84.0,4,7.2,7.16,7.7,8.4,4,7.615,7.45
finest hours,2016,"['Drama', 'Thriller']",6.7,3.0,58.0,66.0,4,6.7,6.0,5.8,6.6,4,6.275,6.3
florence foster jenkins,2016,"['Comedy', 'Drama']",6.8,4.0,71.0,68.0,4,6.8,8.0,7.1,6.8,4,7.175,6.949999999999999
founder,2016,['Drama'],7.2,4.25,66.0,82.0,4,7.2,8.5,6.6,8.2,4,7.624999999999999,7.699999999999999
ghostbusters,2016,"['Action', 'Comedy', 'Horror', 'Sci-Fi']",6.8,3.12,60.0,50.0,4,6.8,6.24,6.0,5.0,4,6.01,6.12
girl on the train,2016,['Thriller'],6.5,4.5,48.0,49.0,4,6.5,9.0,4.8,4.9,4,6.300000000000001,5.7
gods of egypt,2016,"['Adventure', 'Fantasy']",5.4,0.5,25.0,37.0,4,5.4,1.0,2.5,3.7,4,3.1500000000000004,3.1
hacksaw ridge,2016,"['Drama', 'War']",8.1,3.94,71.0,91.0,4,8.1,7.88,7.1,9.1,4,8.045,7.99
hail caesar,2016,['Comedy'],6.3,2.81,72.0,44.0,4,6.3,5.62,7.2,4.4,4,5.880000000000001,5.96
hell or high water,2016,"['Crime', 'Drama']",7.6,3.56,88.0,88.0,4,7.6,7.12,8.8,8.8,4,8.08,8.2
hidden figures,2016,['Drama'],7.8,3.8,74.0,93.0,4,7.8,7.6,7.4,9.3,4,8.024999999999999,7.699999999999999
how to be single,2016,"['Comedy', 'Romance']",6.1,3.12,51.0,47.0,4,6.1,6.24,5.1,4.7,4,5.534999999999999,5.6
huntsman winters war,2016,"['Action', 'Adventure', 'Drama', 'Fantasy']",6.1,1.0,35.0,45.0,4,6.1,2.0,3.5,4.5,4,4.025,4.0
ice age collision course,2016,"['Adventure', 'Animation', 'Children', 'Comedy']",5.7,1.0,34.0,39.0,4,5.7,2.0,3.4,3.9,4,3.75,3.65
independence day resurgence,2016,"['Action', 'Adventure', 'Sci-Fi']",5.2,2.38,32.0,30.0,4,5.2,4.76,3.2,3.0,4,4.04,3.98
inferno,2016,"['Mystery', 'Thriller']",6.2,2.88,42.0,36.0,4,6.2,5.76,4.2,3.6,4,4.94,4.98
infiltrator,2016,"['Crime', 'Drama']",7.0,3.75,66.0,71.0,4,7.0,7.5,6.6,7.1,4,7.050000000000001,7.05
it,2016,['Horror'],7.3,3.33,27.0,25.0,4,7.3,6.66,2.7,2.5,4,4.79,4.68
jason bourne,2016,['Action'],6.6,2.72,58.0,55.0,4,6.6,5.44,5.8,5.5,4,5.835,5.65
jungle book,2016,"['Adventure', 'Drama', 'Fantasy']",7.4,3.64,77.0,86.0,4,7.4,7.28,7.7,8.6,4,7.744999999999999,7.550000000000001
keanu,2016,['Comedy'],6.2,2.5,63.0,55.0,4,6.2,5.0,6.3,5.5,4,5.75,5.85
keeping up with the joneses,2016,['Comedy'],5.9,3.75,34.0,37.0,4,5.9,7.5,3.4,3.7,4,5.125,4.800000000000001
kubo and the two strings,2016,"['Adventure', 'Animation', 'Children', 'Fantasy']",7.7,4.0,84.0,86.0,4,7.7,8.0,8.4,8.6,4,8.175,8.2
kung fu panda 3,2016,"['Action', 'Adventure', 'Animation']",7.1,3.38,66.0,78.0,4,7.1,6.76,6.6,7.8,4,7.065,6.93
la land,2016,"['Comedy', 'Drama', 'Romance']",8.0,3.39,93.0,81.0,4,8.0,6.78,9.3,8.1,4,8.045,8.05
legend of tarzan,2016,"['Action', 'Adventure']",6.2,3.08,44.0,58.0,4,6.2,6.16,4.4,5.8,4,5.64,5.98
lights out,2016,['Horror'],6.3,3.0,58.0,61.0,4,6.3,6.0,5.8,6.1,4,6.050000000000001,6.05
lion,2016,['Drama'],8.0,4.5,69.0,91.0,4,8.0,9.0,6.9,9.1,4,8.25,8.5
london has fallen,2016,"['Action', 'Crime', 'Thriller']",5.9,2.0,28.0,51.0,4,5.9,4.0,2.8,5.1,4,4.449999999999999,4.55
magnificent seven,2016,"['Action', 'Western']",6.9,3.58,54.0,72.0,4,6.9,7.16,5.4,7.2,4,6.665,7.03
manchester by the sea,2016,['Drama'],7.8,2.9,96.0,78.0,4,7.8,5.8,9.6,7.8,4,7.75,7.8
miss peregrines home for peculiar children,2016,['Fantasy'],6.7,3.0,57.0,60.0,4,6.7,6.0,5.7,6.0,4,6.1,6.0
miss sloane,2016,['Thriller'],7.5,4.5,64.0,72.0,4,7.5,9.0,6.4,7.2,4,7.5249999999999995,7.35
moana,2016,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",7.6,3.45,81.0,89.0,4,7.6,6.9,8.1,8.9,4,7.875,7.85
money monster,2016,"['Drama', 'Thriller']",6.5,2.25,55.0,51.0,4,6.5,4.5,5.5,5.1,4,5.4,5.3
neighbors 2 sorority rising,2016,['Comedy'],5.7,2.6,58.0,44.0,4,5.7,5.2,5.8,4.4,4,5.275,5.45
neon demon,2016,"['Drama', 'Horror', 'Mystery']",6.1,3.0,51.0,51.0,4,6.1,6.0,5.1,5.1,4,5.574999999999999,5.55
nerve,2016,"['Drama', 'Thriller']",6.5,2.62,58.0,66.0,4,6.5,5.24,5.8,6.6,4,6.035,6.15
nice guys,2016,"['Crime', 'Mystery', 'Thriller']",7.4,3.83,70.0,79.0,4,7.4,7.66,7.0,7.9,4,7.49,7.53
now you see me 2,2016,"['Action', 'Comedy', 'Thriller']",6.4,3.64,46.0,53.0,4,6.4,7.28,4.6,5.3,4,5.8950000000000005,5.85
office christmas party,2016,['Comedy'],5.9,3.5,42.0,40.0,4,5.9,7.0,4.2,4.0,4,5.275,5.050000000000001
passengers,2016,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']",7.0,3.67,41.0,63.0,4,7.0,7.34,4.1,6.3,4,6.185,6.65
petes dragon,2016,"['Adventure', 'Children', 'Fantasy']",6.7,3.0,71.0,72.0,4,6.7,6.0,7.1,7.2,4,6.749999999999999,6.9
popstar never stop never stopping,2016,['Comedy'],6.7,2.75,68.0,65.0,4,6.7,5.5,6.8,6.5,4,6.375,6.6
pride and prejudice and zombies,2016,"['Comedy', 'Horror', 'Romance', 'Thriller']",5.8,4.5,45.0,45.0,4,5.8,9.0,4.5,4.5,4,5.95,5.15
purge election year,2016,"['Action', 'Horror', 'Sci-Fi']",6.0,2.75,55.0,48.0,4,6.0,5.5,5.5,4.8,4,5.45,5.5
ride along 2,2016,"['Action', 'Comedy']",5.9,2.0,32.0,48.0,4,5.9,4.0,3.2,4.8,4,4.4750000000000005,4.4
sausage party,2016,"['Animation', 'Comedy']",6.1,3.64,66.0,50.0,4,6.1,7.28,6.6,5.0,4,6.244999999999999,6.35
secret life of pets,2016,"['Animation', 'Comedy']",6.5,3.07,61.0,62.0,4,6.5,6.14,6.1,6.2,4,6.235,6.17
shallows,2016,"['Drama', 'Thriller']",6.3,2.5,59.0,59.0,4,6.3,5.0,5.9,5.9,4,5.775,5.9
silence,2016,"['Drama', 'Thriller']",7.2,3.75,79.0,69.0,4,7.2,7.5,7.9,6.9,4,7.375,7.35
sing,2016,"['Animation', 'Children', 'Comedy']",7.1,3.75,59.0,72.0,4,7.1,7.5,5.9,7.2,4,6.925,7.15
snowden,2016,"['Drama', 'Thriller']",7.3,3.83,58.0,70.0,4,7.3,7.66,5.8,7.0,4,6.94,7.15
split,2016,"['Drama', 'Horror', 'Thriller']",7.3,3.33,62.0,79.0,4,7.3,6.66,6.2,7.9,4,7.015000000000001,6.98
star trek beyond,2016,"['Action', 'Adventure', 'Sci-Fi']",7.0,3.47,68.0,80.0,4,7.0,6.94,6.8,8.0,4,7.1850000000000005,6.970000000000001
storks,2016,"['Animation', 'Children', 'Comedy']",6.8,4.0,56.0,62.0,4,6.8,8.0,5.6,6.2,4,6.6499999999999995,6.5
suicide squad,2016,"['Action', 'Crime', 'Sci-Fi']",5.9,2.92,40.0,59.0,4,5.9,5.84,4.0,5.9,4,5.41,5.87
sully,2016,['Drama'],7.4,3.17,74.0,84.0,4,7.4,6.34,7.4,8.4,4,7.385,7.4
swiss army man,2016,"['Comedy', 'Drama', 'Romance']",6.9,3.25,64.0,72.0,4,6.9,6.5,6.4,7.2,4,6.75,6.7
teenage mutant ninja turtles out of the shadows,2016,"['Action', 'Adventure', 'Comedy']",5.9,2.0,40.0,47.0,4,5.9,4.0,4.0,4.7,4,4.65,4.35
underworld blood wars,2016,"['Action', 'Horror']",5.7,3.0,23.0,49.0,4,5.7,6.0,2.3,4.9,4,4.725,5.300000000000001
warcraft,2016,"['Action', 'Adventure', 'Fantasy']",6.7,3.42,32.0,76.0,4,6.7,6.84,3.2,7.6,4,6.084999999999999,6.77
whiskey tango foxtrot,2016,"['Comedy', 'War']",6.6,3.33,57.0,55.0,4,6.6,6.66,5.7,5.5,4,6.115,6.15
why him,2016,['Comedy'],6.2,3.12,39.0,51.0,4,6.2,6.24,3.9,5.1,4,5.359999999999999,5.65
xmen apocalypse,2016,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",6.9,3.07,52.0,65.0,4,6.9,6.14,5.2,6.5,4,6.185,6.32
zoolander 2,2016,['Comedy'],4.7,2.5,34.0,20.0,4,4.7,5.0,3.4,2.0,4,3.775,4.05
zootopia,2016,"['Action', 'Adventure', 'Animation', 'Children', 'Comedy']",8.0,3.89,78.0,92.0,4,8.0,7.78,7.8,9.2,4,8.195,7.9
aloha,2015,"['Comedy', 'Drama', 'Romance']",5.4,0.5,40.0,28.0,4,5.4,1.0,4.0,2.8,4,3.3,3.4
american ultra,2015,"['Action', 'Comedy', 'Sci-Fi', 'Thriller']",6.1,2.67,50.0,45.0,4,6.1,5.34,5.0,4.5,4,5.234999999999999,5.17
anomalisa,2015,"['Animation', 'Comedy', 'Fantasy']",7.3,3.25,88.0,71.0,4,7.3,6.5,8.8,7.1,4,7.425000000000001,7.199999999999999
antman,2015,"['Action', 'Adventure', 'Sci-Fi']",7.3,3.72,64.0,86.0,4,7.3,7.44,6.4,8.6,4,7.4350000000000005,7.37
big short,2015,['Drama'],7.8,3.96,81.0,88.0,4,7.8,7.92,8.1,8.8,4,8.155000000000001,8.01
black mass,2015,"['Crime', 'Drama']",6.9,2.5,68.0,68.0,4,6.9,5.0,6.8,6.8,4,6.375,6.8
blackhat,2015,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",5.5,2.5,51.0,24.0,4,5.5,5.0,5.1,2.4,4,4.5,5.05
bone tomahawk,2015,"['Horror', 'Western']",7.1,4.5,72.0,73.0,4,7.1,9.0,7.2,7.3,4,7.65,7.25
bridge of spies,2015,"['Drama', 'Thriller']",7.6,3.44,81.0,87.0,4,7.6,6.88,8.1,8.7,4,7.819999999999999,7.85
brooklyn,2015,"['Drama', 'Romance']",7.5,3.88,88.0,87.0,4,7.5,7.76,8.8,8.7,4,8.190000000000001,8.23
burnt,2015,['Drama'],6.6,2.0,42.0,44.0,4,6.6,4.0,4.2,4.4,4,4.800000000000001,4.300000000000001
carol,2015,"['Drama', 'Romance']",7.2,4.0,95.0,74.0,4,7.2,8.0,9.5,7.4,4,8.025,7.7
chappie,2015,"['Action', 'Thriller']",6.8,3.25,41.0,56.0,4,6.8,6.5,4.1,5.6,4,5.75,6.05
cinderella,2015,"['Children', 'Drama', 'Fantasy', 'Romance']",6.9,4.0,67.0,78.0,4,6.9,8.0,6.7,7.8,4,7.3500000000000005,7.35
colonia,2015,['Thriller'],7.0,1.5,33.0,61.0,4,7.0,3.0,3.3,6.1,4,4.85,4.699999999999999
concussion,2015,['Drama'],7.1,2.5,55.0,74.0,4,7.1,5.0,5.5,7.4,4,6.25,6.3
creed,2015,['Drama'],7.6,3.75,82.0,89.0,4,7.6,7.5,8.2,8.9,4,8.049999999999999,7.8999999999999995
crimson peak,2015,['Horror'],6.5,3.5,66.0,55.0,4,6.5,7.0,6.6,5.5,4,6.4,6.55
