norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,year,release_date,genres,ID_IMDB,ID_METACRITIC,ID_MOVIELENS
11 8 16,0,,,,75.0,11 8 16,2017,,['Documentary'],,,
11 flowers,0,,71.0,,,11 flowers,2013,,['Drama'],,53.0,
11 minutes,0,,51.0,,74.0,11 minutes,2016,,"['Drama', 'Thriller']",,350.0,
112 weddings,0,,,,76.0,112 weddings,2013,,"['Documentary', 'Special Interest', 'Romance']",,,
11th hour,0,,,4.0,,11th hour,2007,,['Documentary'],,,6956.0
12,0,,,,77.0,12,2007,,"['Art House & International', 'Drama', 'Mystery & Suspense']",,,
12,1,,72.0,,,12,2009,,"['Drama', 'Thriller', 'Crime', 'War']",,8359.0,
12 08 east of bucharest,0,,77.0,,96.0,12 08 east of bucharest,2007,,"['Drama', 'Comedy', 'Music']",,8452.0,
12 angry men,0,,96.0,4.1,100.0,12 angry men,1957,,"['Drama', 'Crime']",,7761.0,905.0
12 angry men,1,,,5.0,92.0,12 angry men,1997,,"['Crime', 'Drama']",,,7316.0
12 chairs,0,,,4.5,,12 chairs,1971,,"['Adventure', 'Comedy']",,,9034.0
12 chairs,1,,,5.0,,12 chairs,1976,,"['Adventure', 'Comedy']",,,9029.0
12 o clock boys,0,,68.0,,92.0,12 o clock boys,2014,,"['Biography', 'Documentary']",,2471.0,
12 rounds,0,,38.0,3.0,30.0,12 rounds,2009,,"['Action', 'Thriller', 'Crime']",,5016.0,7080.0
12 strong,0,6.5,54.0,,50.0,12 strong,2018,,"['Action', 'Drama', 'History']",2359.0,5332.0,
12 years a slave,0,8.1,96.0,3.6,95.0,12 years a slave,2013,,"['Biography', 'Drama', 'History']",2710.0,3740.0,8268.0
127 hours,0,7.5,82.0,3.8,93.0,127 hours,2010,,"['Biography', 'Drama']",2445.0,8521.0,7438.0
13,0,,29.0,,8.0,13,2011,,"['Drama', 'Thriller']",,2587.0,
13 assassins,0,,84.0,4.0,95.0,13 assassins,2010,,['Action'],,7010.0,7562.0
13 cameras,0,,,,77.0,13 cameras,2016,,['Horror'],,,
13 ghosts,0,,,3.1,36.0,13 ghosts,1960,,['Horror'],,,3502.0
13 going on 30,0,6.3,57.0,3.2,65.0,13 going on 30,2004,,"['Comedy', 'Fantasy', 'Romance']",1271.0,2210.0,4931.0
13 hours,0,7.3,,3.3,,13 hours,2016,,"['Action', 'Drama', 'History']",3058.0,,8961.0
13 hours the secret soldiers of benghazi,0,,48.0,,51.0,13 hours the secret soldiers of benghazi,2016,,"['Action', 'Drama', 'Thriller', 'War']",,2509.0,
13 rue madeleine,0,,,,83.0,13 rue madeleine,1947,,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']",,,
13 sins,0,,44.0,3.5,65.0,13 sins,2014,,"['Thriller', 'Horror']",,2124.0,8382.0
13 tzameti,0,,61.0,4.5,84.0,13 tzameti,2005,,"['Drama', 'Thriller', 'Crime']",,4187.0,6317.0
13th,0,,88.0,4.5,,13th,2016,,"['Crime', 'Documentary']",,5652.0,9388.0
13th warrior,0,,,2.9,,13th warrior,1999,,"['Action', 'Adventure', 'Fantasy']",,,2126.0
14 blades,0,,,,69.0,14 blades,2014,,"['Action & Adventure', 'Art House & International']",,,
14 cameras,0,,,,22.0,14 cameras,2018,,['Horror'],,,
14 hours,0,,,,100.0,14 hours,1951,,"['Classics', 'Drama', 'Mystery & Suspense']",,,
1408,0,6.8,64.0,3.2,80.0,1408,2007,,"['Fantasy', 'Horror', 'Mystery']",1627.0,2860.0,6500.0
1492 conquest of paradise,0,,47.0,2.5,32.0,1492 conquest of paradise,1992,,"['Adventure', 'Biography', 'Drama', 'History']",,171.0,5330.0
15 minutes,0,6.1,34.0,3.0,32.0,15 minutes,2001,,"['Action', 'Crime', 'Drama']",928.0,1734.0,3101.0
15 minutes of war,0,,,,43.0,15 minutes of war,2019,,"['Action & Adventure', 'Drama']",,,
15 years,0,,,,67.0,15 years,2020,,['Drama'],,,
16 acres,0,,,,100.0,16 acres,2012,,"['Documentary', 'Special Interest']",,,
16 blocks,0,6.6,63.0,3.0,56.0,16 blocks,2006,,"['Action', 'Drama', 'Thriller']",1622.0,3511.0,6130.0
16 years of alcohol,0,,,,80.0,16 years of alcohol,2003,,"['Art House & International', 'Drama']",,,
17 again,0,6.4,48.0,3.6,56.0,17 again,2009,,"['Comedy', 'Drama', 'Fantasy']",1936.0,4964.0,6993.0
17 girls,0,,,,67.0,17 girls,2012,,['Drama'],,,
1776,0,,,3.5,69.0,1776,1972,,"['Children', 'Drama', 'Musical']",,,3892.0
18 again,0,,,1.5,29.0,18 again,1988,,"['Comedy', 'Fantasy']",,,3293.0
18 presents,0,,,,60.0,18 presents,2020,,"['Art House & International', 'Drama']",,,
180 south,0,,,,80.0,180 south,2010,,"['Documentary', 'Special Interest']",,,
187,0,,,2.7,,187,1997,,"['Drama', 'Thriller']",,,1210.0
1900,0,,,4.5,58.0,1900,1976,,"['Drama', 'War']",,,5483.0
1911,0,,37.0,,8.0,1911,2011,,"['Action', 'Adventure', 'Drama', 'History', 'War']",,2140.0,
1917,0,8.2,,,89.0,1917,2019,,"['Action', 'Drama', 'War']",3313.0,,
1922,0,,70.0,,91.0,1922,2017,,"['Drama', 'Mystery', 'Thriller', 'Horror', 'Crime']",,8271.0,
1941,0,,,2.7,42.0,1941,1979,,"['Comedy', 'War']",,,4765.0
1945,0,,73.0,,,1945,2017,,['Drama'],,6924.0,
1969,0,,,2.0,,1969,1988,,"['Drama', 'War']",,,3294.0
1982,0,,,,78.0,1982,2016,,['Drama'],,,
1984,0,,67.0,3.7,74.0,1984,1984,,"['Sci-Fi', 'Drama']",,2171.0,1578.0
1985,0,,71.0,,96.0,1985,2018,,['Drama'],,8891.0,
1br,0,,,,86.0,1br,2020,,['Horror'],,,
2 1,0,,,,56.0,2 1,2020,,"['Drama', 'Science Fiction & Fantasy']",,,
2 22,0,,,,22.0,2 22,2017,,"['Drama', 'Mystery & Suspense']",,,
2 autumns 3 winters,0,,,,78.0,2 autumns 3 winters,2014,,"['Art House & International', 'Comedy', 'Drama']",,,
2 brothers a bride,0,,,,46.0,2 brothers a bride,2003,,['Comedy'],,,
2 days in new york,0,,61.0,2.5,66.0,2 days in new york,2012,,['Comedy'],,6435.0,7922.0
2 days in paris,0,,67.0,3.5,87.0,2 days in paris,2007,,"['Drama', 'Comedy', 'Romance']",,8248.0,6534.0
2 days in the valley,0,,,3.0,59.0,2 days in the valley,1996,,"['Crime', 'Film-Noir']",,,761.0
2 fast furious,0,5.9,38.0,2.6,36.0,2 fast furious,2003,,"['Action', 'Crime', 'Thriller']",1231.0,1350.0,4360.0
2 guns,0,6.7,55.0,4.0,64.0,2 guns,2013,,"['Action', 'Comedy', 'Thriller']",2247.0,4955.0,8208.0
2 in the bush a love story,0,,,,100.0,2 in the bush a love story,2019,,"['Comedy', 'Drama', 'Romance']",,,
2 jacks,0,,,,38.0,2 jacks,2013,,['Drama'],,,
20 000 days on earth,0,,83.0,4.0,95.0,20 000 days on earth,2014,,"['Drama', 'Music', 'Documentary']",,3162.0,8493.0
20 000 leagues under the sea,0,,,3.8,,20 000 leagues under the sea,1916,,"['Action', 'Adventure', 'Sci-Fi']",,,6847.0
20 000 leagues under the sea,1,,,3.5,89.0,20 000 leagues under the sea,1954,,"['Adventure', 'Drama', 'Sci-Fi']",,,778.0
20 centimeters,0,,58.0,,,20 centimeters,2006,,"['Comedy', 'Musical']",,3989.0,
20 centimeters centimetres,0,,,,44.0,20 centimeters centimetres,2005,,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts']",,,
20 dates,0,,,3.0,,20 dates,1998,,"['Comedy', 'Romance']",,,1874.0
20 feet from stardom,0,,83.0,4.2,99.0,20 feet from stardom,2013,,['Documentary'],,5391.0,8170.0
20 million miles to earth,0,,,5.0,73.0,20 million miles to earth,1957,,['Sci-Fi'],,,3889.0
20 weeks,0,,,,60.0,20 weeks,2018,,['Drama'],,,
200 cigarettes,0,,33.0,3.2,,200 cigarettes,1999,,"['Drama', 'Comedy', 'Romance']",,914.0,1885.0
2001 a space odyssey,0,,82.0,3.9,92.0,2001 a space odyssey,1968,,"['Adventure', 'Sci-Fi', 'Mystery']",,8506.0,707.0
2001 maniacs,0,,,3.2,,2001 maniacs,2005,,"['Comedy', 'Horror']",,,6411.0
2010,0,,53.0,,66.0,2010,1984,,"['Adventure', 'Sci-Fi', 'Mystery', 'Thriller']",,2810.0,
2010 the year we make contact,0,6.7,,3.6,,2010 the year we make contact,1984,,"['Adventure', 'Mystery', 'Sci-Fi']",160.0,,1719.0
2012,0,5.8,49.0,2.6,39.0,2012,2009,,"['Action', 'Adventure', 'Sci-Fi']",2148.0,6603.0,7169.0
2016 obama s america,0,,28.0,,26.0,2016 obama s america,2012,,['Documentary'],,1176.0,
2046,0,7.4,78.0,4.1,,2046,2004,,"['Drama', 'Romance', 'Sci-Fi']",987.0,7403.0,5617.0
2048 nowhere to run,0,,,3.5,,2048 nowhere to run,2017,,"['Sci-Fi', 'Thriller']",,,9613.0
20th century women,0,,83.0,,88.0,20th century women,2016,,"['Drama', 'Comedy']",,5318.0,
21,0,6.8,48.0,3.8,35.0,21,2008,,"['Crime', 'Drama', 'History']",1717.0,3526.0,6698.0
21 and over,0,,34.0,3.6,27.0,21 and over,2013,,['Comedy'],,2538.0,8087.0
21 bridges,0,6.6,,,,21 bridges,2019,,"['Action', 'Crime', 'Drama']",3316.0,,
21 grams,0,7.6,70.0,3.3,80.0,21 grams,2003,,"['Crime', 'Drama', 'Thriller']",1212.0,5633.0,4647.0
21 jump street,0,7.2,69.0,3.9,84.0,21 jump street,2012,,"['Action', 'Comedy', 'Crime']",2210.0,4912.0,7828.0
21 over,0,5.8,,,,21 over,2013,,['Comedy'],2569.0,,
21 up,0,,,4.0,,21 up,1977,,['Documentary'],,,6457.0
21 years richard linklater,0,,51.0,,40.0,21 years richard linklater,2014,,"['Biography', 'Documentary']",,8437.0,
211,0,,21.0,,4.0,211,2018,,"['Action', 'Drama', 'History', 'Thriller', 'Crime']",,3415.0,
22 bullets,0,,,,46.0,22 bullets,2013,,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",,,
22 jul,0,,69.0,,,22 jul,2018,,"['Biography', 'Drama', 'History', 'Thriller', 'Crime']",,8296.0,
22 july,0,,,,80.0,22 july,2018,,['Drama'],,,
22 jump street,0,7.0,71.0,3.7,85.0,22 jump street,2014,,"['Action', 'Comedy', 'Crime']",2791.0,5580.0,8432.0
23 blast,0,,45.0,,,23 blast,2014,,"['Drama', 'Sport', 'Family']",,5863.0,
24 city,0,,,,91.0,24 city,2008,,"['Art House & International', 'Documentary', 'Drama']",,,
24 days,0,,59.0,,79.0,24 days,2015,,"['Drama', 'Thriller']",,316.0,
24 exposures,0,,,,35.0,24 exposures,2014,,['Mystery & Suspense'],,,
24 frames,0,,76.0,,,24 frames,2018,,['Drama'],,3471.0,
24 hour party people,0,,85.0,3.6,86.0,24 hour party people,2002,,"['Biography', 'Drama', 'Comedy', 'Music']",,7418.0,3917.0
24 hours on craigslist,0,,,,50.0,24 hours on craigslist,2004,,"['Documentary', 'Special Interest']",,,
24 hours to live,0,,,,52.0,24 hours to live,2017,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",,,
24 redemption,0,,,,80.0,24 redemption,2008,,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']",,,
25th hour,0,7.6,67.0,3.8,78.0,25th hour,2002,,['Drama'],1193.0,2700.0,4134.0
27 dresses,0,6.1,47.0,3.3,41.0,27 dresses,2008,,"['Comedy', 'Romance']",1951.0,5317.0,6642.0
28 days,0,6.1,46.0,3.3,33.0,28 days,2000,,"['Comedy', 'Drama']",959.0,4160.0,2637.0
28 days later,0,7.5,73.0,4.0,87.0,28 days later,2002,,"['Drama', 'Horror', 'Sci-Fi']",1147.0,7330.0,4403.0
28 hotel rooms,0,,50.0,,47.0,28 hotel rooms,2012,,['Drama'],,6549.0,
28 up,0,,,4.0,,28 up,1985,,['Documentary'],,,4956.0
28 weeks later,0,6.9,78.0,3.6,71.0,28 weeks later,2007,,"['Horror', 'Sci-Fi']",1675.0,5908.0,6467.0
29 palms,0,,,,0.0,29 palms,2003,,"['Comedy', 'Drama', 'Mystery & Suspense']",,,
2nd date sex,0,,,,44.0,2nd date sex,2019,,['Comedy'],,,
3,0,,55.0,,47.0,3,2011,,"['Drama', 'Comedy', 'Romance']",,6528.0,
3 1 2 minutes 10 bullets,0,,76.0,,,3 1 2 minutes 10 bullets,2015,,"['Drama', 'Crime', 'Documentary', 'News']",,27.0,
3 10 to yuma,0,,,4.0,96.0,3 10 to yuma,1957,,"['Action', 'Adventure', 'Drama', 'Thriller', 'Western']",,,3787.0
3 10 to yuma,1,7.7,76.0,4.1,89.0,3 10 to yuma,2007,,"['Action', 'Crime', 'Drama']",1413.0,8134.0,6541.0
3 2 1 frankie go boom,0,,51.0,,45.0,3 2 1 frankie go boom,2012,,['Comedy'],,8104.0,
3 4x juugatsu,0,,,,94.0,3 4x juugatsu,1990,,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']",,,
3 backyards,0,,69.0,,76.0,3 backyards,2011,,['Drama'],,8455.0,
3 d sex and zen extreme ecstasy,0,,36.0,,,3 d sex and zen extreme ecstasy,2011,,['Drama'],,3476.0,
3 dancing slaves,0,,46.0,,,3 dancing slaves,2005,,['Drama'],,175.0,
3 days to kill,0,6.2,40.0,1.0,27.0,3 days to kill,2014,,"['Action', 'Comedy', 'Drama']",2751.0,3310.0,8360.0
3 dev adam,0,,,0.5,,3 dev adam,1973,,"['Action', 'Adventure', 'Sci-Fi']",,,8211.0
3 extremes three,0,,,3.3,,3 extremes three,2004,,['Horror'],,,5912.0
3 faces,0,,78.0,,,3 faces,2019,,['Drama'],,5168.0,
3 from hell,0,,,,56.0,3 from hell,2019,,['Horror'],,,
3 generations,0,,47.0,,32.0,3 generations,2017,,"['Drama', 'Comedy']",,6215.0,
3 hearts,0,,56.0,,80.0,3 hearts,2015,,['Drama'],,466.0,
3 holes and a smoking gun,0,,,,40.0,3 holes and a smoking gun,2015,,['Mystery & Suspense'],,,
3 idiots,0,,,4.8,,3 idiots,2009,,"['Comedy', 'Drama', 'Romance']",,,7227.0
3 iron,0,,72.0,4.5,87.0,3 iron,2004,,"['Drama', 'Romance', 'Crime']",,5048.0,5724.0
3 men and a baby,0,6.1,61.0,,,3 men and a baby,1987,,"['Comedy', 'Drama', 'Family']",277.0,3962.0,
3 nights in the desert,0,,,,40.0,3 nights in the desert,2015,,['Drama'],,,
3 ninjas,0,,36.0,2.1,32.0,3 ninjas,1992,,"['Action', 'Sport', 'Comedy', 'Family']",,1776.0,3475.0
3 ninjas high noon at mega mountain,0,,44.0,,0.0,3 ninjas high noon at mega mountain,1998,,"['Action', 'Adventure', 'Comedy', 'Family']",,5558.0,
3 ninjas high noon on mega mountain,0,,,4.0,,3 ninjas high noon on mega mountain,1998,,"['Action', 'Children', 'Comedy']",,,1302.0
3 ninjas kick back,0,,39.0,1.2,15.0,3 ninjas kick back,1994,,"['Action', 'Comedy', 'Family']",,5234.0,3476.0
3 ninjas knuckle up,0,,,0.5,,3 ninjas knuckle up,1995,,"['Action', 'Children']",,,3477.0
3 strikes,0,,11.0,,,3 strikes,2000,,['Comedy'],,1211.0,
3 women,0,,,4.2,94.0,3 women,1977,,['Drama'],,,5134.0
30 beats,0,,20.0,,5.0,30 beats,2012,,"['Comedy', 'Romance']",,214.0,
30 days of night,0,6.6,53.0,3.2,51.0,30 days of night,2007,,"['Action', 'Horror', 'Thriller']",1444.0,3510.0,6576.0
30 days of night dark,0,,,,17.0,30 days of night dark,2012,,['Horror'],,,
30 minutes or less,0,6.1,49.0,2.7,45.0,30 minutes or less,2011,,"['Action', 'Comedy', 'Crime']",2509.0,5946.0,7649.0
30 years to life,0,,,,67.0,30 years to life,2002,,['Comedy'],,,
300,0,7.6,52.0,3.7,61.0,300,2006,,"['Action', 'Drama']",1527.0,2662.0,6417.0
300 rise of an empire,0,6.2,48.0,2.1,45.0,300 rise of an empire,2014,,"['Action', 'Drama', 'War']",2230.0,4589.0,8365.0
3000 miles to graceland,0,,21.0,2.7,14.0,3000 miles to graceland,2001,,"['Action', 'Thriller', 'Comedy', 'Crime']",,5007.0,3096.0
31,0,,35.0,3.5,47.0,31,2016,,"['Thriller', 'Horror']",,1064.0,9373.0
31 north 62 east,0,,,,8.0,31 north 62 east,2009,,"['Art House & International', 'Drama', 'Mystery & Suspense']",,,
33 postcards,0,,,,27.0,33 postcards,2013,,"['Art House & International', 'Drama', 'Musical & Performing Arts']",,,
35 shots of rum,0,,92.0,,,35 shots of rum,2009,,['Drama'],,1547.0,
35 up,0,,,4.0,,35 up,1991,,['Documentary'],,,5546.0
36 quai des orfevres,0,,,,100.0,36 quai des orfevres,2005,,"['Art House & International', 'Drama']",,,
360,0,,43.0,,20.0,360,2012,,"['Drama', 'Romance']",,6699.0,
37 seconds,0,,,,88.0,37 seconds,2020,,['Drama'],,,
372 le matin betty blue,0,,,,77.0,372 le matin betty blue,1986,,"['Art House & International', 'Drama', 'Romance']",,,
388 arletta avenue,0,,,,56.0,388 arletta avenue,2016,,"['Art House & International', 'Drama', 'Mystery & Suspense']",,,
39 pounds of love,0,,56.0,,,39 pounds of love,2005,,"['Biography', 'Romance', 'Documentary']",,3452.0,
39 steps,0,,,4.0,,39 steps,1935,,"['Drama', 'Mystery', 'Thriller']",,,741.0
4,0,,72.0,,75.0,4,2006,,['Drama'],,8059.0,
4 20 massacre,0,,,,50.0,4 20 massacre,2018,,['Horror'],,,
4 3 2 1,0,,,,37.0,4 3 2 1,2015,,"['Drama', 'Mystery & Suspense']",,,
4 44 last day on earth,0,,54.0,,45.0,4 44 last day on earth,2012,,"['Sci-Fi', 'Drama', 'Fantasy']",,5821.0,
4 days in france,0,,,,90.0,4 days in france,2017,,['Drama'],,,
4 little girls,0,,89.0,4.2,100.0,4 little girls,1997,,"['History', 'Documentary']",,5834.0,3129.0
4 minute mile,0,,,,29.0,4 minute mile,2014,,['Drama'],,,
4 months 3 weeks and 2 days,0,,97.0,4.0,96.0,4 months 3 weeks and 2 days,2007,,['Drama'],,3061.0,6548.0
4 rise of the silver surfer,0,5.6,,,,4 rise of the silver surfer,2007,,"['Action', 'Adventure', 'Fantasy']",1740.0,,
40 days and nights,0,5.6,53.0,3.0,39.0,40 days and nights,2002,,"['Comedy', 'Romance']",1033.0,2092.0,3719.0
40 year old virgin,0,,,3.5,,40 year old virgin,2005,,"['Comedy', 'Romance']",,,5956.0
40 years in the making magic music movie,0,,68.0,,,40 years in the making magic music movie,2018,,['Documentary'],,3708.0,
400 blows,0,,,4.0,,400 blows,1959,,"['Crime', 'Drama']",,,2052.0
400 days,0,,,,22.0,400 days,2016,,[],,,
42,0,7.5,62.0,4.0,80.0,42,2013,,"['Biography', 'Drama', 'Sport']",1641.0,4632.0,8122.0
42 forty two up,0,,86.0,,,42 forty two up,1999,,"['Biography', 'Documentary']",,8808.0,
42 up,0,,,4.0,,42 up,1998,,['Documentary'],,,2322.0
42nd street,0,,,4.0,96.0,42nd street,1933,,"['Drama', 'Musical', 'Romance']",,,4747.0
44 inch chest,0,,47.0,,41.0,44 inch chest,2010,,"['Drama', 'Crime']",,7191.0,
45 years,0,,94.0,,97.0,45 years,2015,,"['Drama', 'Romance']",,2711.0,
45365,0,,88.0,,,45365,2010,,['Documentary'],,4274.0,
47 meters down,0,5.6,52.0,,53.0,47 meters down,2017,,"['Horror', 'Mystery', 'Thriller']",2919.0,8968.0,
47 meters down uncaged,0,,43.0,,45.0,47 meters down uncaged,2019,,"['Adventure', 'Drama', 'Thriller', 'Horror']",,5090.0,
47 ronin,0,6.2,28.0,2.6,16.0,47 ronin,2013,,"['Action', 'Drama', 'Fantasy']",2301.0,1153.0,8280.0
48 hrs,0,6.9,71.0,3.6,93.0,48 hrs,1982,,"['Action', 'Comedy', 'Crime']",120.0,3805.0,3663.0
49 up,0,,84.0,4.0,,49 up,2005,,"['Biography', 'Documentary']",,8389.0,6376.0
49th parallel,0,,,,92.0,49th parallel,1941,,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']",,,
4th man out,0,,43.0,,,4th man out,2016,,"['Drama', 'Comedy']",,3664.0,
5 000 fingers of dr t,0,,,4.0,,5 000 fingers of dr t,1953,,"['Children', 'Fantasy', 'Musical']",,,3182.0
5 broken cameras,0,,78.0,,96.0,5 broken cameras,2012,,['Documentary'],,7994.0,
5 centimeters per second,0,,,3.5,,5 centimeters per second,2007,,"['Animation', 'Drama', 'Romance']",,,6915.0
5 children and it,0,,,,63.0,5 children and it,2004,,"['Drama', 'Kids & Family', 'Science Fiction & Fantasy']",,,
5 days of war,0,,31.0,,34.0,5 days of war,2011,,"['Action', 'Drama', 'War']",,3608.0,
5 flights up,0,,55.0,,46.0,5 flights up,2015,,['Drama'],,4821.0,
5 star day,0,,41.0,,,5 star day,2011,,['Drama'],,1331.0,
5 to 7,0,,52.0,2.5,70.0,5 to 7,2014,,"['Drama', 'Comedy', 'Romance']",,2136.0,8858.0
50,0,7.6,72.0,3.6,93.0,50,2011,,"['Comedy', 'Drama', 'Romance']",2273.0,4590.0,7685.0
50 first dates,0,6.8,48.0,3.6,45.0,50 first dates,2004,,"['Comedy', 'Drama', 'Romance']",1290.0,3289.0,4859.0
50 to 1,0,,,,29.0,50 to 1,2014,,"['Drama', 'Kids & Family']",,,
500 days of summer,0,7.7,76.0,3.7,85.0,500 days of summer,2009,,"['Comedy', 'Drama', 'Romance']",1979.0,6966.0,7059.0
51 birch street,0,,,,97.0,51 birch street,2006,,"['Documentary', 'Special Interest']",,,
52 pick up,0,,,3.7,,52 pick up,1986,,"['Action', 'Mystery', 'Thriller']",,,1863.0
52 tuesdays,0,,71.0,,89.0,52 tuesdays,2015,,"['Drama', 'Family']",,7664.0,
54,0,,33.0,2.0,17.0,54,1998,,"['Drama', 'History']",,4418.0,1642.0
55 steps,0,,,,50.0,55 steps,2018,,['Drama'],,,
56 up,0,,83.0,,99.0,56 up,2013,,['Documentary'],,8765.0,
5b,0,,,,100.0,5b,2019,,['Documentary'],,,
5x2,0,,62.0,,,5x2,2005,,"['Drama', 'Romance']",,7999.0,
6 balloons,0,,66.0,,86.0,6 balloons,2018,,['Drama'],,8015.0,
6 below miracle on the mountain,0,,,,22.0,6 below miracle on the mountain,2017,,"['Drama', 'Mystery & Suspense']",,,
6 days,0,,36.0,,,6 days,2017,,"['Action', 'Drama', 'History', 'Thriller']",,1068.0,
6 days to air the making of south park,0,,,4.0,,6 days to air the making of south park,2011,,['Documentary'],,,7947.0
6 month rule,0,,31.0,,22.0,6 month rule,2012,,['Comedy'],,209.0,
6 souls,0,,28.0,,4.0,6 souls,2013,,"['Mystery', 'Thriller', 'Horror']",,1404.0,
6 underground,0,6.1,,,36.0,6 underground,2019,,"['Action', 'Thriller']",3300.0,,
6 ways to die,0,,,,40.0,6 ways to die,2015,,"['Action & Adventure', 'Mystery & Suspense', 'Special Interest']",,,
6 years,0,,,,69.0,6 years,2015,,"['Drama', 'Romance']",,,
600 miles,0,,,,94.0,600 miles,2016,,"['Drama', 'Mystery & Suspense']",,,
61,0,,,5.0,85.0,61,2001,,['Drama'],,,5627.0
65,0,5.4,,,,65,2023,,"['Action', 'Adventure', 'Drama']",2195.0,,
68 kill,0,,,,70.0,68 kill,2017,,"['Comedy', 'Romance']",,,
