title,release_year,genres,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience
1941,1979,"['Comedy', 'War']",,,2.7,48.0
1984,1984,"['Sci-Fi', 'Drama']",,4.3,3.7,71.0
1985,2018,['Drama'],,7.0,,80.0
2 Days in New York,2012,['Comedy'],,5.4,2.5,42.0
2 Days in Paris,2007,"['Drama', 'Comedy', 'Romance']",,6.5,3.5,72.0
2 Days in the Valley,1996,"['Crime', 'Film-Noir']",,,3.0,54.0
2 Fast 2 Furious,2003,"['Action', 'Crime', 'Thriller']",5.9,6.9,2.6,50.0
2 Guns,2013,"['Action', 'Comedy', 'Thriller']",6.7,6.6,4.0,66.0
"20,000 Days on Earth",2014,"['Drama', 'Music', 'Documentary']",,6.5,4.0,78.0
"20,000 Leagues Under the Sea",1954,"['Adventure', 'Drama', 'Sci-Fi']",,,3.5,74.0
20 Feet from Stardom,2013,['Documentary'],,7.3,4.2,82.0
20 Million Miles to Earth,1957,['Sci-Fi'],,,5.0,55.0
200 Cigarettes,1999,"['Drama', 'Comedy', 'Romance']",,7.2,3.2,
2001: A Space Odyssey,1968,"['Adventure', 'Drama', 'Sci-Fi']",,,3.9,89.0
2010,1984,"['Adventure', 'Sci-Fi', 'Mystery', 'Thriller']",,7.3,,61.0
2010: The Year We Make Contact,1984,"['Adventure', 'Mystery', 'Sci-Fi']",6.7,,3.6,
2012,2009,"['Action', 'Adventure', 'Sci-Fi']",5.8,5.5,2.6,47.0
2016: Obama's America,2012,['Documentary'],,6.2,,73.0
2046,2004,"['Drama', 'Romance', 'Sci-Fi']",7.4,7.4,4.1,
20th Century Women,2016,"['Drama', 'Comedy']",,7.3,,74.0
21,2008,"['Crime', 'Drama', 'History']",6.8,6.4,3.8,66.0
21 and Over,2013,['Comedy'],,5.5,3.6,46.0
21 Grams,2003,"['Crime', 'Drama', 'Thriller']",7.6,7.9,3.3,86.0
21 Jump Street,2012,"['Action', 'Comedy', 'Crime']",7.2,8.0,3.9,82.0
21 Years: Richard Linklater,2014,"['Biography', 'Documentary']",,5.3,,55.0
211,2018,"['Action', 'Drama', 'History', 'Thriller', 'Crime']",,3.8,,9.0
22 Jump Street,2014,"['Action', 'Comedy', 'Crime']",7.0,8.0,3.7,77.0
24 Days,2015,"['Drama', 'Thriller']",,5.9,,60.0
24 Hour Party People,2002,"['Biography', 'Drama', 'Comedy', 'Music']",,8.9,3.6,87.0
25th Hour,2002,['Drama'],7.6,8.7,3.8,85.0
27 Dresses,2008,"['Comedy', 'Romance']",6.1,5.7,3.3,57.0
28 Days,2000,"['Comedy', 'Drama']",6.1,6.0,3.3,50.0
28 Days Later,2002,"['Drama', 'Horror', 'Sci-Fi']",7.5,7.7,4.0,85.0
28 Hotel Rooms,2012,['Drama'],,5.7,,38.0
28 Weeks Later,2007,"['Horror', 'Sci-Fi']",6.9,7.0,3.6,66.0
3,2011,"['Drama', 'Comedy', 'Romance']",,6.2,,55.0
3:10 to Yuma,1957,"['Action', 'Adventure', 'Drama', 'Thriller', 'Western']",,,4.0,79.0
3:10 to Yuma,2007,"['Action', 'Crime', 'Drama']",7.7,7.4,4.1,86.0
"3, 2, 1... Frankie Go Boom",2012,['Comedy'],,4.8,,41.0
3 Backyards,2011,['Drama'],,6.7,,29.0
3 Days to Kill,2014,"['Action', 'Comedy', 'Drama']",6.2,5.7,1.0,43.0
3 Generations,2017,"['Drama', 'Comedy']",,5.5,,44.0
3 Hearts,2015,['Drama'],,5.6,,44.0
3-Iron,2004,"['Crime', 'Drama', 'Romance']",7.9,8.3,4.5,94.0
3 Ninjas,1992,"['Action', 'Sport', 'Comedy', 'Family']",,6.3,2.1,53.0
3 Ninjas: High Noon at Mega Mountain,1998,"['Action', 'Adventure', 'Comedy', 'Family']",,3.4,,29.0
3 Ninjas Kick Back,1994,"['Action', 'Comedy', 'Family']",,5.0,1.2,40.0
3 Women (Three Women),1977,['Drama'],,,4.2,86.0
30 Beats,2012,"['Comedy', 'Romance']",,2.0,,15.0
30 Days of Night,2007,"['Action', 'Horror', 'Thriller']",6.6,6.9,3.2,56.0
30 Minutes or Less,2011,"['Action', 'Comedy', 'Crime']",6.1,5.7,2.7,40.0
300,2006,"['Action', 'Drama']",7.6,7.2,3.7,89.0
300: Rise of an Empire,2014,"['Action', 'Drama', 'War']",6.2,6.0,2.1,51.0
3000 Miles to Graceland,2001,"['Action', 'Thriller', 'Comedy', 'Crime']",,3.2,2.7,46.0
31,2016,"['Thriller', 'Horror']",,7.1,3.5,35.0
360,2012,"['Drama', 'Romance']",,3.7,,32.0
4,2006,['Drama'],,6.9,,63.0
4:44 Last Day on Earth,2012,"['Sci-Fi', 'Drama', 'Fantasy']",,4.5,,19.0
4 Little Girls,1997,"['History', 'Documentary']",,8.0,4.2,89.0
"4 Months, 3 Weeks and 2 Days",2007,['Drama'],,7.9,4.0,86.0
40 Days and 40 Nights,2002,"['Comedy', 'Romance']",5.6,7.7,3.0,43.0
42,2013,"['Biography', 'Drama', 'Sport']",7.5,7.4,4.0,85.0
42nd Street,1933,"['Drama', 'Musical', 'Romance']",,,4.0,74.0
44 Inch Chest,2010,"['Drama', 'Crime']",,5.2,,36.0
45 Years,2015,"['Drama', 'Romance']",,7.4,,67.0
47 Meters Down,2017,"['Horror', 'Mystery', 'Thriller']",5.6,5.2,,36.0
47 Meters Down: Uncaged,2019,"['Adventure', 'Drama', 'Thriller', 'Horror']",,5.4,,68.0
47 Ronin,2013,"['Action', 'Drama', 'Fantasy']",6.2,6.2,2.6,48.0
48 Hrs.,1982,"['Action', 'Comedy', 'Crime']",6.9,8.6,3.6,69.0
49 Up,2005,"['Biography', 'Documentary']",,8.6,4.0,
5 Broken Cameras,2012,['Documentary'],,7.5,,88.0
5 Centimeters per Second,2007,"['Animation', 'Drama', 'Family']",7.5,,3.5,
5 Days of War,2011,"['Action', 'Drama', 'War']",,1.5,,36.0
5 Flights Up,2015,['Drama'],,6.7,,43.0
5 to 7,2014,"['Drama', 'Comedy', 'Romance']",,7.6,2.5,71.0
50/50,2011,"['Comedy', 'Drama', 'Romance']",7.6,8.4,3.6,88.0
50 First Dates,2004,"['Comedy', 'Drama', 'Romance']",6.8,6.5,3.6,65.0
500 Days of Summer,2009,"['Comedy', 'Drama', 'Romance']",7.7,8.1,3.7,84.0
52 Tuesdays,2015,"['Drama', 'Family']",,6.7,,65.0
54,1998,"['Drama', 'History']",,2.0,2.0,43.0
56 Up,2013,['Documentary'],,8.4,,76.0
6 Month Rule,2012,['Comedy'],,3.1,,38.0
6 Souls,2013,"['Mystery', 'Thriller', 'Horror']",,5.9,,45.0
6 Underground,2019,"['Action', 'Thriller']",6.1,,,60.0
61*,2001,['Drama'],,,5.0,90.0
7 Boxes,2014,"['Action', 'Thriller']",,8.6,,82.0
7 Chinese Brothers,2015,['Comedy'],,5.1,,44.0
7 Days in Entebbe,2018,"['Drama', 'History', 'Thriller', 'Crime']",,5.7,,37.0
'71,2014,"['Action', 'Drama', 'Thriller', 'War']",,7.5,4.0,81.0
78/52: Hitchcock’s Shower Scene,2017,['Documentary'],,7.8,,80.0
8 1/2 (8½),1963,"['Drama', 'Fantasy']",,,4.1,92.0
8 Heads in a Duffel Bag,1997,"['Comedy', 'Crime']",,2.0,3.0,34.0
8 Mile,2002,"['Drama', 'Music']",7.2,8.7,3.3,54.0
8 Seconds,1994,['Drama'],,,3.0,94.0
8: The Mormon Proposition,2010,['Documentary'],,6.7,,72.0
8 Women,2002,"['Mystery', 'Comedy', 'Crime', 'Musical']",,6.3,3.8,
84 Charing Cross Road,1987,"['Drama', 'Romance']",,,4.5,81.0
88 Minutes,2007,"['Crime', 'Drama', 'Mystery']",5.9,4.9,,44.0
8MM,1999,"['Crime', 'Drama', 'Mystery']",6.6,3.4,2.9,52.0
9,2009,"['Action', 'Adventure', 'Animation']",7.0,7.2,3.6,56.0
9 1/2 Weeks (Nine 1/2 Weeks),1986,"['Drama', 'Romance']",,,2.7,56.0
$9.99,2008,"['Drama', 'Animation']",,6.6,,55.0
9 Dead Gay Guys,2002,"['Comedy', 'Crime']",,7.7,,61.0
90 Minutes in Heaven,2015,['Drama'],,2.8,,50.0
99 Homes,2015,"['Drama', 'Thriller']",,7.8,,78.0
A Bad Moms Christmas,2017,['Comedy'],5.6,4.5,3.5,44.0
A Bag of Hammers,2012,"['Drama', 'Comedy']",,6.8,,66.0
A Band Called Death,2013,['Documentary'],,6.6,,85.0
A Beautiful Life,2009,['Drama'],,1.7,,24.0
A Beautiful Mind,2001,"['Biography', 'Drama']",8.2,8.1,,93.0
A Better Life,2011,['Drama'],,7.4,,79.0
A Bigger Splash,2016,"['Drama', 'Mystery', 'Crime']",,6.8,,58.0
A Birder's Guide to Everything,2014,['Comedy'],,5.6,,68.0
A Bridge Too Far,1977,"['Drama', 'History', 'War']",7.4,,,86.0
A Brilliant Young Mind,2015,"['Drama', 'Comedy']",,6.6,,77.0
A Bronx Tale,1993,"['Crime', 'Drama']",7.8,8.7,,93.0
A Bug's Life,1998,"['Adventure', 'Animation', 'Comedy']",7.2,7.8,,73.0
A.C.O.D.,2013,['Comedy'],,5.6,,28.0
A Case of You,2013,"['Comedy', 'Romance']",,4.9,,26.0
A Cat in Paris,2012,"['Comedy', 'Crime', 'Animation', 'Family']",,7.0,,72.0
A Chorus Line,1985,"['Drama', 'Comedy', 'Musical']",,6.8,,62.0
A Christmas Carol,2009,"['Adventure', 'Animation', 'Comedy']",6.8,7.1,,
A Christmas Story,1983,"['Comedy', 'Family']",7.9,8.7,,88.0
A Ciambra,2018,['Drama'],,8.8,,76.0
A Cinderella Story,2004,"['Comedy', 'Family', 'Romance']",5.9,6.6,,53.0
A Civil Action,1998,['Drama'],,7.8,,55.0
A Clockwork Orange,1971,"['Crime', 'Sci-Fi']",8.3,8.0,,93.0
A Coffee In Berlin,2014,['Drama'],,6.0,,74.0
A Country Called Home,2016,['Drama'],,5.0,,48.0
A Cure for Wellness,2016,"['Drama', 'Fantasy', 'Horror']",6.4,7.1,,41.0
A Dangerous Method,2011,"['Drama', 'Thriller']",,6.4,,50.0
A Dirty Shame,2004,['Comedy'],,5.2,,51.0
A Dog's Journey,2019,"['Adventure', 'Drama', 'Fantasy', 'Comedy', 'Family']",,7.6,,91.0
A Dog's Purpose,2017,"['Adventure', 'Comedy', 'Drama']",7.2,6.1,4.5,73.0
A Dog's Way Home,2019,"['Adventure', 'Drama', 'Family']",,6.1,,71.0
A Family Thing,1996,"['Drama', 'Comedy']",,7.8,,71.0
A Fantastic Fear of Everything,2014,['Comedy'],,4.8,,35.0
A Fantastic Woman,2017,['Drama'],,7.0,,78.0
A Few Good Men,1992,"['Drama', 'Thriller']",7.7,7.9,,89.0
A Field in England,2014,"['Drama', 'History', 'Thriller', 'Horror']",,7.1,,58.0
A Film Unfinished,2010,"['Drama', 'History', 'Documentary']",,7.0,,86.0
A Fish Called Wanda,1988,"['Comedy', 'Crime']",7.5,8.5,,84.0
A Ghost Story,2017,"['Drama', 'Fantasy', 'Mystery']",6.8,7.0,,66.0
A Girl Walks Home Alone at Night,2014,"['Thriller', 'Horror', 'Romance']",,7.1,,75.0
A Glimpse Inside the Mind of Charles Swan III,2013,['Comedy'],,4.7,,26.0
A Good Day to Die Hard,2013,"['Action', 'Thriller']",5.2,4.5,,40.0
A Good Old Fashioned Orgy,2011,['Comedy'],,7.6,,41.0
A Good Woman,2006,"['Drama', 'Comedy', 'Romance']",,6.5,,49.0
A Good Year,2006,"['Comedy', 'Drama', 'Romance']",6.9,6.5,,65.0
A Goofy Movie,1995,"['Adventure', 'Animation', 'Comedy']",6.9,,,70.0
A Gray State,2017,['Documentary'],,7.2,,59.0
A Guide to Recognizing Your Saints,2006,"['Drama', 'Crime']",,6.9,,73.0
A Guy Thing,2003,"['Comedy', 'Romance']",,6.0,,35.0
A Hard Day,2015,"['Action', 'Thriller', 'Crime']",,7.5,,77.0
A Haunted House,2013,"['Horror', 'Comedy']",,4.9,,51.0
A Haunted House 2,2014,"['Horror', 'Comedy']",,3.7,,43.0
A Hijacking,2013,"['Drama', 'Thriller']",,7.3,,76.0
A History of Violence,2005,"['Action', 'Crime', 'Drama']",7.4,7.4,,76.0
A Hologram for the King,2016,"['Drama', 'Comedy']",,5.8,,55.0
A Home at the End of the World,2004,"['Drama', 'Romance']",,7.7,3.5,67.0
A.I. Artificial Intelligence,2001,"['Drama', 'Sci-Fi']",7.2,6.7,3.3,64.0
A Jihad for Love,2008,['Documentary'],,5.3,,70.0
A/k/a Tommy Chong,2006,['Documentary'],,8.0,,80.0
A Kid Like Jake,2018,"['Drama', 'Family']",,5.7,,44.0
A Kind of Murder,2016,"['Drama', 'Thriller']",,5.7,,14.0
A Knight's Tale,2001,"['Action', 'Adventure', 'Romance']",6.9,6.9,,79.0
A Late Quartet,2012,['Drama'],,7.4,,71.0
A League of Ordinary Gentlemen,2005,"['Sport', 'Documentary']",,5.9,,77.0
A League of Their Own,1992,"['Comedy', 'Drama', 'Sport']",7.3,8.2,,84.0
A Letter to Momo,2014,"['Drama', 'Fantasy', 'Animation', 'Family']",,5.3,,76.0
A Life Less Ordinary,1997,"['Drama', 'Fantasy', 'Comedy', 'Romance', 'Crime']",,6.0,,59.0
A Little Bit of Heaven,2012,"['Drama', 'Comedy', 'Romance']",,4.7,,52.0
A Little Chaos,2015,"['Drama', 'Comedy', 'Romance']",,6.6,,49.0
A Little Help,2011,"['Drama', 'Comedy']",,4.8,,30.0
A Little Princess,1995,"['Drama', 'Fantasy', 'Family']",,7.6,,88.0
A Long Way Down,2014,"['Drama', 'Comedy']",,6.3,,40.0
A Lot Like Love,2005,"['Comedy', 'Drama', 'Romance']",6.6,7.1,,77.0
A Man Apart,2003,"['Action', 'Drama', 'Thriller', 'Crime']",,5.4,,62.0
A Man Called Ove,2016,"['Drama', 'Comedy']",,7.3,,87.0
A Man Named Pearl,2008,['Documentary'],,8.5,,89.0
A Merry Friggin' Christmas,2014,['Comedy'],,5.8,2.0,20.0
A Midsummer Night's Dream,2015,[],,,4.0,67.0
A Mighty Heart,2007,"['Biography', 'Drama', 'History', 'Thriller', 'War']",,7.2,,70.0
A Mighty Wind,2003,"['Comedy', 'Music']",,7.3,,75.0
A Million Ways to Die in the West,2014,"['Comedy', 'Western']",6.1,5.2,3.0,41.0
A Monster Calls,2016,"['Adventure', 'Drama', 'Family']",7.4,7.8,,81.0
A Most Violent Year,2014,"['Action', 'Crime', 'Drama']",7.0,7.1,,69.0
A Most Wanted Man,2014,"['Crime', 'Drama', 'Thriller']",6.7,7.1,4.5,65.0
A Murder in the Park,2015,"['History', 'Crime', 'Documentary', 'News']",,7.0,,67.0
A Night at the Roxbury,1998,"['Comedy', 'Music', 'Romance']",6.2,6.1,,69.0
A Night in Old Mexico,2014,"['Drama', 'Western']",,5.3,,33.0
A Nightmare on Elm Street,1984,['Horror'],7.4,8.8,,83.0
A Nightmare on Elm Street,2010,"['Crime', 'Drama', 'Horror']",5.2,5.0,,43.0
A Nightmare on Elm Street 2: Freddy's Revenge,1985,['Horror'],5.4,,,33.0
A Nightmare on Elm Street 3: Dream Warriors,1987,"['Fantasy', 'Horror']",6.6,8.1,,68.0
A Nightmare on Elm Street 4: The Dream Master,1988,['Horror'],5.6,7.0,,43.0
A Nightmare on Elm Street 5: The Dream Child,1989,"['Fantasy', 'Horror']",,6.4,,32.0
A Perfect Day,2015,['Drama'],,6.7,5.0,56.0
A Perfect Getaway,2009,"['Drama', 'Mystery', 'Thriller']",6.5,6.2,,52.0
A Perfect Murder,1998,"['Crime', 'Drama', 'Thriller']",6.6,8.6,,51.0
A Perfect World,1993,"['Crime', 'Drama', 'Thriller']",7.5,8.9,,84.0
A Pigeon Sat on a Branch Reflecting on Existence,2014,"['Drama', 'Comedy']",,7.1,4.0,
A Prairie Home Companion,2006,"['Drama', 'Comedy', 'Music', 'Musical']",,6.5,,59.0
A Prayer Before Dawn,2018,"['Action', 'Biography', 'Drama', 'Sport', 'Crime']",,6.9,,75.0
A Private War,2018,"['Biography', 'Drama', 'War']",,7.2,,64.0
A Prophet,2009,"['Crime', 'Drama']",7.8,8.6,,89.0
A Quiet Passion,2017,"['Biography', 'Drama']",,6.4,,48.0
A Quiet Place,2018,"['Drama', 'Horror', 'Sci-Fi']",7.5,7.4,2.8,83.0
A River Runs Through It,1992,['Drama'],7.2,7.3,,83.0
A Room with a View,1985,"['Drama', 'Comedy', 'Romance']",,8.2,,85.0
A Royal Affair,2012,"['Drama', 'History', 'Romance']",,7.7,,82.0
A Royal Night Out,2015,"['Drama', 'Comedy', 'Romance']",,6.2,,56.0
A Scanner Darkly,2006,"['Animation', 'Comedy', 'Crime']",7.0,7.7,,74.0
A Separation,2011,['Drama'],8.3,8.9,,92.0
A Serious Man,2009,"['Comedy', 'Drama']",7.0,6.8,,68.0
A Silent Voice,2016,"['Drama', 'Romance', 'Animation']",,8.3,4.0,
A Simple Favor,2018,"['Comedy', 'Crime', 'Mystery']",6.8,7.0,,73.0
A Simple Life,2012,['Drama'],,7.9,,86.0
A Simple Plan,1998,"['Crime', 'Drama', 'Thriller']",7.5,7.6,,81.0
A Single Man,2009,"['Crime', 'Drama', 'Romance']",7.5,8.2,,81.0
A Single Shot,2013,"['Drama', 'Thriller', 'Crime']",,6.7,,31.0
A Sound of Thunder,2005,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",,3.6,,18.0
A Star Is Born,1976,"['Drama', 'Romance', 'Music']",,4.8,,64.0
A Star Is Born,2018,"['Drama', 'Music', 'Romance']",7.6,8.4,,79.0
A Street Cat Named Bob,2016,"['Biography', 'Drama', 'Comedy', 'Family']",,7.8,3.5,76.0
A Tale of Love and Darkness,2016,"['Biography', 'Drama', 'History']",,5.9,,50.0
A Tale of Two Sisters,2003,"['Drama', 'Mystery', 'Thriller', 'Horror']",,8.2,,83.0
A Teacher,2013,['Drama'],,5.9,,23.0
A Thousand Words,2012,"['Drama', 'Comedy']",,4.8,,47.0
A Time to Kill,1996,"['Crime', 'Drama', 'Thriller']",7.5,8.7,,85.0
A Touch of Sin,2013,['Drama'],,8.0,,74.0
A Town Called Panic,2009,['Animation'],,8.2,,86.0
A United Kingdom,2017,"['Biography', 'Drama', 'Romance']",,6.1,,76.0
A Very Brady Sequel,1996,['Comedy'],,5.6,,35.0
A Very Harold & Kumar Christmas,2011,"['Adventure', 'Comedy']",6.2,7.0,,59.0
A Very Long Engagement,2004,"['Drama', 'Mystery', 'Romance']",7.6,7.9,,85.0
A View to a Kill,1985,"['Action', 'Adventure', 'Thriller']",6.3,5.6,,40.0
A Vigilante,2019,"['Drama', 'Mystery', 'Thriller', 'Crime']",,5.9,,49.0
A Walk Among the Tombstones,2014,"['Action', 'Crime', 'Drama']",6.5,6.4,,53.0
A Walk in the Clouds,1995,"['Drama', 'Romance']",,6.8,,75.0
A Walk in the Woods,2015,"['Adventure', 'Drama', 'Comedy']",,5.7,3.5,48.0
A Walk on the Moon,1999,"['Drama', 'Romance']",,4.5,,71.0
A Walk to Remember,2002,"['Drama', 'Romance']",7.3,8.1,,78.0
A War,2016,"['Drama', 'War']",,7.6,,79.0
A Wolf at the Door,2015,"['Drama', 'Thriller', 'Crime']",,8.2,,84.0
A Wrinkle in Time,2018,"['Adventure', 'Sci-Fi', 'Fantasy', 'Family']",,2.8,3.0,26.0
A.X.L.,2018,"['Action', 'Adventure', 'Sci-Fi', 'Family']",,5.4,,60.0
Aardvark,2018,['Drama'],,3.7,,33.0
Abandon,2002,"['Drama', 'Mystery', 'Thriller']",,4.9,,31.0
Abbott and Costello Meet Frankenstein,1948,"['Comedy', 'Horror']",,,3.8,85.0
ABCs of Death 2,2014,"['Horror', 'Comedy']",,5.8,,39.0
Abduction,2011,"['Action', 'Mystery', 'Thriller']",5.1,4.5,3.5,42.0
Aberdeen,2001,['Drama'],,6.9,,80.0
Abominable,2019,"['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']",,6.0,,95.0
About a Boy,2002,"['Comedy', 'Drama', 'Romance']",7.1,7.5,3.7,55.0
About Adam,2000,['Comedy'],,,3.8,47.0
About Cherry,2012,['Drama'],,5.2,,16.0
About Elly,2015,"['Drama', 'Mystery']",,8.6,,84.0
About Last Night...,1986,"['Drama', 'Comedy', 'Romance']",,6.8,3.0,59.0
About Last Night,2014,"['Drama', 'Comedy', 'Romance']",,6.0,2.2,65.0
About Schmidt,2002,['Drama'],7.2,7.5,3.2,74.0
About Time,2013,"['Comedy', 'Drama', 'Fantasy']",7.8,8.7,3.9,81.0
Above the Law,1988,"['Action', 'Crime', 'Drama']",,,2.5,48.0
Above the Rim,1994,"['Crime', 'Drama']",,,2.0,83.0
Abraham Lincoln: Vampire Hunter,2012,"['Action', 'Fantasy', 'Horror']",5.9,5.9,2.8,50.0
Absence of Malice,1981,"['Drama', 'Romance']",,,3.2,63.0
Absolute Power,1997,"['Action', 'Crime', 'Drama']",6.7,6.5,2.7,52.0
Absolutely Fabulous: The Movie,2016,"['Comedy', 'Crime']",,4.7,,41.0
Abuse of Weakness,2014,['Drama'],,7.7,,54.0
Accepted,2006,['Comedy'],6.4,8.3,2.9,72.0
Accidental Love,2015,"['Comedy', 'Romance']",,3.2,,15.0
"Ace in the Hole (Big Carnival, The)",1951,['Drama'],,,3.0,92.0
Ace Ventura: Pet Detective,1993,['Comedy'],6.9,7.1,3.0,57.0
Ace Ventura: When Nature Calls,1995,"['Adventure', 'Comedy', 'Crime']",6.4,6.9,2.7,72.0
Aces: Iron Eagle III,1992,['Action'],,,2.0,25.0
Across the Universe,2007,"['Drama', 'Fantasy', 'History']",7.3,7.3,4.0,82.0
Act of Valor,2012,"['Action', 'Adventure', 'Thriller']",6.4,6.6,3.8,72.0
Action Jackson,1988,"['Action', 'Thriller', 'Comedy', 'Crime']",,3.6,1.7,32.0
Action Point,2018,"['Action', 'Adventure', 'Comedy']",,4.1,,26.0
Active Measures,2018,['Documentary'],,7.5,,85.0
Ad Astra,2019,"['Adventure', 'Drama', 'Mystery']",6.5,6.0,,40.0
Adam,2009,"['Drama', 'Comedy', 'Romance']",,8.0,,72.0
Adam,2019,['Comedy'],,0.0,,8.0
Adam Resurrected,2008,"['Drama', 'War']",,5.6,,44.0
Adam's Apples,2007,"['Drama', 'Comedy']",,7.9,,90.0
Adam's Rib,1949,"['Comedy', 'Romance']",,,4.8,86.0
Adam & Steve,2005,"['Comedy', 'Romance']",,6.9,,56.0
Adaptation.,2002,"['Comedy', 'Drama']",7.7,8.1,3.9,85.0
Addams Family Values,1993,"['Comedy', 'Fantasy']",6.8,7.4,3.1,63.0
Addicted,2014,"['Drama', 'Thriller']",,2.3,,51.0
Addicted to Love,1997,"['Comedy', 'Romance']",,8.6,2.7,50.0
Admission,2013,"['Drama', 'Comedy', 'Romance']",,5.9,3.0,32.0
Adore,2013,['Drama'],,5.5,,41.0
Adrift,2018,"['Action', 'Adventure', 'Biography']",6.6,6.1,,66.0
Adult Beginners,2015,"['Drama', 'Comedy']",,6.2,,30.0
Adult World,2014,['Comedy'],,6.9,,38.0
Adventureland,2009,"['Drama', 'Comedy', 'Romance']",,7.4,3.3,61.0
Adventures in Babysitting,1987,"['Action', 'Adventure', 'Thriller', 'Comedy', 'Romance', 'Crime', 'Family']",,6.3,3.3,70.0
Adventures of Power,2009,"['Comedy', 'Music']",,7.2,,49.0
Advise and Consent,1962,['Drama'],,,5.0,89.0
Aeon Flux,2005,"['Action', 'Sci-Fi']",,,2.8,39.0
Afflicted,2013,"['Horror', 'Sci-Fi', 'Thriller']",,,3.5,57.0
Affliction,1997,"['Drama', 'Mystery', 'Thriller']",,8.3,3.2,71.0
Afghan Star,2009,"['Music', 'Documentary']",,7.6,,77.0
Africa: The Serengeti,1994,"['Documentary', 'IMAX']",,,4.0,70.0
African Cats,2011,['Documentary'],,7.2,2.5,77.0
After,2019,"['Drama', 'Romance']",5.3,5.1,,69.0
After Earth,2013,"['Action', 'Adventure', 'Sci-Fi']",4.8,3.9,1.0,36.0
