norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,release_year,genres_any
12 o clock boys,1,,4.6,,64.0,12 O'Clock Boys,2014,"['Biography', 'Documentary']"
12 rounds,1,,4.9,3.0,45.0,12 Rounds,2009,"['Action', 'Thriller', 'Crime']"
12 strong,1,6.5,6.4,,62.0,12 Strong,2018,"['Action', 'Drama', 'History']"
12 years a slave,1,8.1,8.1,3.6,90.0,12 Years a Slave,2013,"['Biography', 'Drama', 'History']"
127 hours,1,7.5,8.1,3.8,85.0,127 Hours,2010,"['Biography', 'Drama']"
13,1,,5.0,,34.0,13,2011,"['Drama', 'Thriller']"
13 assassins,1,7.5,7.9,4.0,88.0,13 Assassins,2010,"['Action', 'Adventure', 'Drama']"
13 cameras,1,,,,35.0,13 Cameras,2016,['Horror']
13 ghosts,1,,,3.1,41.0,13 Ghosts,1960,['Horror']
13 going on 30,1,6.3,8.0,3.2,70.0,13 Going on 30,2004,"['Comedy', 'Fantasy', 'Romance']"
13 hours,1,7.3,,3.3,,13 Hours,2016,"['Action', 'Drama', 'History']"
13 hours the secret soldiers of benghazi,1,,6.9,,82.0,13 Hours: The Secret Soldiers of Benghazi,2016,"['Action', 'Drama', 'Thriller', 'War']"
13 rue madeleine,1,,,,54.0,13 Rue Madeleine,1947,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']"
13 sins,1,,6.8,3.5,45.0,13 Sins,2014,"['Thriller', 'Horror']"
13 tzameti,1,,7.5,4.5,85.0,13 Tzameti,2005,"['Drama', 'Thriller', 'Crime']"
13th,1,,7.9,4.5,,13th,2016,"['Crime', 'Documentary']"
13th warrior,1,,,2.9,,"13th Warrior, The",1999,"['Action', 'Adventure', 'Fantasy']"
14 blades,1,,,,52.0,14 Blades,2014,"['Action & Adventure', 'Art House & International']"
14 cameras,1,,,,23.0,14 Cameras,2018,['Horror']
14 hours,1,,,,74.0,14 Hours,1951,"['Classics', 'Drama', 'Mystery & Suspense']"
1408,1,6.8,8.3,3.2,61.0,1408,2007,"['Fantasy', 'Horror', 'Mystery']"
1492 conquest of paradise,1,,4.7,2.5,50.0,1492: Conquest of Paradise,1992,"['Adventure', 'Biography', 'Drama', 'History']"
15 minutes,1,6.1,6.1,3.0,37.0,15 Minutes,2001,"['Action', 'Crime', 'Drama']"
15 minutes of war,1,,,,82.0,15 Minutes of War (L'intervention),2019,"['Action & Adventure', 'Drama']"
15 years,1,,,,67.0,15 Years,,['Drama']
16 acres,1,,,,73.0,16 Acres,2012,"['Documentary', 'Special Interest']"
16 blocks,1,6.6,7.9,3.0,57.0,16 Blocks,2006,"['Action', 'Drama', 'Thriller']"
16 years of alcohol,1,,,,68.0,16 Years of Alcohol,2003,"['Art House & International', 'Drama']"
17 again,1,6.4,5.9,3.6,67.0,17 Again,2009,"['Comedy', 'Drama', 'Fantasy']"
17 girls,1,,,,39.0,17 Girls,2012,['Drama']
1776,1,,,3.5,84.0,1776,1972,"['Children', 'Drama', 'Musical']"
18 again,1,,,1.5,46.0,18 Again!,1988,"['Comedy', 'Fantasy']"
18 presents,1,,,,62.0,18 Presents (18 Regali),,"['Art House & International', 'Drama']"
180 south,1,,,,85.0,180 South,2010,"['Documentary', 'Special Interest']"
187,1,,,2.7,,187 (One Eight Seven),1997,"['Drama', 'Thriller']"
1900,1,,,4.5,85.0,1900 (Novecento),1976,"['Drama', 'War']"
1911,1,,6.1,,30.0,1911,2011,"['Action', 'Adventure', 'Drama', 'History', 'War']"
1917,1,8.2,,,88.0,1917,2019,"['Action', 'Drama', 'War']"
1922,1,,6.8,,57.0,1922,2017,"['Drama', 'Mystery', 'Thriller', 'Horror', 'Crime']"
1941,1,,,2.7,48.0,1941,1979,"['Comedy', 'War']"
1945,1,,6.7,,,1945,2017,['Drama']
1969,1,,,2.0,,1969,1988,"['Drama', 'War']"
1982,1,,,,61.0,1982,,['Drama']
1984,1,,4.3,3.7,71.0,1984,1984,"['Sci-Fi', 'Drama']"
1985,1,,7.0,,80.0,1985,2018,['Drama']
1br,1,,,,55.0,1BR,2020,['Horror']
2 1,1,,,,29.0,2/1,2020,"['Drama', 'Science Fiction & Fantasy']"
2 22,1,,,,38.0,2:22,2017,"['Drama', 'Mystery & Suspense']"
2 autumns 3 winters,1,,,,48.0,"2 Autumns, 3 Winters",2014,"['Art House & International', 'Comedy', 'Drama']"
2 brothers a bride,1,,,,37.0,2 Brothers & a Bride,2003,['Comedy']
2 days in new york,1,,5.4,2.5,42.0,2 Days in New York,2012,['Comedy']
2 days in paris,1,,6.5,3.5,72.0,2 Days in Paris,2007,"['Drama', 'Comedy', 'Romance']"
2 days in the valley,1,,,3.0,54.0,2 Days in the Valley,1996,"['Crime', 'Film-Noir']"
2 fast furious,1,5.9,6.9,2.6,50.0,2 Fast 2 Furious,2003,"['Action', 'Crime', 'Thriller']"
2 guns,1,6.7,6.6,4.0,66.0,2 Guns,2013,"['Action', 'Comedy', 'Thriller']"
2 in the bush a love story,1,,,,80.0,2 in the Bush: A Love Story,,"['Comedy', 'Drama', 'Romance']"
2 jacks,1,,,,19.0,2 Jacks,2013,['Drama']
20 000 days on earth,1,,6.5,4.0,78.0,"20,000 Days on Earth",2014,"['Drama', 'Music', 'Documentary']"
20 000 leagues under the sea,1,,,3.8,,"20,000 Leagues Under the Sea",1916,"['Action', 'Adventure', 'Sci-Fi']"
20 000 leagues under the sea,2,,,3.5,74.0,"20,000 Leagues Under the Sea",1954,"['Adventure', 'Drama', 'Sci-Fi']"
20 centimeters,1,,7.3,,,20 Centimeters,2006,"['Comedy', 'Musical']"
20 centimeters centimetres,1,,,,82.0,20 Centimeters (20 Centimetres) (20 centímetros),2005,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts']"
20 dates,1,,,3.0,,20 Dates,1998,"['Comedy', 'Romance']"
20 feet from stardom,1,,7.3,4.2,82.0,20 Feet from Stardom,2013,['Documentary']
20 million miles to earth,1,,,5.0,55.0,20 Million Miles to Earth,1957,['Sci-Fi']
20 weeks,1,,,,20.0,20 Weeks,2018,['Drama']
200 cigarettes,1,,7.2,3.2,,200 Cigarettes,1999,"['Drama', 'Comedy', 'Romance']"
2001 a space odyssey,1,,,3.9,89.0,2001: A Space Odyssey,1968,"['Adventure', 'Drama', 'Sci-Fi']"
2001 a space odyssey,2,,8.1,,,2001: A Space Odyssey,,"['Adventure', 'Sci-Fi', 'Mystery']"
2001 maniacs,1,,,3.2,,2001 Maniacs,2005,"['Comedy', 'Horror']"
2010,1,,7.3,,61.0,2010,1984,"['Adventure', 'Sci-Fi', 'Mystery', 'Thriller']"
2010 the year we make contact,1,6.7,,3.6,,2010: The Year We Make Contact,1984,"['Adventure', 'Mystery', 'Sci-Fi']"
2012,1,5.8,5.5,2.6,47.0,2012,2009,"['Action', 'Adventure', 'Sci-Fi']"
2016 obama s america,1,,6.2,,73.0,2016: Obama's America,2012,['Documentary']
2046,1,7.4,7.4,4.1,,2046,2004,"['Drama', 'Romance', 'Sci-Fi']"
2048 nowhere to run,1,,,3.5,,2048: Nowhere to Run,2017,"['Sci-Fi', 'Thriller']"
2050,1,,,,0.0,2050,2019,"['Comedy', 'Drama', 'Science Fiction & Fantasy']"
20th century women,1,,7.3,,74.0,20th Century Women,2016,"['Drama', 'Comedy']"
21,1,6.8,6.4,3.8,66.0,21,2008,"['Crime', 'Drama', 'History']"
21 and over,1,,5.5,3.6,46.0,21 and Over,2013,['Comedy']
21 bridges,1,6.6,,,,21 Bridges,2019,"['Action', 'Crime', 'Drama']"
21 grams,1,7.6,7.9,3.3,86.0,21 Grams,2003,"['Crime', 'Drama', 'Thriller']"
21 jump street,1,7.2,8.0,3.9,82.0,21 Jump Street,2012,"['Action', 'Comedy', 'Crime']"
21 over,1,5.8,,,,21 & Over,2013,['Comedy']
21 up,1,,,4.0,,21 Up,1977,['Documentary']
21 years richard linklater,1,,5.3,,55.0,21 Years: Richard Linklater,2014,"['Biography', 'Documentary']"
211,1,,3.8,,9.0,211,2018,"['Action', 'Drama', 'History', 'Thriller', 'Crime']"
22 bullets,1,,,,55.0,22 Bullets,2013,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']"
22 jul,1,,6.7,,,22-Jul,2018,"['Biography', 'Drama', 'History', 'Thriller', 'Crime']"
22 july,1,,,,70.0,22 July,2018,['Drama']
22 jump street,1,7.0,8.0,3.7,77.0,22 Jump Street,2014,"['Action', 'Comedy', 'Crime']"
23 blast,1,,3.6,,,23 Blast,2014,"['Drama', 'Sport', 'Family']"
24 city,1,,,,71.0,24 City (Er shi si cheng ji),2008,"['Art House & International', 'Documentary', 'Drama']"
24 days,1,,5.9,,60.0,24 Days,2015,"['Drama', 'Thriller']"
24 exposures,1,,,,5.0,24 Exposures,2014,['Mystery & Suspense']
24 frames,1,,9.3,,,24 Frames,2018,['Drama']
24 hour party people,1,,8.9,3.6,87.0,24 Hour Party People,2002,"['Biography', 'Drama', 'Comedy', 'Music']"
24 hours on craigslist,1,,,,40.0,24 Hours on Craigslist,2004,"['Documentary', 'Special Interest']"
24 hours to live,1,,,,29.0,24 Hours to Live,2017,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
24 redemption,1,,,,67.0,24: Redemption,2008,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']"
25th hour,1,7.6,8.7,3.8,85.0,25th Hour,2002,['Drama']
27 dresses,1,6.1,5.7,3.3,57.0,27 Dresses,2008,"['Comedy', 'Romance']"
28 days,1,6.1,6.0,3.3,50.0,28 Days,2000,"['Comedy', 'Drama']"
28 days later,1,7.5,7.7,4.0,85.0,28 Days Later,2002,"['Drama', 'Horror', 'Sci-Fi']"
28 hotel rooms,1,,5.7,,38.0,28 Hotel Rooms,2012,['Drama']
28 up,1,,,4.0,,28 Up,1985,['Documentary']
28 weeks later,1,6.9,7.0,3.6,66.0,28 Weeks Later,2007,"['Horror', 'Sci-Fi']"
29 palms,1,,,,37.0,29 Palms,2003,"['Comedy', 'Drama', 'Mystery & Suspense']"
2nd date sex,1,,,,43.0,2nd Date Sex,2019,['Comedy']
3,1,,6.2,,55.0,3,2011,"['Drama', 'Comedy', 'Romance']"
3 1 2 minutes 10 bullets,1,,7.6,,,"3 1/2 Minutes, 10 Bullets",2015,"['Drama', 'Crime', 'Documentary', 'News']"
3 10 to yuma,1,,,4.0,79.0,3:10 to Yuma,1957,"['Action', 'Adventure', 'Drama', 'Thriller', 'Western']"
3 10 to yuma,2,7.7,7.4,4.1,86.0,3:10 to Yuma,2007,"['Action', 'Crime', 'Drama']"
3 2 1 frankie go boom,1,,4.8,,41.0,"3, 2, 1... Frankie Go Boom",2012,['Comedy']
3 4x juugatsu,1,,,,63.0,3-4x juugatsu (Boiling Point),1990,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']"
3 backyards,1,,6.7,,29.0,3 Backyards,2011,['Drama']
3 d sex and zen extreme ecstasy,1,,5.3,,,3-D Sex and Zen: Extreme Ecstasy,2011,['Drama']
3 dancing slaves,1,,4.6,,,3 Dancing Slaves,2005,['Drama']
3 days to kill,1,6.2,5.7,1.0,43.0,3 Days to Kill,2014,"['Action', 'Comedy', 'Drama']"
3 extremes three,1,,,3.3,,3 Extremes (Three... Extremes) (Saam gaang yi),2004,['Horror']
3 faces,1,,6.7,,,3 Faces,2019,['Drama']
3 from hell,1,,,,59.0,3 from Hell,2019,['Horror']
3 generations,1,,5.5,,44.0,3 Generations,2017,"['Drama', 'Comedy']"
3 hearts,1,,5.6,,44.0,3 Hearts,2015,['Drama']
3 holes and a smoking gun,1,,,,70.0,3 Holes and a Smoking Gun,2015,['Mystery & Suspense']
3 idiots,1,,,4.8,,3 Idiots,2009,"['Comedy', 'Drama', 'Romance']"
3 iron,1,7.9,8.3,4.5,94.0,3-Iron,2004,"['Crime', 'Drama', 'Romance']"
3 men and a baby,1,,7.6,,,3 Men and a Baby,1987,"['Drama', 'Comedy', 'Family']"
3 nights in the desert,1,,,,65.0,3 Nights In The Desert,2015,['Drama']
3 ninjas,1,,6.3,2.1,53.0,3 Ninjas,1992,"['Action', 'Sport', 'Comedy', 'Family']"
3 ninjas high noon at mega mountain,1,,3.4,,29.0,3 Ninjas: High Noon at Mega Mountain,1998,"['Action', 'Adventure', 'Comedy', 'Family']"
3 ninjas high noon on mega mountain,1,,,4.0,,3 Ninjas: High Noon On Mega Mountain,1998,"['Action', 'Children', 'Comedy']"
3 ninjas kick back,1,,5.0,1.2,40.0,3 Ninjas Kick Back,1994,"['Action', 'Comedy', 'Family']"
3 ninjas knuckle up,1,,,0.5,,3 Ninjas Knuckle Up,1995,"['Action', 'Children']"
3 strikes,1,,4.5,,,3 Strikes,2000,['Comedy']
3 women,1,,,4.2,86.0,3 Women (Three Women),1977,['Drama']
30 beats,1,,2.0,,15.0,30 Beats,2012,"['Comedy', 'Romance']"
30 days of night,1,6.6,6.9,3.2,56.0,30 Days of Night,2007,"['Action', 'Horror', 'Thriller']"
30 days of night dark,1,,,,14.0,30 Days Of Night: Dark Days,,['Horror']
30 miles from nowhere,1,,,,36.0,30 Miles from Nowhere,,['Comedy']
30 minutes or less,1,6.1,5.7,2.7,40.0,30 Minutes or Less,2011,"['Action', 'Comedy', 'Crime']"
30 years to life,1,,,,67.0,30 Years to Life,2002,['Comedy']
300,1,7.6,7.2,3.7,89.0,300,2006,"['Action', 'Drama']"
300 rise of an empire,1,6.2,6.0,2.1,51.0,300: Rise of an Empire,2014,"['Action', 'Drama', 'War']"
3000 miles to graceland,1,,3.2,2.7,46.0,3000 Miles to Graceland,2001,"['Action', 'Thriller', 'Comedy', 'Crime']"
31,1,,7.1,3.5,35.0,31,2016,"['Thriller', 'Horror']"
31 north 62 east,1,,,,29.0,31 North 62 East (Too Close to the Truth),2009,"['Art House & International', 'Drama', 'Mystery & Suspense']"
33 postcards,1,,,,43.0,33 Postcards,2013,"['Art House & International', 'Drama', 'Musical & Performing Arts']"
35 shots of rum,1,,6.3,,,35 Shots of Rum,2009,['Drama']
35 up,1,,,4.0,,35 Up,1991,['Documentary']
36 quai des orfevres,1,,,,81.0,36 quai des orfevres,2005,"['Art House & International', 'Drama']"
360,1,,3.7,,32.0,360,2012,"['Drama', 'Romance']"
37 seconds,1,,,,86.0,37 Seconds,,['Drama']
372 le matin betty blue,1,,,,91.0,372 le Matin (Betty Blue) (37.2 Degrees in the Morning),1986,"['Art House & International', 'Drama', 'Romance']"
388 arletta avenue,1,,,,23.0,388 Arletta Avenue,,"['Art House & International', 'Drama', 'Mystery & Suspense']"
39 pounds of love,1,,7.3,,,39 Pounds of Love,2005,"['Biography', 'Romance', 'Documentary']"
39 steps,1,,,4.0,,"39 Steps, The",1935,"['Drama', 'Mystery', 'Thriller']"
4,1,,6.9,,63.0,4,2006,['Drama']
4 20 massacre,1,,,,46.0,4/20 Massacre,,['Horror']
4 3 2 1,1,,,,42.0,4.3.2.1,,"['Drama', 'Mystery & Suspense']"
4 44 last day on earth,1,,4.5,,19.0,4:44 Last Day on Earth,2012,"['Sci-Fi', 'Drama', 'Fantasy']"
4 days in france,1,,,,48.0,4 Days in France (Jours de France),2017,['Drama']
4 little girls,1,,8.0,4.2,89.0,4 Little Girls,1997,"['History', 'Documentary']"
4 minute mile,1,,,,44.0,4 Minute Mile,2014,['Drama']
4 months 3 weeks and 2 days,1,,7.9,4.0,86.0,"4 Months, 3 Weeks and 2 Days",2007,['Drama']
40 days and nights,1,5.6,7.7,3.0,43.0,40 Days and 40 Nights,2002,"['Comedy', 'Romance']"
40 year old virgin,1,,,3.5,,"40-Year-Old Virgin, The",2005,"['Comedy', 'Romance']"
40 years in the making magic music movie,1,,8.4,,,40 Years in the Making: The Magic Music Movie,2018,['Documentary']
400 blows,1,,,4.0,,"400 Blows, The (Les quatre cents coups)",1959,"['Crime', 'Drama']"
400 days,1,,,,41.0,400 Days,2016,[]
42,1,7.5,7.4,4.0,85.0,42,2013,"['Biography', 'Drama', 'Sport']"
42 forty two up,1,,8.7,,,42: Forty Two Up,1999,"['Biography', 'Documentary']"
42 up,1,,,4.0,,42 Up,1998,['Documentary']
42nd street,1,,,4.0,74.0,42nd Street,1933,"['Drama', 'Musical', 'Romance']"
44 inch chest,1,,5.2,,36.0,44 Inch Chest,2010,"['Drama', 'Crime']"
45 years,1,,7.4,,67.0,45 Years,2015,"['Drama', 'Romance']"
45365,1,,7.4,,,45365,2010,['Documentary']
47 meters down,1,5.6,5.2,,36.0,47 Meters Down,2017,"['Horror', 'Mystery', 'Thriller']"
47 meters down uncaged,1,,5.4,,68.0,47 Meters Down: Uncaged,2019,"['Adventure', 'Drama', 'Thriller', 'Horror']"
47 ronin,1,6.2,6.2,2.6,48.0,47 Ronin,2013,"['Action', 'Drama', 'Fantasy']"
48 hrs,1,6.9,8.6,3.6,69.0,48 Hrs.,1982,"['Action', 'Comedy', 'Crime']"
49 up,1,,8.6,4.0,,49 Up,2005,"['Biography', 'Documentary']"
49th parallel,1,,,,75.0,49th Parallel (The Invaders),1941,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']"
4th man out,1,,5.9,,,4th Man Out,2016,"['Drama', 'Comedy']"
5 000 fingers of dr t,1,,,4.0,,"5,000 Fingers of Dr. T, The",1953,"['Children', 'Fantasy', 'Musical']"
5 broken cameras,1,,7.5,,88.0,5 Broken Cameras,2012,['Documentary']
5 centimeters per second,1,7.5,,3.5,,5 Centimeters per Second,2007,"['Animation', 'Drama', 'Family']"
5 children and it,1,,,,42.0,5 Children and It,2004,"['Drama', 'Kids & Family', 'Science Fiction & Fantasy']"
5 days of war,1,,1.5,,36.0,5 Days of War,2011,"['Action', 'Drama', 'War']"
5 flights up,1,,6.7,,43.0,5 Flights Up,2015,['Drama']
5 star day,1,,7.3,,,5 Star Day,2011,['Drama']
5 to 7,1,,7.6,2.5,71.0,5 to 7,2014,"['Drama', 'Comedy', 'Romance']"
50,1,7.6,8.4,3.6,88.0,50/50,2011,"['Comedy', 'Drama', 'Romance']"
50 first dates,1,6.8,6.5,3.6,65.0,50 First Dates,2004,"['Comedy', 'Drama', 'Romance']"
50 to 1,1,,,,70.0,50 to 1,2014,"['Drama', 'Kids & Family']"
500 days of summer,1,7.7,8.1,3.7,84.0,500 Days of Summer,2009,"['Comedy', 'Drama', 'Romance']"
51 birch street,1,,,,87.0,51 Birch Street,2006,"['Documentary', 'Special Interest']"
52 pick up,1,,,3.7,,52 Pick-Up,1986,"['Action', 'Mystery', 'Thriller']"
52 tuesdays,1,,6.7,,65.0,52 Tuesdays,2015,"['Drama', 'Family']"
54,1,,2.0,2.0,43.0,54,1998,"['Drama', 'History']"
55 steps,1,,,,85.0,55 Steps,2018,['Drama']
56 up,1,,8.4,,76.0,56 Up,2013,['Documentary']
5b,1,,,,97.0,5B,2019,['Documentary']
5x2,1,,6.5,,,5x2,2005,"['Drama', 'Romance']"
6 balloons,1,,6.3,,,6 Balloons,2018,['Drama']
6 balloons,2,,,,56.0,6 Balloons,,['Drama']
6 below miracle on the mountain,1,,,,54.0,6 Below: Miracle On The Mountain,2017,"['Drama', 'Mystery & Suspense']"
6 days,1,,7.2,,,6 Days,2017,"['Action', 'Drama', 'History', 'Thriller']"
6 days to air the making of south park,1,,,4.0,,6 Days to Air: The Making of South Park,2011,['Documentary']
6 month rule,1,,3.1,,38.0,6 Month Rule,2012,['Comedy']
6 souls,1,,5.9,,45.0,6 Souls,2013,"['Mystery', 'Thriller', 'Horror']"
6 underground,1,6.1,,,60.0,6 Underground,2019,"['Action', 'Thriller']"
6 ways to die,1,,,,25.0,6 Ways To Die,2015,"['Action & Adventure', 'Mystery & Suspense', 'Special Interest']"
6 years,1,,,,35.0,6 Years,2015,"['Drama', 'Romance']"
600 miles,1,,,,40.0,600 Miles,,"['Drama', 'Mystery & Suspense']"
61,1,,,5.0,90.0,61*,2001,['Drama']
65,1,5.4,,,,65,2023,"['Action', 'Adventure', 'Drama']"
68 kill,1,,,,54.0,68 Kill,2017,"['Comedy', 'Romance']"
6ixtynin9,1,,,,80.0,6ixtynin9,2000,"['Action & Adventure', 'Art House & International', 'Comedy', 'Mystery & Suspense']"
6ixtynin9,2,,7.8,,,6ixtynin9,2005,"['Thriller', 'Comedy', 'Crime']"
6th day,1,,,2.8,,"6th Day, The",2000,"['Action', 'Sci-Fi', 'Thriller']"
6th man,1,,,1.5,,"6th Man, The (Sixth Man, The)",1997,['Comedy']
7 boxes,1,,8.6,,82.0,7 Boxes,2014,"['Action', 'Thriller']"
7 chinese brothers,1,,5.1,,44.0,7 Chinese Brothers,2015,['Comedy']
7 days,1,,,,68.0,7 Days (Les 7 jours du talion),2010,"['Art House & International', 'Horror', 'Mystery & Suspense']"
7 days in entebbe,1,,5.7,,37.0,7 Days in Entebbe,2018,"['Drama', 'History', 'Thriller', 'Crime']"
7 days in hell,1,,,4.0,,7 Days in Hell,2015,['Comedy']
7 days in september,1,,,,80.0,7 Days in September,2002,"['Documentary', 'Special Interest']"
7 faces of dr lao,1,,,5.0,,7 Faces of Dr. Lao,1964,"['Fantasy', 'Mystery', 'Western']"
7 guardians of the tomb,1,,,,23.0,7 Guardians of the Tomb,2018,['Action & Adventure']
7 minutes,1,,5.4,,,7 Minutes,2015,"['Drama', 'Thriller', 'Crime']"
71,1,,7.5,4.0,81.0,'71,2014,"['Action', 'Drama', 'Thriller', 'War']"
71 fragmente einer chronologie des zufalls,1,,,,74.0,71 Fragmente einer Chronologie des Zufalls (71 Fragments of a Chronology of Chance),1994,"['Art House & International', 'Drama', 'Special Interest']"
78 52 hitchcock s shower scene,1,,7.8,,80.0,78/52: Hitchcock’s Shower Scene,2017,['Documentary']
7th voyage of sinbad,1,,,4.4,,"7th Voyage of Sinbad, The",1958,"['Action', 'Adventure', 'Fantasy']"
8 1 2,1,,,4.1,92.0,8 1/2 (8½),1963,"['Drama', 'Fantasy']"
8 heads in a duffel bag,1,,2.0,3.0,34.0,8 Heads in a Duffel Bag,1997,"['Comedy', 'Crime']"
8 mile,1,7.2,8.7,3.3,54.0,8 Mile,2002,"['Drama', 'Music']"
8 seconds,1,,,3.0,94.0,8 Seconds,1994,['Drama']
8 the mormon proposition,1,,6.7,,72.0,8: The Mormon Proposition,2010,['Documentary']
8 women,1,,6.3,3.8,,8 Women,2002,"['Mystery', 'Comedy', 'Crime', 'Musical']"
8 ½ women a k 1 2,1,,,3.3,,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women),1999,['Comedy']
800 bullets,1,,,2.5,,800 Bullets (800 Balas),2002,"['Comedy', 'Crime', 'Drama', 'Western']"
800 bullets,2,,4.9,,,800 Bullets,2004,"['Drama', 'Comedy', 'Crime', 'Western']"
808,1,,,,60.0,808,,['Documentary']
